Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000174,14.088009,[ 4 15] ; [33 13],[10.81538462  8.18461538] ; [26.18461538 19.81538462],1
d2,1,0.014312,5.999237,[12  7] ; [14 32],[ 7.6 11.4] ; [18.4 27.6],0
b1,1,0.026582,4.917781,[ 5 14] ; [26 20],[9.06153846 9.93846154] ; [21.93846154 24.06153846],0
p10,1,0.035399,4.425816,[11  8] ; [38  8],[14.32307692  4.67692308] ; [34.67692308 11.32307692],0
a3,1,0.063721,3.437786,[15  4] ; [25 21],[11.69230769  7.30769231] ; [28.30769231 17.69230769],0
n4,1,0.067222,3.349579,[16  3] ; [28 18],[12.86153846  6.13846154] ; [31.13846154 14.86153846],0
a4,1,0.091685,2.844528,[10  9] ; [14 32],[ 7.01538462 11.98461538] ; [16.98461538 29.01538462],0
u1,1,0.115374,2.479024,[ 3 16] ; [ 2 44],[ 1.46153846 17.53846154] ; [ 3.53846154 42.46153846],0
p3,1,0.121021,2.404055,[ 8 11] ; [29 17],[10.81538462  8.18461538] ; [26.18461538 19.81538462],0
n5,1,0.168121,1.899618,[16  3] ; [31 15],[13.73846154  5.26153846] ; [33.26153846 12.73846154],0
d1,1,0.199147,1.648621,[12  7] ; [21 25],[9.64615385 9.35384615] ; [23.35384615 22.64615385],0
d4,1,0.221713,1.493247,[16  3] ; [32 14],[14.03076923  4.96923077] ; [33.96923077 12.03076923],0
v1,1,0.228488,1.450246,[ 6 12] ; [23 23],[8.15625 9.84375] ; [20.84375 25.15625],0
s6,1,0.265732,1.238648,[10  9] ; [29 14],[11.9516129  7.0483871] ; [27.0483871 15.9516129],0
n1,1,0.28255,1.154783,[4 2] ; [ 7 10],[2.86956522 3.13043478] ; [8.13043478 8.86956522],0
p9,1,0.289264,1.123044,[17  2] ; [36 10],[15.49230769  3.50769231] ; [37.50769231  8.49230769],0
n3,1,0.303387,1.059247,[6 1] ; [11  6],[4.95833333 2.04166667] ; [12.04166667  4.95833333],0
v2,1,0.359237,0.84056,[8 9] ; [27 18],[9.59677419 7.40322581] ; [25.40322581 19.59677419],0
a6,1,0.373108,0.793288,[13  6] ; [26 20],[11.4  7.6] ; [27.6 18.4],0
p4,1,0.385883,0.751876,[12  7] ; [34 12],[13.44615385  5.55384615] ; [32.55384615 13.44615385],0
d5,1,0.444137,0.585571,[16  3] ; [34 11],[14.84375  4.15625] ; [35.15625  9.84375],0
s8,1,0.460209,0.545385,[11  8] ; [22 24],[9.64615385 9.35384615] ; [23.35384615 22.64615385],0
p12,1,0.477565,0.504418,[ 1 18] ; [ 5 41],[ 1.75384615 17.24615385] ; [ 4.24615385 41.75384615],0
