Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-05,17.433786,[24 60] ; [17  5],[32.49056604 51.50943396] ; [ 8.50943396 13.49056604],1
p4,1,0.00333,8.61718,[29 57] ; [15  7],[35.03703704 50.96296296] ; [ 8.96296296 13.03703704],0
u2,1,0.004715,7.98557,[12 27] ; [8 2],[15.91836735 23.08163265] ; [4.08163265 5.91836735],0
v2,1,0.024009,5.09397,[23 57] ; [12 10],[27.45098039 52.54901961] ; [ 7.54901961 14.45098039],0
b3,1,0.033023,4.544599,[13 40] ; [8 7],[16.36764706 36.63235294] ; [ 4.63235294 10.36764706],0
b2,1,0.033023,4.544599,[13 40] ; [8 7],[16.36764706 36.63235294] ; [ 4.63235294 10.36764706],0
b1,1,0.038472,4.284023,[30 56] ; [13  9],[34.24074074 51.75925926] ; [ 8.75925926 13.24074074],0
d1,1,0.043463,4.077318,[ 1 85] ; [ 2 20],[ 2.38888889 83.61111111] ; [ 0.61111111 21.38888889],0
s4,1,0.058658,3.574918,[19 67] ; [ 1 21],[15.92592593 70.07407407] ; [ 4.07407407 17.92592593],0
p2,1,0.061275,3.502545,[52 34] ; [18  4],[55.74074074 30.25925926] ; [14.25925926  7.74074074],0
s7,1,0.080286,3.059103,[22 60] ; [ 9 10],[25.16831683 56.83168317] ; [ 5.83168317 13.16831683],0
p3,1,0.089118,2.89024,[23 63] ; [10 12],[26.27777778 59.72222222] ; [ 6.72222222 15.27777778],0
p9,1,0.095019,2.787224,[48 35] ; [17  5],[51.38095238 31.61904762] ; [13.61904762  8.38095238],0
a8,1,0.144958,2.124524,[ 9 70] ; [ 5 16],[11.06 67.94] ; [ 2.94 18.06],0
s3,1,0.150721,2.064935,[45 39] ; [ 8 14],[42. 42.] ; [11. 11.],0
n2,1,0.151928,2.052786,[28  8] ; [3 3],[26.57142857  9.42857143] ; [4.42857143 1.57142857],0
p10,1,0.153804,2.03411,[45 38] ; [15  6],[47.88461538 35.11538462] ; [12.11538462  8.88461538],0
r3,1,0.156432,2.008379,[65 19] ; [20  2],[67.35849057 16.64150943] ; [17.64150943  4.35849057],0
a4,1,0.181501,1.78529,[17 69] ; [ 7 14],[19.28971963 66.71028037] ; [ 4.71028037 16.28971963],0
d5,1,0.282759,1.153783,[42 44] ; [13  8],[44.20560748 41.79439252] ; [10.79439252 10.20560748],0
u1,1,0.293636,1.102876,[ 1 85] ; [ 1 21],[ 1.59259259 84.40740741] ; [ 0.40740741 21.59259259],0
a6,1,0.29508,1.096298,[44 42] ; [14  8],[46.18518519 39.81481481] ; [11.81481481 10.18518519],0
n6,1,0.338985,0.914266,[61 24] ; [18  4],[62.75700935 22.24299065] ; [16.24299065  5.75700935],0
s8,1,0.507497,0.439224,[25 61] ; [ 8 14],[26.27777778 59.72222222] ; [ 6.72222222 15.27777778],0
n3,1,0.609134,0.261438,[26  8] ; [4 2],[25.5  8.5] ; [4.5 1.5],0
d2,1,0.635394,0.224817,[23 63] ; [ 7 15],[23.88888889 62.11111111] ; [ 6.11111111 15.88888889],0
s2,1,0.652867,0.202305,[30 54] ; [ 9 13],[30.90566038 53.09433962] ; [ 8.09433962 13.90566038],0
d3,1,0.686422,0.162987,[22 64] ; [ 6 14],[22.71698113 63.28301887] ; [ 5.28301887 14.71698113],0
b5,1,0.708428,0.139852,[47 39] ; [13  9],[47.77777778 38.22222222] ; [12.22222222  9.77777778],0
p11,1,0.710955,0.137325,[51 35] ; [14  8],[51.75925926 34.24074074] ; [13.24074074  8.75925926],0
n5,1,0.715804,0.132549,[64 21] ; [15  6],[63.3490566 21.6509434] ; [15.6509434  5.3490566],0
v3,1,0.718437,0.129996,[22 61] ; [ 5 17],[21.34285714 61.65714286] ; [ 5.65714286 16.34285714],0
v4,1,0.730243,0.118889,[70 14] ; [19  3],[70.52830189 13.47169811] ; [18.47169811  3.52830189],0
p1,1,0.735451,0.114165,[ 6 80] ; [ 2 20],[ 6.37037037 79.62962963] ; [ 1.62962963 20.37037037],0
a5,1,0.776902,0.080292,[42 44] ; [10 12],[41.40740741 44.59259259] ; [10.59259259 11.40740741],0
v1,1,0.781861,0.07667,[35 48] ; [10 12],[35.57142857 47.42857143] ; [ 9.42857143 12.57142857],0
s5,1,0.807464,0.059389,[11 74] ; [ 3 17],[11.33333333 73.66666667] ; [ 2.66666667 17.33333333],0
a7,1,0.807473,0.059384,[42 43] ; [11 10],[42.5 42.5] ; [10.5 10.5],0
a1,1,0.816704,0.053725,[ 5 81] ; [ 1 21],[ 4.77777778 81.22222222] ; [ 1.22222222 20.77777778],0
u3,1,0.827878,0.047273,[18 21] ; [5 5],[18.30612245 20.69387755] ; [4.69387755 5.30612245],0
s6,1,0.844889,0.038277,[43 43] ; [11 10],[43.40186916 42.59813084] ; [10.59813084 10.40186916],0
b4,1,0.845543,0.03795,[45 41] ; [11 11],[44.59259259 41.40740741] ; [11.40740741 10.59259259],0
n1,1,0.857942,0.032039,[13 22] ; [2 4],[12.80487805 22.19512195] ; [2.19512195 3.80487805],0
a2,1,0.885442,0.020757,[ 7 79] ; [ 2 20],[ 7.16666667 78.83333333] ; [ 1.83333333 20.16666667],0
n4,1,0.892989,0.018096,[56 28] ; [15  7],[56.26415094 27.73584906] ; [14.73584906  7.26415094],0
r1,1,0.915218,0.011333,[48 35] ; [13  9],[48.21904762 34.78095238] ; [12.78095238  9.21904762],0
a3,1,0.949823,0.00396,[47 38] ; [12 10],[46.86915888 38.13084112] ; [12.13084112  9.86915888],0
r4,1,0.952738,0.003513,[62 24] ; [16  6],[62.11111111 23.88888889] ; [15.88888889  6.11111111],0
r2,1,0.953786,0.003359,[73 12] ; [19  3],[73.08411215 11.91588785] ; [18.91588785  3.08411215],0
p5,1,0.983201,0.000443,[ 4 82] ; [ 1 21],[ 3.98148148 82.01851852] ; [ 1.01851852 20.98148148],0
