Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3e-06,22.162701,[44 24] ; [143  15],[56.26548673 11.73451327] ; [130.73451327  27.26548673],1
r3,1,4e-06,21.31067,[45 25] ; [141  16],[57.35682819 12.64317181] ; [128.64317181  28.35682819],1
p11,1,5e-06,20.938909,[32 38] ; [121  37],[46.97368421 23.02631579] ; [106.02631579  51.97368421],1
p10,1,0.000149,14.379559,[29 40] ; [108  49],[41.82743363 27.17256637] ; [95.17256637 61.82743363],1
n5,1,0.000149,14.379559,[29 40] ; [108  49],[41.82743363 27.17256637] ; [95.17256637 61.82743363],1
r4,1,0.000155,14.313175,[36 34] ; [121  37],[48.20175439 21.79824561] ; [108.79824561  49.20175439],1
p9,1,0.000236,13.517586,[33 36] ; [112  41],[45.06756757 23.93243243] ; [99.93243243 53.06756757],1
p2,1,0.00038,12.630098,[36 33] ; [120  38],[47.4185022 21.5814978] ; [108.5814978  49.4185022],1
a1,1,0.005687,7.646977,[ 6 64] ; [  2 156],[ 2.45614035 67.54385965] ; [  5.54385965 152.45614035],0
p8,1,0.006001,7.550047,[16 53] ; [66 90],[25.14666667 43.85333333] ; [56.85333333 99.14666667],0
n4,1,0.008068,7.018251,[34 36] ; [106  52],[42.98245614 27.01754386] ; [97.01754386 60.98245614],0
p4,1,0.010765,6.503746,[17 52] ; [67 91],[25.53303965 43.46696035] ; [58.46696035 99.53303965],0
r2,1,0.015216,5.89127,[51 18] ; [135  20],[57.29464286 11.70535714] ; [128.70535714  26.29464286],0
p3,1,0.016902,5.706484,[14 55] ; [ 57 100],[21.67699115 47.32300885] ; [ 49.32300885 107.67699115],0
d1,1,0.025848,4.966138,[23 47] ; [77 81],[30.70175439 39.29824561] ; [69.29824561 88.70175439],0
b1,1,0.02759,4.853477,[38 32] ; [61 97],[30.39473684 39.60526316] ; [68.60526316 89.39473684],0
p7,1,0.030481,4.681961,[24 44] ; [80 77],[31.43111111 36.56888889] ; [72.56888889 84.43111111],0
s1,1,0.048347,3.897892,[ 5 65] ; [  3 154],[ 2.46696035 67.53303965] ; [  5.53303965 151.46696035],0
a5,1,0.073289,3.207769,[35 35] ; [99 59],[41.14035088 28.85964912] ; [92.85964912 65.14035088],0
n2,1,0.074246,3.18656,[15 15] ; [33 14],[18.7012987 11.2987013] ; [29.2987013 17.7012987],0
s8,1,0.09123,2.85254,[ 4 66] ; [ 21 137],[ 7.6754386 62.3245614] ; [ 17.3245614 140.6754386],0
s3,1,0.101024,2.689299,[23 46] ; [ 36 121],[18.01327434 50.98672566] ; [ 40.98672566 116.01327434],0
