Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000399,12.534936,[346  70] ; [22 15],[337.94260486  78.05739514] ; [30.05739514  6.94260486],1
p9,1,0.000443,12.341141,[372  41] ; [27 11],[365.38137472  47.61862528] ; [33.61862528  4.38137472],1
a3,1,0.00052,12.042847,[298 117] ; [17 21],[288.57615894 126.42384106] ; [26.42384106 11.57615894],1
n4,1,0.000671,11.568364,[338  78] ; [22 16],[329.86784141  86.13215859] ; [30.13215859  7.86784141],1
p11,1,0.00118,10.520751,[365  52] ; [26 12],[358.34505495  58.65494505] ; [32.65494505  5.34505495],0
d4,1,0.001247,10.419072,[355  61] ; [24 13],[348.04415011  67.95584989] ; [30.95584989  6.04415011],0
p10,1,0.003674,8.438063,[363  50] ; [27 11],[357.13968958  55.86031042] ; [32.86031042  5.13968958],0
p7,1,0.005776,7.618851,[344  67] ; [25 13],[337.77060134  73.22939866] ; [31.22939866  6.77060134],0
d3,1,0.008637,6.896489,[300 117] ; [19 18],[293.00220264 123.99779736] ; [25.99779736 11.00220264],0
r4,1,0.009828,6.665855,[395  22] ; [32  6],[391.33846154  25.66153846] ; [35.66153846  2.33846154],0
n6,1,0.010305,6.581387,[364  50] ; [27 10],[358.92239468  55.07760532] ; [32.07760532  4.92239468],0
r1,1,0.010733,6.508942,[351  64] ; [26 12],[345.37527594  69.62472406] ; [31.62472406  6.37527594],0
v1,1,0.011226,6.429168,[248 161] ; [15 23],[240.64205817 168.35794183] ; [22.35794183 15.64205817],0
s7,1,0.01474,5.947279,[217 181] ; [12 24],[210.00460829 187.99539171] ; [18.99539171 17.00460829],0
n5,1,0.015809,5.823982,[331  83] ; [24 14],[325.15486726  88.84513274] ; [29.84513274  8.15486726],0
s3,1,0.020961,5.330001,[243 170] ; [15 23],[236.2616408 176.7383592] ; [21.7383592 16.2616408],0
p4,1,0.023865,5.104449,[308 108] ; [21 16],[302.12803532 113.87196468] ; [26.87196468 10.12803532],0
d1,1,0.03069,4.670244,[261 156] ; [17 21],[254.78241758 162.21758242] ; [23.21758242 14.78241758],0
s1,1,0.035778,4.407635,[  9 405] ; [ 3 35],[ 10.99115044 403.00884956] ; [ 1.00884956 36.99115044],0
s8,1,0.061014,3.509616,[212 202] ; [13 24],[206.54101996 207.45898004] ; [18.45898004 18.54101996],0
v4,1,0.098987,2.721793,[403  12] ; [35  3],[401.25827815  13.74172185] ; [36.74172185  1.25827815],0
a7,1,0.119552,2.423181,[311 105] ; [24 14],[306.96035242 109.03964758] ; [28.03964758  9.96035242],0
d2,1,0.120288,2.413568,[202 215] ; [13 24],[197.47797357 219.52202643] ; [17.52202643 19.47797357],0
s6,1,0.125597,2.346102,[288 115] ; [22 15],[283.93181818 119.06818182] ; [26.06818182 10.93181818],0
r2,1,0.137783,2.202547,[391  20] ; [34  4],[389.0311804  21.9688196] ; [35.9688196  2.0311804],0
v2,1,0.189554,1.721084,[237 170] ; [25 11],[240.70880361 166.29119639] ; [21.29119639 14.70880361],0
a2,1,0.199473,1.646232,[ 92 325] ; [ 5 33],[ 88.8989011 328.1010989] ; [ 8.1010989 29.8989011],0
n3,1,0.258822,1.275046,[45 16] ; [5 4],[43.57142857 17.42857143] ; [6.42857143 2.57142857],0
b4,1,0.272893,1.202145,[236 181] ; [18 20],[232.78681319 184.21318681] ; [21.21318681 16.78681319],0
