Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,92.404678,[372   4] ; [21 11],[362.17647059  13.82352941] ; [30.82352941  1.17647059],1
r2,1,0.0,91.421236,[372   3] ; [21 10],[362.99261084  12.00738916] ; [30.00738916  0.99261084],1
r1,1,0.0,84.671097,[332  42] ; [10 25],[312.73349633  61.26650367] ; [29.26650367  5.73349633],1
r3,1,0.0,41.281332,[367   7] ; [26  8],[360.25  13.75] ; [32.75  1.25],1
n6,1,1e-06,23.759691,[324  47] ; [19 15],[314.20493827  56.79506173] ; [28.79506173  5.20493827],1
a5,1,5.6e-05,16.230656,[289  87] ; [16 19],[279.02676399  96.97323601] ; [25.97323601  9.02676399],1
s6,1,0.000101,15.11175,[332  35] ; [24 11],[325.00497512  41.99502488] ; [30.99502488  4.00497512],1
a7,1,0.000256,13.367653,[280  95] ; [16 19],[270.73170732 104.26829268] ; [25.26829268  9.73170732],1
p9,1,0.000786,11.274898,[334  36] ; [25 10],[327.97530864  42.02469136] ; [31.02469136  3.97530864],1
p10,1,0.002131,9.43304,[323  48] ; [23 11],[316.95308642  54.04691358] ; [29.04691358  4.95308642],0
a2,1,0.003553,8.498963,[107 269] ; [ 2 33],[ 99.71776156 276.28223844] ; [ 9.28223844 25.71776156],0
v1,1,0.003612,8.469098,[216 147] ; [11 22],[208.08333333 154.91666667] ; [18.91666667 14.08333333],0
d1,1,0.006468,7.415077,[248 128] ; [15 20],[240.60340633 135.39659367] ; [22.39659367 12.60340633],0
d4,1,0.009163,6.790683,[326  47] ; [25 10],[320.88970588  52.11029412] ; [30.11029412  4.88970588],0
a4,1,0.009226,6.778632,[183 193] ; [ 9 26],[175.64963504 200.35036496] ; [16.35036496 18.64963504],0
d3,1,0.010063,6.623762,[270 104] ; [18 17],[263.35452323 110.64547677] ; [24.64547677 10.35452323],0
p4,1,0.012608,6.223271,[249 124] ; [16 19],[242.26715686 130.73284314] ; [22.73284314 12.26715686],0
p8,1,0.016037,5.798777,[200 171] ; [11 23],[193.28641975 177.71358025] ; [17.71358025 16.28641975],0
n4,1,0.01642,5.757384,[300  74] ; [22 13],[294.44498778  79.55501222] ; [27.55501222  7.44498778],0
n3,1,0.016908,5.705902,[60 15] ; [7 7],[56.46067416 18.53932584] ; [10.53932584  3.46067416],0
u1,1,0.02073,5.349322,[ 84 292] ; [ 2 33],[ 78.67639903 297.32360097] ; [ 7.32360097 27.67639903],0
s8,1,0.021706,5.269213,[244 130] ; [16 19],[237.75061125 136.24938875] ; [22.24938875 12.75061125],0
v3,1,0.024611,5.05105,[155 202] ; [ 8 26],[148.82608696 208.17391304] ; [14.17391304 19.82608696],0
