Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,7.4e-05,15.705202,[17 20] ; [67 15],[26.11764706 10.88235294] ; [57.88235294 24.11764706],1
n4,1,0.000976,10.872693,[19 18] ; [67 16],[26.51666667 10.48333333] ; [59.48333333 23.51666667],1
p10,1,0.013479,6.105138,[14 22] ; [52 30],[20.13559322 15.86440678] ; [45.86440678 36.13559322],0
p2,1,0.023103,5.16072,[14 23] ; [50 33],[19.73333333 17.26666667] ; [44.26666667 38.73333333],0
p9,1,0.025978,4.957482,[19 17] ; [59 21],[24.20689655 11.79310345] ; [53.79310345 26.20689655],0
u2,1,0.029913,4.714286,[11  7] ; [ 7 18],[ 7.53488372 10.46511628] ; [10.46511628 14.53488372],0
v2,1,0.037233,4.339743,[16 18] ; [21 57],[11.23214286 22.76785714] ; [25.76785714 52.23214286],0
r3,1,0.040623,4.191693,[33  4] ; [60 23],[28.675  8.325] ; [64.325 18.675],0
a3,1,0.050617,3.82091,[19 18] ; [58 25],[23.74166667 13.25833333] ; [53.25833333 29.74166667],0
u3,1,0.077602,3.114429,[9 9] ; [ 6 19],[ 6.27906977 11.72093023] ; [ 8.72093023 16.27906977],0
b2,1,0.091816,2.842236,[14  9] ; [22 33],[10.61538462 12.38461538] ; [25.38461538 29.61538462],0
b3,1,0.091816,2.842236,[14  9] ; [22 33],[10.61538462 12.38461538] ; [25.38461538 29.61538462],0
r1,1,0.098488,2.729863,[26 11] ; [45 38],[21.89166667 15.10833333] ; [49.10833333 33.89166667],0
p4,1,0.114249,2.494444,[ 8 29] ; [30 53],[11.71666667 25.28333333] ; [26.28333333 56.71666667],0
s4,1,0.124493,2.359866,[ 8 29] ; [ 9 73],[ 5.28571429 31.71428571] ; [11.71428571 70.28571429],0
r4,1,0.1792,1.804246,[27 10] ; [50 33],[23.74166667 13.25833333] ; [53.25833333 29.74166667],0
a2,1,0.182817,1.774578,[ 1 36] ; [ 8 75],[ 2.775 34.225] ; [ 6.225 76.775],0
a6,1,0.18345,1.769455,[13 24] ; [40 43],[16.34166667 20.65833333] ; [36.65833333 46.34166667],0
p6,1,0.194829,1.680717,[ 2 35] ; [11 71],[ 4.04201681 32.95798319] ; [ 8.95798319 73.04201681],0
p12,1,0.257725,1.280934,[ 1 35] ; [ 7 76],[ 2.42016807 33.57983193] ; [ 5.57983193 77.42016807],0
a4,1,0.258171,1.278536,[19 18] ; [33 49],[16.16806723 20.83193277] ; [35.83193277 46.16806723],0
d4,1,0.292408,1.108502,[26 11] ; [50 33],[23.43333333 13.56666667] ; [52.56666667 30.43333333],0
p8,1,0.293512,1.103441,[ 5 32] ; [18 65],[ 7.09166667 29.90833333] ; [15.90833333 67.09166667],0
s6,1,0.29634,1.090592,[16 20] ; [45 37],[18.61016949 17.38983051] ; [42.38983051 39.61016949],0
s7,1,0.3321,0.940691,[10 23] ; [32 48],[12.26548673 20.73451327] ; [29.73451327 50.26548673],0
p1,1,0.340407,0.908898,[ 2 35] ; [ 9 74],[ 3.39166667 33.60833333] ; [ 7.60833333 75.39166667],0
r2,1,0.340949,0.906858,[32  4] ; [68 15],[30.25210084  5.74789916] ; [69.74789916 13.25210084],0
n1,1,0.400072,0.708111,[8 7] ; [15 22],[6.63461538 8.36538462] ; [16.36538462 20.63461538],0
s3,1,0.405352,0.692391,[17 19] ; [32 50],[14.94915254 21.05084746] ; [34.05084746 47.94915254],0
