Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,8.8e-05,15.378302,[28  2] ; [13 15],[21.20689655  8.79310345] ; [19.79310345  8.20689655],1
p9,1,0.002052,9.502271,[31  2] ; [20 12],[25.89230769  7.10769231] ; [25.10769231  6.89230769],0
s2,1,0.003224,8.67611,[27  6] ; [15 17],[21.32307692 11.67692308] ; [20.67692308 11.32307692],0
s6,1,0.003311,8.627449,[27  4] ; [17 15],[21.65079365  9.34920635] ; [22.34920635  9.65079365],0
u1,1,0.003495,8.528968,[15 18] ; [ 4 28],[ 9.64615385 23.35384615] ; [ 9.35384615 22.64615385],0
s5,1,0.006177,7.498025,[18 11] ; [ 8 22],[12.77966102 16.22033898] ; [13.22033898 16.77966102],0
r4,1,0.020775,5.34553,[32  1] ; [25  7],[28.93846154  4.06153846] ; [28.06153846  3.93846154],0
d1,1,0.028816,4.778558,[26  7] ; [17 15],[21.83076923 11.16923077] ; [21.16923077 10.83076923],0
v2,1,0.03342,4.524148,[24  9] ; [15 17],[19.8 13.2] ; [19.2 12.8],0
v1,1,0.034275,4.480932,[20 13] ; [11 21],[15.73846154 17.26153846] ; [15.26153846 16.73846154],0
v3,1,0.043154,4.08937,[15 17] ; [ 7 24],[11.17460317 20.82539683] ; [10.82539683 20.17460317],0
a8,1,0.043352,4.081633,[ 6 22] ; [ 1 27],[ 3.5 24.5] ; [ 3.5 24.5],0
a5,1,0.04671,3.955803,[27  6] ; [19 13],[23.35384615  9.64615385] ; [22.64615385  9.35384615],0
p10,1,0.04671,3.955803,[27  6] ; [19 13],[23.35384615  9.64615385] ; [22.64615385  9.35384615],0
d4,1,0.060718,3.517661,[29  4] ; [22 10],[25.89230769  7.10769231] ; [25.10769231  6.89230769],0
a3,1,0.067942,3.332058,[27  6] ; [19 12],[23.71875  9.28125] ; [22.28125  8.71875],0
a2,1,0.07654,3.136873,[14 19] ; [ 7 25],[10.66153846 22.33846154] ; [10.33846154 21.66153846],0
v4,1,0.079468,3.075739,[32  1] ; [27  5],[29.95384615  3.04615385] ; [29.04615385  2.95384615],0
d3,1,0.090602,2.863636,[28  5] ; [20 10],[25.14285714  7.85714286] ; [22.85714286  7.14285714],0
