Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.018575,5.541126,[29 37] ; [11  3],[33. 33.] ; [7. 7.],0
u3,1,0.022807,5.183152,[ 5 20] ; [5 3],[ 7.57575758 17.42424242] ; [2.42424242 5.57575758],0
p7,1,0.032212,4.587191,[26 39] ; [10  4],[29.62025316 35.37974684] ; [6.37974684 7.62025316],0
v1,1,0.032783,4.557056,[28 34] ; [ 2 12],[24.47368421 37.52631579] ; [5.52631579 8.47368421],0
p8,1,0.042153,4.129069,[21 45] ; [8 5],[24.2278481 41.7721519] ; [4.7721519 8.2278481],0
a5,1,0.055257,3.674313,[38 29] ; [ 4 10],[34.74074074 32.25925926] ; [7.25925926 6.74074074],0
p3,1,0.103551,2.649989,[18 47] ; [7 7],[20.56962025 44.43037975] ; [4.43037975 9.56962025],0
v3,1,0.129779,2.295148,[17 49] ; [ 1 13],[14.85 51.15] ; [ 3.15 10.85],0
s7,1,0.134265,2.24249,[22 40] ; [8 6],[24.47368421 37.52631579] ; [5.52631579 8.47368421],0
s3,1,0.163361,1.942838,[28 36] ; [9 5],[30.35897436 33.64102564] ; [6.64102564 7.35897436],0
a3,1,0.183547,1.768668,[41 25] ; [6 8],[38.775 27.225] ; [8.225 5.775],0
p10,1,0.185601,1.752194,[37 25] ; [11  3],[39.15789474 22.84210526] ; [8.84210526 5.15789474],0
u2,1,0.186832,1.742425,[ 9 16] ; [5 3],[10.60606061 14.39393939] ; [3.39393939 4.60606061],0
a4,1,0.197986,1.657167,[21 46] ; [ 2 12],[19.02469136 47.97530864] ; [ 3.97530864 10.02469136],0
n4,1,0.20609,1.598683,[41 26] ; [6 8],[38.87654321 28.12345679] ; [8.12345679 5.87654321],0
b2,1,0.23806,1.392045,[11 25] ; [1 8],[ 9.6 26.4] ; [2.4 6.6],0
b3,1,0.23806,1.392045,[11 25] ; [1 8],[ 9.6 26.4] ; [2.4 6.6],0
s2,1,0.266077,1.236858,[27 39] ; [8 6],[28.875 37.125] ; [6.125 7.875],0
p11,1,0.347073,0.884132,[44 23] ; [11  3],[45.49382716 21.50617284] ; [9.50617284 4.49382716],0
r1,1,0.359581,0.839356,[17 49] ; [ 2 12],[15.675 50.325] ; [ 3.325 10.675],0
n6,1,0.382612,0.762293,[45 20] ; [8 6],[43.60759494 21.39240506] ; [9.39240506 4.60759494],0
d3,1,0.384041,0.757725,[34 32] ; [9 5],[35.475 30.525] ; [7.525 6.475],0
v4,1,0.384369,0.756682,[42 21] ; [11  3],[43.36363636 19.63636364] ; [9.63636364 4.36363636],0
b1,1,0.410516,0.677306,[32 35] ; [5 9],[30.60493827 36.39506173] ; [6.39506173 7.60493827],0
b4,1,0.43818,0.601043,[41 26] ; [7 7],[39.7037037 27.2962963] ; [8.2962963 5.7037037],0
d1,1,0.469802,0.522441,[31 36] ; [5 9],[29.77777778 37.22222222] ; [6.22222222 7.77777778],0
p4,1,0.531981,0.390607,[27 39] ; [7 7],[28.05 37.95] ; [5.95 8.05],0
a7,1,0.533606,0.38752,[37 30] ; [9 5],[38.04938272 28.95061728] ; [7.95061728 6.04938272],0
v2,1,0.542227,0.371429,[36 29] ; [6 7],[35. 30.] ; [7. 6.],0
d4,1,0.619479,0.2466,[52 15] ; [10  4],[51.28395062 15.71604938] ; [10.71604938  3.28395062],0
n2,1,0.628745,0.233766,[20  8] ; [5 3],[19.44444444  8.55555556] ; [5.55555556 2.44444444],0
p9,1,0.632313,0.228937,[46 19] ; [9 5],[45.25316456 19.74683544] ; [9.74683544 4.25316456],0
d5,1,0.665773,0.186586,[47 20] ; [9 5],[46.32098765 20.67901235] ; [9.67901235 4.32098765],0
s5,1,0.675594,0.175128,[13 53] ; [3 9],[13.53846154 52.46153846] ; [2.46153846 9.53846154],0
p6,1,0.806434,0.060039,[16 47] ; [ 4 10],[16.36363636 46.63636364] ; [ 3.63636364 10.36363636],0
d2,1,0.828631,0.046854,[26 41] ; [5 9],[25.64197531 41.35802469] ; [5.35802469 8.64197531],0
n1,1,0.842342,0.03956,[ 8 20] ; [2 6],[ 7.77777778 20.22222222] ; [2.22222222 5.77777778],0
s1,1,0.868297,0.027497,[ 4 63] ; [ 1 13],[ 4.13580247 62.86419753] ; [ 0.86419753 13.13580247],0
n5,1,0.90438,0.014431,[36 29] ; [8 6],[36.20253165 28.79746835] ; [7.79746835 6.20253165],0
p2,1,0.933886,0.006882,[45 19] ; [10  4],[45.12820513 18.87179487] ; [9.87179487 4.12820513],0
b5,1,0.941399,0.005404,[39 28] ; [8 6],[38.87654321 28.12345679] ; [8.12345679 5.87654321],0
a6,1,0.959489,0.00258,[34 33] ; [7 7],[33.91358025 33.08641975] ; [7.08641975 6.91358025],0
n3,1,0.98101,0.000567,[17 10] ; [5 3],[16.97142857 10.02857143] ; [5.02857143 2.97142857],0
s8,1,0.987161,0.000259,[19 48] ; [ 4 10],[19.02469136 47.97530864] ; [ 3.97530864 10.02469136],0
r2,1,0.987252,0.000255,[35 26] ; [8 6],[34.97333333 26.02666667] ; [8.02666667 5.97333333],0
