Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,127.10578,[340  38] ; [45 67],[297.  81.] ; [88. 24.],1
n6,1,0.0,55.401479,[342  35] ; [68 43],[316.74180328  60.25819672] ; [93.25819672 17.74180328],1
p11,1,2.6e-05,17.721484,[314  65] ; [72 40],[297.95112016  81.04887984] ; [88.04887984 23.95112016],1
s7,1,6.4e-05,15.968138,[257 110] ; [52 54],[239.75264271 127.24735729] ; [69.24735729 36.75264271],1
p4,1,0.000224,13.614199,[251 126] ; [53 59],[234.37218814 142.62781186] ; [69.62781186 42.37218814],1
p5,1,0.000999,10.829955,[ 58 317] ; [  4 107],[ 47.83950617 327.16049383] ; [14.16049383 96.83950617],1
p8,1,0.001122,10.614564,[213 162] ; [44 68],[197.89527721 177.10472279] ; [59.10472279 52.89527721],0
p6,1,0.001279,10.372548,[160 214] ; [28 81],[145.57349896 228.42650104] ; [42.42650104 66.57349896],0
a8,1,0.00156,10.005915,[ 61 294] ; [ 5 99],[ 51.04575163 303.95424837] ; [14.95424837 89.04575163],0
p9,1,0.001655,9.897503,[335  42] ; [84 25],[325.02674897  51.97325103] ; [93.97325103 15.02674897],0
v3,1,0.001962,9.584336,[163 201] ; [30 77],[149.15498938 214.84501062] ; [43.84501062 63.15498938],0
p10,1,0.002154,9.413153,[323  53] ; [80 29],[312.42886598  63.57113402] ; [90.57113402 18.42886598],0
v1,1,0.004377,8.120443,[216 150] ; [46 60],[203.16101695 162.83898305] ; [58.83898305 47.16101695],0
s8,1,0.005383,7.745937,[234 143] ; [53 59],[221.26584867 155.73415133] ; [65.73415133 46.26584867],0
r4,1,0.00816,6.997992,[359  20] ; [98 14],[352.75560081  26.24439919] ; [104.24439919   7.75560081],0
a4,1,0.020246,5.390515,[182 196] ; [40 72],[171.25714286 206.74285714] ; [50.74285714 61.25714286],0
a3,1,0.020384,5.378726,[287  91] ; [72 39],[277.50920245 100.49079755] ; [81.49079755 29.50920245],0
p3,1,0.034612,4.46419,[206 171] ; [48 63],[196.22540984 180.77459016] ; [57.77459016 53.22540984],0
p7,1,0.039088,4.257035,[253 112] ; [64 45],[244.10337553 120.89662447] ; [72.89662447 36.10337553],0
r2,1,0.039427,4.242393,[370   7] ; [104   6],[366.93634497  10.06365503] ; [107.06365503   2.93634497],0
d1,1,0.042512,4.114684,[240 139] ; [59 53],[230.79633401 148.20366599] ; [68.20366599 43.79633401],0
b1,1,0.055807,3.657814,[160 219] ; [36 76],[151.29124236 227.70875764] ; [44.70875764 67.29124236],0
b2,1,0.073181,3.210186,[ 96 142] ; [17 44],[ 89.94648829 148.05351171] ; [23.05351171 37.94648829],0
b3,1,0.073181,3.210186,[ 96 142] ; [17 44],[ 89.94648829 148.05351171] ; [23.05351171 37.94648829],0
d5,1,0.079402,3.077103,[310  66] ; [84 28],[303.57377049  72.42622951] ; [90.42622951 21.57377049],0
n1,1,0.083829,2.989064,[35 38] ; [11 25],[30.80733945 42.19266055] ; [15.19266055 20.80733945],0
s6,1,0.085202,2.962772,[320  52] ; [88 23],[314.23602484  57.76397516] ; [93.76397516 17.23602484],0
s2,1,0.098345,2.732177,[308  71] ; [83 29],[301.81059063  77.18940937] ; [89.18940937 22.81059063],0
a5,1,0.106913,2.599266,[283  96] ; [75 37],[276.33808554 102.66191446] ; [81.66191446 30.33808554],0
u2,1,0.111544,2.53221,[49 43] ; [26 12],[53.07692308 38.92307692] ; [21.92307692 16.07692308],0
u1,1,0.122653,2.383109,[ 79 300] ; [16 96],[ 73.3299389 305.6700611] ; [21.6700611 90.3299389],0
p2,1,0.126508,2.334841,[326  52] ; [90 22],[320.91428571  57.08571429] ; [95.08571429 16.91428571],0
p12,1,0.127107,2.327484,[ 43 335] ; [  7 103],[ 38.7295082 339.2704918] ; [11.2704918 98.7295082],0
