Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,24.180301,[ 60 102] ; [34  9],[74.28292683 87.71707317] ; [19.71707317 23.28292683],1
s2,1,0.000117,14.835321,[ 41 121] ; [25 20],[ 51.65217391 110.34782609] ; [14.34782609 30.65217391],1
s3,1,0.00051,12.078288,[ 59 102] ; [29 15],[69.11219512 91.88780488] ; [18.88780488 25.11219512],1
s8,1,0.001697,9.851418,[ 30 133] ; [18 26],[ 37.79710145 125.20289855] ; [10.20289855 33.79710145],0
p12,1,0.003928,8.316665,[  3 158] ; [ 5 39],[  6.28292683 154.71707317] ; [ 1.71707317 42.28292683],0
v1,1,0.005181,7.815168,[ 40 122] ; [20 23],[ 47.41463415 114.58536585] ; [12.58536585 30.41463415],0
s7,1,0.005629,7.665334,[ 37 117] ; [20 24],[ 44.33333333 109.66666667] ; [12.66666667 31.33333333],0
p5,1,0.005775,7.619174,[  5 157] ; [ 6 38],[  8.65048544 153.34951456] ; [ 2.34951456 41.65048544],0
n2,1,0.010306,6.58125,[39 26] ; [15  1],[43.33333333 21.66666667] ; [10.66666667  5.33333333],0
p10,1,0.011076,6.453025,[87 75] ; [33 11],[94.36893204 67.63106796] ; [25.63106796 18.36893204],0
n1,1,0.012482,6.241135,[22 42] ; [11  5],[26.4 37.6] ; [6.6 9.4],0
p2,1,0.015885,5.815538,[97 65] ; [35  9],[103.80582524  58.19417476] ; [28.19417476 15.80582524],0
s4,1,0.030031,4.707516,[ 22 140] ; [12 32],[ 26.73786408 135.26213592] ; [ 7.26213592 36.73786408],0
r4,1,0.037213,4.340658,[112  51] ; [38  7],[117.54807692  45.45192308] ; [32.45192308 12.54807692],0
p9,1,0.040457,4.19861,[98 61] ; [33  9],[103.62686567  55.37313433] ; [27.37313433 14.62686567],0
n6,1,0.062503,3.469686,[106  56] ; [36  9],[111.13043478  50.86956522] ; [30.86956522 14.13043478],0
d4,1,0.062503,3.469686,[106  56] ; [36  9],[111.13043478  50.86956522] ; [30.86956522 14.13043478],0
d2,1,0.094155,2.801867,[ 60 101] ; [23 22],[64.86893204 96.13106796] ; [18.13106796 26.86893204],0
p11,1,0.118207,2.440921,[95 68] ; [32 13],[99.52403846 63.47596154] ; [27.47596154 17.52403846],0
r2,1,0.125173,2.351369,[136  25] ; [42  3],[139.11650485  21.88349515] ; [38.88349515  6.11650485],0
p6,1,0.138536,2.194143,[ 19 142] ; [ 9 35],[ 21.9902439 139.0097561] ; [ 6.0097561 37.9902439],0
r1,1,0.147665,2.096203,[96 66] ; [32 13],[100.17391304  61.82608696] ; [27.82608696 17.17391304],0
b1,1,0.152089,2.05117,[70 93] ; [14 31],[65.82692308 97.17307692] ; [18.17307692 26.82692308],0
a3,1,0.166726,1.912139,[95 66] ; [31 13],[98.95609756 62.04390244] ; [27.04390244 16.95609756],0
n3,1,0.176472,1.827086,[35 27] ; [12  4],[37.35897436 24.64102564] ; [9.64102564 6.35897436],0
v4,1,0.198582,1.652774,[130  32] ; [39  5],[132.90291262  29.09708738] ; [36.09708738  7.90291262],0
p8,1,0.211876,1.558564,[ 47 116] ; [17 27],[ 50.39613527 112.60386473] ; [13.60386473 30.39613527],0
d3,1,0.238725,1.388109,[87 73] ; [20 25],[83.51219512 76.48780488] ; [23.48780488 21.51219512],0
p1,1,0.278519,1.1743,[  8 154] ; [ 4 39],[  9.48292683 152.51707317] ; [ 2.51707317 40.48292683],0
p3,1,0.282353,1.155731,[ 25 137] ; [10 35],[ 27.39130435 134.60869565] ; [ 7.60869565 37.39130435],0
u2,1,0.32972,0.949996,[34 34] ; [5 9],[32.34146341 35.65853659] ; [6.65853659 7.34146341],0
p7,1,0.376396,0.782441,[ 56 102] ; [18 24],[58.46 99.54] ; [15.54 26.46],0
d5,1,0.414664,0.665389,[104  57] ; [32 13],[106.29126214  54.70873786] ; [29.70873786 15.29126214],0
a5,1,0.442829,0.588941,[91 72] ; [28 17],[93.25480769 69.74519231] ; [25.74519231 19.25480769],0
v3,1,0.484289,0.489189,[ 29 131] ; [ 6 38],[ 27.45098039 132.54901961] ; [ 7.54901961 36.45098039],0
b4,1,0.518596,0.416685,[89 74] ; [27 18],[90.90384615 72.09615385] ; [25.09615385 19.90384615],0
r3,1,0.519133,0.415616,[126  36] ; [37  8],[127.56521739  34.43478261] ; [35.43478261  9.56521739],0
a4,1,0.542969,0.370064,[ 53 108] ; [17 28],[ 54.70873786 106.29126214] ; [15.29126214 29.70873786],0
n4,1,0.562957,0.33461,[101  62] ; [30 15],[102.65865385  60.34134615] ; [28.34134615 16.65865385],0
a6,1,0.655591,0.198924,[96 66] ; [25 20],[94.69565217 67.30434783] ; [26.30434783 18.69565217],0
a1,1,0.666788,0.185383,[ 10 153] ; [ 2 43],[  9.40384615 153.59615385] ; [ 2.59615385 42.40384615],0
b2,1,0.704569,0.143762,[29 62] ; [10 18],[29.82352941 61.17647059] ; [ 9.17647059 18.82352941],0
b3,1,0.704569,0.143762,[29 62] ; [10 18],[29.82352941 61.17647059] ; [ 9.17647059 18.82352941],0
d1,1,0.719779,0.128705,[64 99] ; [19 26],[65.04326923 97.95673077] ; [17.95673077 27.04326923],0
a7,1,0.742247,0.108162,[98 64] ; [26 19],[97.04347826 64.95652174] ; [26.95652174 18.04347826],0
