Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,38.138148,[106  14] ; [14 22],[92.30769231 27.69230769] ; [27.69230769  8.30769231],1
n6,1,0.000208,13.757878,[103  16] ; [21 15],[95.2 23.8] ; [28.8  7.2],1
r2,1,0.000345,12.806757,[118   2] ; [30  6],[113.84615385   6.15384615] ; [34.15384615  1.84615385],1
d5,1,0.00058,11.839577,[99 20] ; [20 16],[91.36129032 27.63870968] ; [27.63870968  8.36129032],1
r1,1,0.001222,10.456349,[102  17] ; [22 14],[95.2 23.8] ; [28.8  7.2],0
r4,1,0.004112,8.233792,[109  11] ; [26 10],[103.84615385  16.15384615] ; [31.15384615  4.84615385],0
p6,1,0.004828,7.942939,[49 71] ; [ 5 29],[42.07792208 77.92207792] ; [11.92207792 22.07792208],0
d1,1,0.007805,7.077778,[67 53] ; [11 25],[60. 60.] ; [18. 18.],0
p8,1,0.01666,5.731883,[70 49] ; [13 23],[63.72258065 55.27741935] ; [19.27741935 16.72258065],0
p11,1,0.016799,5.717243,[94 26] ; [21 15],[88.46153846 31.53846154] ; [26.53846154  9.46153846],0
u1,1,0.016832,5.713763,[23 97] ; [ 1 35],[ 18.46153846 101.53846154] ; [ 5.53846154 30.46153846],0
n1,1,0.020299,5.386032,[15  7] ; [ 4 10],[11.61111111 10.38888889] ; [7.38888889 6.61111111],0
p5,1,0.023293,5.146486,[21 96] ; [ 1 35],[ 16.82352941 100.17647059] ; [ 5.17647059 30.82352941],0
a7,1,0.034091,4.490159,[86 34] ; [19 17],[80.76923077 39.23076923] ; [24.23076923 11.76923077],0
d3,1,0.034856,4.45221,[80 40] ; [17 19],[74.61538462 45.38461538] ; [22.38461538 13.61538462],0
p4,1,0.05522,3.675444,[78 42] ; [17 19],[73.07692308 46.92307692] ; [21.92307692 14.07692308],0
v4,1,0.070086,3.280994,[113   6] ; [31  5],[110.55483871   8.44516129] ; [33.44516129  2.55483871],0
p2,1,0.070758,3.265348,[99 20] ; [25 11],[95.2 23.8] ; [28.8  7.2],0
r3,1,0.094153,2.801896,[108  11] ; [29  7],[105.18064516  13.81935484] ; [31.81935484  4.18064516],0
a5,1,0.129402,2.29966,[89 31] ; [22 14],[85.38461538 34.61538462] ; [25.61538462 10.38461538],0
p9,1,0.131669,2.272713,[102  17] ; [27  9],[99.03870968 19.96129032] ; [29.96129032  6.03870968],0
n2,1,0.136826,2.213294,[16  6] ; [13  1],[17.72222222  4.27777778] ; [11.27777778  2.72222222],0
v3,1,0.166105,1.91775,[37 81] ; [ 7 29],[33.71428571 84.28571429] ; [10.28571429 25.71428571],0
u3,1,0.173413,1.853186,[22 15] ; [9 2],[23.89583333 13.10416667] ; [7.10416667 3.89583333],0
a6,1,0.180047,1.797235,[75 45] ; [18 18],[71.53846154 48.46153846] ; [21.46153846 14.53846154],0
p10,1,0.183027,1.772876,[98 21] ; [26 10],[95.2 23.8] ; [28.8  7.2],0
a2,1,0.190183,1.716201,[29 91] ; [ 5 31],[26.15384615 93.84615385] ; [ 7.84615385 28.15384615],0
a4,1,0.230784,1.436026,[56 62] ; [13 23],[52.87012987 65.12987013] ; [16.12987013 19.87012987],0
s7,1,0.271698,1.208154,[53 58] ; [13 22],[50.17808219 60.82191781] ; [15.82191781 19.17808219],0
d2,1,0.30219,1.064505,[55 65] ; [13 23],[52.30769231 67.69230769] ; [15.69230769 20.30769231],0
a8,1,0.31143,1.024601,[16 91] ; [ 3 33],[14.21678322 92.78321678] ; [ 4.78321678 31.21678322],0
b1,1,0.334504,0.931382,[61 59] ; [15 21],[58.46153846 61.53846154] ; [17.53846154 18.46153846],0
s4,1,0.346221,0.887259,[24 94] ; [10 26],[26.05194805 91.94805195] ; [ 7.94805195 28.05194805],0
s8,1,0.361962,0.831075,[55 65] ; [13 22],[52.64516129 67.35483871] ; [15.35483871 19.64516129],0
p3,1,0.404912,0.693689,[59 60] ; [15 21],[56.81290323 62.18709677] ; [17.18709677 18.81290323],0
s6,1,0.419585,0.651476,[82 35] ; [22 13],[80.05263158 36.94736842] ; [23.94736842 11.05263158],0
u2,1,0.472787,0.515455,[19 18] ; [7 4],[20.04166667 16.95833333] ; [5.95833333 5.04166667],0
b4,1,0.616276,0.251136,[69 51] ; [19 17],[67.69230769 52.30769231] ; [20.30769231 15.69230769],0
s3,1,0.635112,0.225192,[67 50] ; [19 17],[65.76470588 51.23529412] ; [20.23529412 15.76470588],0
b5,1,0.719248,0.129215,[74 46] ; [21 15],[73.07692308 46.92307692] ; [21.92307692 14.07692308],0
d4,1,0.77357,0.082776,[92 27] ; [27  9],[91.36129032 27.63870968] ; [27.63870968  8.36129032],0
s5,1,0.776556,0.080548,[45 68] ; [13 22],[44.28378378 68.71621622] ; [13.71621622 21.28378378],0
p1,1,0.847174,0.037143,[ 12 108] ; [ 4 32],[ 12.30769231 107.69230769] ; [ 3.69230769 32.30769231],0
s2,1,0.858647,0.031719,[61 57] ; [18 18],[60.53246753 57.46753247] ; [18.46753247 17.53246753],0
n3,1,0.884411,0.021135,[14  7] ; [9 5],[13.8  7.2] ; [9.2 4.8],0
b3,1,0.891801,0.018503,[35 49] ; [ 8 12],[34.73076923 49.26923077] ; [ 8.26923077 11.73076923],0
b2,1,0.891801,0.018503,[35 49] ; [ 8 12],[34.73076923 49.26923077] ; [ 8.26923077 11.73076923],0
a3,1,0.91824,0.010537,[83 35] ; [25 11],[82.75324675 35.24675325] ; [25.24675325 10.75324675],0
