Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6.9e-05,15.836297,[56 54] ; [34  5],[66.44295302 43.55704698] ; [23.55704698 15.44295302],1
p4,1,0.000159,14.263771,[42 73] ; [29 12],[52.33974359 62.66025641] ; [18.66025641 22.33974359],1
p8,1,0.000778,11.294137,[49 66] ; [30 11],[58.23717949 56.76282051] ; [20.76282051 20.23717949],1
s2,1,0.004833,7.940816,[41 74] ; [25 16],[48.65384615 66.34615385] ; [17.34615385 23.65384615],0
s4,1,0.006934,7.289883,[19 97] ; [15 26],[25.12101911 90.87898089] ; [ 8.87898089 32.12101911],0
a1,1,0.024151,5.083738,[  1 115] ; [ 3 38],[  2.95541401 113.04458599] ; [ 1.04458599 39.95541401],0
p3,1,0.03181,4.608732,[35 81] ; [20 21],[40.63694268 75.36305732] ; [14.36305732 26.63694268],0
s6,1,0.055036,3.680989,[61 55] ; [28 12],[66.17948718 49.82051282] ; [22.82051282 17.17948718],0
p12,1,0.055876,3.655757,[  3 113] ; [ 4 37],[  5.17197452 110.82802548] ; [ 1.82802548 39.17197452],0
p1,1,0.059562,3.549537,[  3 111] ; [ 4 37],[  5.1483871 108.8516129] ; [ 1.8516129 39.1483871],0
b1,1,0.07827,3.10046,[31 85] ; [17 24],[35.46496815 80.53503185] ; [12.53503185 28.46496815],0
b5,1,0.081052,3.043688,[61 55] ; [28 13],[65.75796178 50.24203822] ; [23.24203822 17.75796178],0
s8,1,0.087925,2.911951,[34 82] ; [18 23],[38.42038217 77.57961783] ; [13.57961783 27.42038217],0
a8,1,0.103861,2.645235,[ 5 99] ; [ 5 35],[ 7.22222222 96.77777778] ; [ 2.77777778 37.22222222],0
n3,1,0.108294,2.578936,[27  9] ; [9 8],[24.45283019 11.54716981] ; [11.54716981  5.45283019],0
p5,1,0.213469,1.547742,[  7 107] ; [ 5 36],[  8.82580645 105.17419355] ; [ 3.17419355 37.82580645],0
r1,1,0.221187,1.496652,[82 33] ; [25 16],[78.87820513 36.12179487] ; [28.12179487 12.87820513],0
a4,1,0.233062,1.422076,[31 85] ; [15 26],[33.98726115 82.01273885] ; [12.01273885 28.98726115],0
s7,1,0.261641,1.260054,[33 79] ; [16 25],[35.86928105 76.13071895] ; [13.13071895 27.86928105],0
u2,1,0.264147,1.246889,[24 21] ; [13  6],[26.015625 18.984375] ; [10.984375  8.015625],0
s3,1,0.326347,0.963337,[51 63] ; [22 19],[53.69032258 60.30967742] ; [19.30967742 21.69032258],0
v4,1,0.344571,0.893349,[103  11] ; [39  2],[104.43870968   9.56129032] ; [37.56129032  3.43870968],0
v3,1,0.3505,0.871648,[30 79] ; [ 8 32],[27.79865772 81.20134228] ; [10.20134228 29.79865772],0
a3,1,0.397855,0.714799,[71 45] ; [22 19],[68.7133758 47.2866242] ; [24.2866242 16.7133758],0
b4,1,0.397855,0.714799,[71 45] ; [22 19],[68.7133758 47.2866242] ; [24.2866242 16.7133758],0
s5,1,0.398671,0.712331,[33 82] ; [14 25],[35.0974026 79.9025974] ; [11.9025974 27.0974026],0
d4,1,0.414521,0.665796,[86 30] ; [33  8],[87.92356688 28.07643312] ; [31.07643312  9.92356688],0
a6,1,0.424309,0.63835,[76 40] ; [24 17],[73.88535032 42.11464968] ; [26.11464968 14.88535032],0
s1,1,0.438964,0.598989,[  1 115] ; [ 1 40],[  1.47770701 114.52229299] ; [ 0.52229299 40.47770701],0
a5,1,0.454975,0.558227,[70 46] ; [22 19],[67.97452229 48.02547771] ; [24.02547771 16.97452229],0
n2,1,0.550491,0.356438,[27  9] ; [14  3],[27.8490566  8.1509434] ; [13.1509434  3.8490566],0
n6,1,0.554171,0.349897,[84 32] ; [27 13],[82.53846154 33.46153846] ; [28.46153846 11.53846154],0
v2,1,0.554729,0.348913,[54 55] ; [22 18],[55.59731544 53.40268456] ; [20.40268456 19.59731544],0
r2,1,0.575659,0.313306,[102  13] ; [35  6],[100.99358974  14.00641026] ; [36.00641026  4.99358974],0
n1,1,0.577962,0.309541,[10 26] ; [ 6 11],[10.86792453 25.13207547] ; [ 5.13207547 11.86792453],0
d3,1,0.608988,0.261651,[77 39] ; [29 12],[78.31847134 37.68152866] ; [27.68152866 13.31847134],0
