Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000686,11.527068,[10  5] ; [14 50],[ 4.55696203 10.44303797] ; [19.44303797 44.55696203],1
s6,1,0.001309,10.329317,[12  2] ; [25 40],[6.55696203 7.44303797] ; [30.44303797 34.55696203],0
s8,1,0.001654,9.898673,[10  4] ; [18 48],[4.9 9.1] ; [23.1 42.9],0
p9,1,0.005781,7.61726,[12  3] ; [25 37],[7.20779221 7.79220779] ; [29.79220779 32.20779221],0
p8,1,0.006818,7.320321,[7 8] ; [10 56],[ 3.14814815 11.85185185] ; [13.85185185 52.14814815],0
p4,1,0.008708,6.881778,[9 6] ; [16 48],[ 4.74683544 10.25316456] ; [20.25316456 43.74683544],0
s5,1,0.009328,6.758871,[7 6] ; [12 50],[3.29333333 9.70666667] ; [15.70666667 46.29333333],0
r4,1,0.011831,6.336002,[14  1] ; [39 27],[9.81481481 5.18518519] ; [43.18518519 22.81481481],0
p3,1,0.017646,5.630919,[8 7] ; [15 51],[ 4.25925926 10.74074074] ; [18.74074074 47.25925926],0
d1,1,0.021768,5.264206,[9 6] ; [19 47],[5.18518519 9.81481481] ; [22.81481481 43.18518519],0
d5,1,0.044399,4.04131,[12  3] ; [34 32],[8.51851852 6.48148148] ; [37.48148148 28.51851852],0
v4,1,0.048052,3.908173,[14  1] ; [45 21],[10.92592593  4.07407407] ; [48.07407407 17.92592593],0
s7,1,0.060026,3.536667,[8 7] ; [17 44],[ 4.93421053 10.06578947] ; [20.06578947 40.93421053],0
r3,1,0.072901,3.216461,[14  1] ; [47 19],[11.2962963  3.7037037] ; [49.7037037 16.2962963],0
a4,1,0.079411,3.076923,[9 6] ; [23 42],[6. 9.] ; [26. 39.],0
b4,1,0.138001,2.200111,[10  5] ; [30 36],[7.40740741 7.59259259] ; [32.59259259 33.40740741],0
p1,1,0.145428,2.119567,[ 3 12] ; [ 5 61],[ 1.48148148 13.51851852] ; [ 6.51851852 59.48148148],0
a8,1,0.208638,1.580855,[ 2 13] ; [ 3 62],[ 0.9375 14.0625] ; [ 4.0625 60.9375],0
n1,1,0.212505,1.554276,[4 1] ; [15 15],[2.71428571 2.28571429] ; [16.28571429 13.71428571],0
u4,1,0.245822,1.346893,[ 1 14] ; [ 1 65],[ 0.37037037 14.62962963] ; [ 1.62962963 64.37037037],0
u3,1,0.270773,1.212829,[5 2] ; [14 15],[3.69444444 3.30555556] ; [15.30555556 13.69444444],0
n3,1,0.335292,0.928352,[4 1] ; [16 12],[3.03030303 1.96969697] ; [16.96969697 11.03030303],0
p11,1,0.337356,0.920455,[10  5] ; [35 31],[8.33333333 6.66666667] ; [36.66666667 29.33333333],0
b1,1,0.337356,0.920455,[10  5] ; [35 31],[8.33333333 6.66666667] ; [36.66666667 29.33333333],0
v1,1,0.351833,0.866837,[7 8] ; [22 43],[5.4375 9.5625] ; [23.5625 41.4375],0
n6,1,0.35684,0.848984,[11  4] ; [40 26],[9.44444444 5.55555556] ; [41.55555556 24.44444444],0
n4,1,0.392304,0.73179,[10  5] ; [36 30],[8.51851852 6.48148148] ; [37.48148148 28.51851852],0
u2,1,0.393153,0.729167,[4 3] ; [11 17],[3. 4.] ; [12. 16.],0
d3,1,0.396125,0.720058,[6 9] ; [19 47],[ 4.62962963 10.37037037] ; [20.37037037 45.62962963],0
v2,1,0.401541,0.703707,[6 7] ; [21 41],[4.68 8.32] ; [22.32 39.68],0
b3,1,0.433681,0.612946,[7 6] ; [17 24],[5.77777778 7.22222222] ; [18.22222222 22.77777778],0
b2,1,0.433681,0.612946,[7 6] ; [17 24],[5.77777778 7.22222222] ; [18.22222222 22.77777778],0
s2,1,0.485045,0.4875,[7 8] ; [24 41],[5.8125 9.1875] ; [25.1875 39.8125],0
d2,1,0.502361,0.449946,[8 7] ; [28 36],[6.83544304 8.16455696] ; [29.16455696 34.83544304],0
s1,1,0.533127,0.388427,[ 1 14] ; [ 8 57],[ 1.6875 13.3125] ; [ 7.3125 57.6875],0
s4,1,0.549603,0.35803,[ 4 11] ; [13 53],[ 3.14814815 11.85185185] ; [13.85185185 52.14814815],0
a5,1,0.624732,0.239273,[9 6] ; [35 31],[8.14814815 6.85185185] ; [35.85185185 30.14814815],0
a6,1,0.662892,0.190029,[ 5 10] ; [26 40],[5.74074074 9.25925926] ; [25.25925926 40.74074074],0
d4,1,0.742101,0.108289,[10  5] ; [41 25],[9.44444444 5.55555556] ; [41.55555556 24.44444444],0
p12,1,0.742476,0.107962,[ 1 14] ; [ 3 62],[ 0.75 14.25] ; [ 3.25 61.75],0
p10,1,0.752492,0.099449,[7 8] ; [27 37],[6.4556962 8.5443038] ; [27.5443038 36.4556962],0
p5,1,0.753004,0.099024,[ 1 14] ; [ 3 61],[ 0.75949367 14.24050633] ; [ 3.24050633 60.75949367],0
r1,1,0.76463,0.089644,[8 7] ; [38 28],[8.51851852 6.48148148] ; [37.48148148 28.51851852],0
a3,1,0.847836,0.036818,[8 7] ; [37 29],[8.33333333 6.66666667] ; [36.66666667 29.33333333],0
b5,1,0.847836,0.036818,[7 8] ; [29 37],[6.66666667 8.33333333] ; [29.33333333 36.66666667],0
s3,1,0.877122,0.023907,[6 9] ; [27 37],[6.26582278 8.73417722] ; [26.73417722 37.26582278],0
n5,1,0.913123,0.011903,[9 6] ; [38 27],[8.8125 6.1875] ; [38.1875 26.8125],0
v3,1,0.95789,0.002788,[ 4 10] ; [17 44],[ 3.92 10.08] ; [17.08 43.92],0
