Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4e-06,21.492279,[258  20] ; [41 16],[248.12537313  29.87462687] ; [50.87462687  6.12537313],1
p4,1,8e-06,19.98202,[202  79] ; [23 33],[187.61127596  93.38872404] ; [37.38872404 18.61127596],1
p8,1,0.000159,14.258608,[161 112] ; [18 39],[148.08181818 124.91818182] ; [30.91818182 26.08181818],1
p10,1,0.000346,12.801193,[247  32] ; [40 17],[238.3125  40.6875] ; [48.6875  8.3125],1
p11,1,0.000443,12.34122,[232  50] ; [35 22],[222.10619469  59.89380531] ; [44.89380531 12.10619469],1
p7,1,0.000744,11.376673,[198  76] ; [27 28],[187.38601824  86.61398176] ; [37.61398176 17.38601824],1
n5,1,0.001091,10.666571,[230  49] ; [36 21],[220.875  58.125] ; [45.125 11.875],0
p3,1,0.005186,7.813566,[168 114] ; [22 34],[158.52071006 123.47928994] ; [31.47928994 24.52071006],0
a3,1,0.015083,5.906728,[220  61] ; [36 21],[212.82840237  68.17159763] ; [43.17159763 13.82840237],0
v1,1,0.018402,5.5575,[193  81] ; [31 26],[185.42598187  88.57401813] ; [38.57401813 18.42598187],0
n6,1,0.036166,4.389269,[247  31] ; [44 12],[242.20958084  35.79041916] ; [48.79041916  7.20958084],0
v4,1,0.038772,4.270847,[268  11] ; [51  6],[264.88392857  14.11607143] ; [54.11607143  2.88392857],0
d5,1,0.050347,3.829851,[249  33] ; [44 12],[244.4556213  37.5443787] ; [48.5443787  7.4556213],0
n4,1,0.053218,3.737057,[229  52] ; [40 17],[223.63609467  57.36390533] ; [45.36390533 11.63609467],0
s4,1,0.054345,3.702064,[ 45 236] ; [15 41],[ 50.02967359 230.97032641] ; [ 9.97032641 46.02967359],0
r3,1,0.064269,3.423638,[276   4] ; [54  3],[274.18397626   5.81602374] ; [55.81602374  1.18397626],0
a2,1,0.066535,3.366503,[ 83 199] ; [10 47],[ 77.36283186 204.63716814] ; [15.63716814 41.36283186],0
d3,1,0.08092,3.046324,[213  69] ; [36 20],[207.74556213  74.25443787] ; [41.25443787 14.74556213],0
d1,1,0.103659,2.648332,[190  92] ; [32 25],[184.67256637  97.32743363] ; [37.32743363 19.67256637],0
a6,1,0.107667,2.588133,[201  80] ; [34 22],[195.9495549  85.0504451] ; [39.0504451 16.9495549],0
n3,1,0.108387,2.57758,[40 11] ; [8 6],[37.66153846 13.33846154] ; [10.33846154  3.66153846],0
b1,1,0.13747,2.206054,[ 90 192] ; [24 33],[ 94.83185841 187.16814159] ; [19.16814159 37.83185841],0
a5,1,0.147145,2.101602,[227  55] ; [41 16],[222.9380531  59.0619469] ; [45.0619469 11.9380531],0
s7,1,0.149278,2.079612,[181  91] ; [31 24],[176.34250765  95.65749235] ; [35.65749235 19.34250765],0
a7,1,0.164366,1.933588,[221  60] ; [40 17],[216.9852071  64.0147929] ; [44.0147929 12.9852071],0
a1,1,0.2181,1.516832,[ 17 265] ; [ 6 51],[ 19.13274336 262.86725664] ; [ 3.86725664 53.13274336],0
p1,1,0.218695,1.512916,[ 23 258] ; [ 2 55],[ 20.78402367 260.21597633] ; [ 4.21597633 52.78402367],0
p5,1,0.246215,1.344652,[ 41 241] ; [ 5 52],[ 38.26548673 243.73451327] ; [ 7.73451327 49.26548673],0
n2,1,0.27103,1.211529,[43  8] ; [10  4],[41.58461538  9.41538462] ; [11.41538462  2.58461538],0
r4,1,0.317298,1.000053,[259  23] ; [50  7],[257.04424779  24.95575221] ; [51.95575221  5.04424779],0
r1,1,0.330164,0.948255,[241  40] ; [46 11],[238.60059172  42.39940828] ; [48.39940828  8.60059172],0
p12,1,0.353365,0.861338,[ 32 249] ; [ 9 48],[ 34.08579882 246.91420118] ; [ 6.91420118 50.08579882],0
v3,1,0.361607,0.832304,[154 122] ; [27 28],[150.9244713 125.0755287] ; [30.0755287 24.9244713],0
d4,1,0.365278,0.819666,[249  33] ; [47  9],[246.95857988  35.04142012] ; [49.04142012  6.95857988],0
r2,1,0.39089,0.736173,[264  12] ; [53  4],[262.73873874  13.26126126] ; [54.26126126  2.73873874],0
u1,1,0.401814,0.702891,[ 69 213] ; [11 46],[ 66.54867257 215.45132743] ; [13.45132743 43.54867257],0
s8,1,0.402368,0.701238,[162 118] ; [29 27],[159.16666667 120.83333333] ; [31.83333333 24.16666667],0
