Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.5e-05,16.666915,[5 5] ; [ 1 38],[1.2244898 8.7755102] ; [ 4.7755102 34.2244898],1
s7,1,0.001993,9.555909,[6 3] ; [ 6 31],[2.34782609 6.65217391] ; [ 9.65217391 27.34782609],0
p11,1,0.007805,7.077778,[8 2] ; [13 26],[4.28571429 5.71428571] ; [16.71428571 22.28571429],0
s2,1,0.009253,6.77334,[5 5] ; [ 5 34],[2.04081633 7.95918367] ; [ 7.95918367 31.04081633],0
n6,1,0.009402,6.744862,[8 2] ; [13 25],[4.375 5.625] ; [16.625 21.375],0
v2,1,0.040174,4.210526,[5 5] ; [ 7 31],[2.5 7.5] ; [ 9.5 28.5],0
s3,1,0.044378,4.042105,[6 4] ; [10 28],[3.33333333 6.66666667] ; [12.66666667 25.33333333],0
v3,1,0.047675,3.921396,[4 6] ; [ 5 34],[1.83673469 8.16326531] ; [ 7.16326531 31.83673469],0
s4,1,0.054872,3.685957,[3 7] ; [ 3 36],[1.2244898 8.7755102] ; [ 4.7755102 34.2244898],0
r3,1,0.065374,3.39551,[8 2] ; [18 20],[5.41666667 4.58333333] ; [20.58333333 17.41666667],0
d5,1,0.133292,2.25374,[8 2] ; [21 18],[5.91836735 4.08163265] ; [23.08163265 15.91836735],0
r4,1,0.135963,2.223065,[4 6] ; [ 7 32],[2.24489796 7.75510204] ; [ 8.75510204 30.24489796],0
b5,1,0.166511,1.914076,[6 4] ; [14 25],[4.08163265 5.91836735] ; [15.91836735 23.08163265],0
p7,1,0.189755,1.71952,[3 7] ; [ 5 34],[1.63265306 8.36734694] ; [ 6.36734694 32.63265306],0
a3,1,0.198887,1.650526,[8 2] ; [22 16],[6.25 3.75] ; [23.75 14.25],0
a2,1,0.251346,1.315804,[2 8] ; [ 3 36],[1.02040816 8.97959184] ; [ 3.97959184 35.02040816],0
b4,1,0.273865,1.197285,[8 2] ; [24 15],[6.53061224 3.46938776] ; [25.46938776 13.53061224],0
a5,1,0.288379,1.127173,[3 7] ; [19 20],[4.48979592 5.51020408] ; [17.51020408 21.48979592],0
u2,1,0.288425,1.126961,[1 1] ; [ 3 14],[0.42105263 1.57894737] ; [ 3.57894737 13.42105263],0
b2,1,0.31218,1.021429,[2 5] ; [13 13],[3.18181818 3.81818182] ; [11.81818182 14.18181818],0
b3,1,0.31218,1.021429,[2 5] ; [13 13],[3.18181818 3.81818182] ; [11.81818182 14.18181818],0
p8,1,0.327877,0.957265,[2 7] ; [ 4 35],[1.125 7.875] ; [ 4.875 34.125],0
d3,1,0.329385,0.951314,[5 5] ; [13 26],[3.67346939 6.32653061] ; [14.32653061 24.67346939],0
d4,1,0.338869,0.914705,[8 2] ; [25 14],[6.73469388 3.26530612] ; [26.26530612 12.73469388],0
p2,1,0.36987,0.804103,[4 6] ; [10 29],[2.85714286 7.14285714] ; [11.14285714 27.85714286],0
r1,1,0.414177,0.666779,[5 5] ; [14 25],[3.87755102 6.12244898] ; [15.12244898 23.87755102],0
s5,1,0.420247,0.649624,[2 8] ; [ 4 34],[1.25 8.75] ; [ 4.75 33.25],0
n3,1,0.483578,0.490783,[2 1] ; [ 9 11],[1.43478261 1.56521739] ; [ 9.56521739 10.43478261],0
a7,1,0.524313,0.405402,[6 4] ; [19 20],[5.10204082 4.89795918] ; [19.89795918 19.10204082],0
n4,1,0.578669,0.308392,[6 4] ; [27 12],[6.73469388 3.26530612] ; [26.26530612 12.73469388],0
p6,1,0.581909,0.303158,[1 9] ; [ 2 36],[0.625 9.375] ; [ 2.375 35.625],0
d2,1,0.654317,0.200501,[5 5] ; [16 22],[4.375 5.625] ; [16.625 21.375],0
p1,1,0.6642,0.188462,[1 9] ; [ 6 33],[1.42857143 8.57142857] ; [ 5.57142857 33.42857143],0
v1,1,0.681519,0.168421,[3 7] ; [ 9 29],[2.5 7.5] ; [ 9.5 28.5],0
a8,1,0.72462,0.124109,[2 8] ; [ 6 33],[1.63265306 8.36734694] ; [ 6.36734694 32.63265306],0
p10,1,0.733404,0.116009,[4 6] ; [13 25],[3.54166667 6.45833333] ; [13.45833333 24.54166667],0
r2,1,0.801961,0.062906,[6 4] ; [20 16],[5.65217391 4.34782609] ; [20.34782609 15.65217391],0
d1,1,0.810263,0.057642,[4 6] ; [14 25],[3.67346939 6.32653061] ; [14.32653061 24.67346939],0
b1,1,0.827878,0.047273,[5 5] ; [21 18],[5.30612245 4.69387755] ; [20.69387755 18.30612245],0
a6,1,0.837848,0.04188,[4 6] ; [17 22],[4.28571429 5.71428571] ; [16.71428571 22.28571429],0
a4,1,0.923642,0.009187,[3 7] ; [12 26],[3.125 6.875] ; [11.875 26.125],0
n5,1,0.953054,0.003466,[6 4] ; [23 16],[5.91836735 4.08163265] ; [23.08163265 15.91836735],0
p9,1,0.975346,0.000955,[4 6] ; [15 22],[4.04255319 5.95744681] ; [14.95744681 22.04255319],0
s1,1,0.980934,0.000571,[1 9] ; [ 4 35],[1.02040816 8.97959184] ; [ 3.97959184 35.02040816],0
p3,1,0.980934,0.000571,[1 9] ; [ 4 35],[1.02040816 8.97959184] ; [ 3.97959184 35.02040816],0
