Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6.1e-05,16.080226,[29 13] ; [ 85 151],[17.22302158 24.77697842] ; [ 96.77697842 139.22302158],1
n4,1,0.000954,10.915128,[18 24] ; [164  73],[27.39784946 14.60215054] ; [154.60215054  82.39784946],1
a2,1,0.003621,8.46478,[ 2 40] ; [ 59 178],[ 9.1827957 32.8172043] ; [ 51.8172043 185.1827957],0
s5,1,0.012804,6.196016,[15 23] ; [ 48 181],[ 8.96629213 29.03370787] ; [ 54.03370787 174.96629213],0
r1,1,0.013819,6.061078,[25 17] ; [182  53],[31.38628159 10.61371841] ; [175.61371841  59.38628159],0
a4,1,0.020175,5.396649,[ 9 33] ; [ 95 141],[15.71223022 26.28776978] ; [ 88.28776978 147.71223022],0
s6,1,0.032709,4.560946,[29 12] ; [124 111],[22.72826087 18.27173913] ; [130.27173913 104.72826087],0
a6,1,0.033848,4.502381,[25 17] ; [177  58],[30.62815884 11.37184116] ; [171.37184116  63.62815884],0
s3,1,0.041627,4.150312,[27 15] ; [110 123],[20.92363636 21.07636364] ; [116.07636364 116.92363636],0
s7,1,0.046684,3.956756,[21 21] ; [ 77 150],[15.30111524 26.69888476] ; [ 82.69888476 144.30111524],0
n1,1,0.064831,3.409263,[ 2 12] ; [27 40],[5.01234568 8.98765432] ; [23.98765432 43.01234568],0
p9,1,0.098173,2.734972,[35  5] ; [174  56],[30.96296296  9.03703704] ; [178.03703704  51.96296296],0
v4,1,0.101546,2.681095,[41  1] ; [210  24],[38.19565217  3.80434783] ; [212.80434783  21.19565217],0
d2,1,0.102881,2.660303,[12 30] ; [ 99 137],[16.76978417 25.23021583] ; [ 94.23021583 141.76978417],0
b1,1,0.105688,2.617541,[10 32] ; [ 87 150],[14.60215054 27.39784946] ; [ 82.39784946 154.60215054],0
a3,1,0.110097,2.552834,[24 18] ; [163  71],[28.45652174 13.54347826] ; [158.54347826  75.45652174],0
