Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4.4e-05,16.69334,[ 1 22] ; [17 12],[ 7.96153846 15.03846154] ; [10.03846154 18.96153846],1
d4,1,0.000131,14.628447,[ 8 15] ; [25  4],[14.59615385  8.40384615] ; [18.40384615 10.59615385],1
d3,1,0.0012,10.489773,[ 4 19] ; [18 11],[ 9.73076923 13.26923077] ; [12.26923077 16.73076923],0
a5,1,0.002131,9.433283,[ 6 17] ; [20  9],[11.5 11.5] ; [14.5 14.5],0
n4,1,0.002899,8.870232,[11 12] ; [25  4],[15.92307692  7.07692308] ; [20.07692308  8.92307692],0
r4,1,0.008315,6.964322,[ 2 21] ; [12 17],[ 6.19230769 16.80769231] ; [ 7.80769231 21.19230769],0
a3,1,0.013675,6.079676,[ 6 16] ; [18 11],[10.35294118 11.64705882] ; [13.64705882 15.35294118],0
v2,1,0.017427,5.652852,[ 3 19] ; [13 16],[ 6.90196078 15.09803922] ; [ 9.09803922 19.90196078],0
r3,1,0.020484,5.370198,[ 8 14] ; [20  9],[12.07843137  9.92156863] ; [15.92156863 13.07843137],0
a7,1,0.023353,5.142078,[ 7 16] ; [18 11],[11.05769231 11.94230769] ; [13.94230769 15.05769231],0
p11,1,0.03499,4.445668,[ 6 17] ; [16 13],[ 9.73076923 13.26923077] ; [12.26923077 16.73076923],0
a4,1,0.051145,3.803505,[ 4 19] ; [12 16],[ 7.21568627 15.78431373] ; [ 8.78431373 19.21568627],0
r2,1,0.051522,3.79122,[ 9 14] ; [18  9],[12.42 10.58] ; [14.58 12.42],0
d2,1,0.056477,3.637938,[ 7 16] ; [16 12],[10.37254902 12.62745098] ; [12.62745098 15.37254902],0
p9,1,0.057531,3.607171,[ 7 15] ; [17 12],[10.35294118 11.64705882] ; [13.64705882 15.35294118],0
b4,1,0.064655,3.413748,[10 13] ; [20  9],[13.26923077  9.73076923] ; [16.73076923 12.26923077],0
a6,1,0.087493,2.9199,[ 8 15] ; [17 12],[11.05769231 11.94230769] ; [13.94230769 15.05769231],0
s1,1,0.090284,2.869297,[ 4 19] ; [ 1 28],[ 2.21153846 20.78846154] ; [ 2.78846154 26.21153846],0
s5,1,0.13623,2.220031,[ 1 22] ; [ 5 23],[ 2.70588235 20.29411765] ; [ 3.29411765 24.70588235],0
p2,1,0.157751,1.995652,[ 7 16] ; [14 14],[ 9.47058824 13.52941176] ; [11.52941176 16.47058824],0
r1,1,0.163364,1.942809,[ 6 17] ; [13 16],[ 8.40384615 14.59615385] ; [10.59615385 18.40384615],0
n6,1,0.179664,1.800401,[ 8 15] ; [15 13],[10.37254902 12.62745098] ; [12.62745098 15.37254902],0
s4,1,0.197176,1.663168,[ 3 20] ; [ 1 28],[ 1.76923077 21.23076923] ; [ 2.23076923 26.76923077],0
p7,1,0.244669,1.35349,[ 9 14] ; [ 7 22],[ 7.07692308 15.92307692] ; [ 8.92307692 20.07692308],0
u2,1,0.263978,1.247772,[ 3 14] ; [4 7],[ 4.25 12.75] ; [2.75 8.25],0
b5,1,0.277724,1.178193,[10 13] ; [17 12],[11.94230769 11.05769231] ; [15.05769231 13.94230769],0
a8,1,0.344118,0.89503,[ 2 21] ; [ 5 23],[ 3.15686275 19.84313725] ; [ 3.84313725 24.15686275],0
p8,1,0.366436,0.815716,[ 7 15] ; [ 6 23],[ 5.60784314 16.39215686] ; [ 7.39215686 21.60784314],0
s6,1,0.407431,0.686284,[ 5 18] ; [ 9 19],[ 6.31372549 16.68627451] ; [ 7.68627451 20.31372549],0
a2,1,0.420229,0.649675,[ 1 22] ; [ 3 26],[ 1.76923077 21.23076923] ; [ 2.23076923 26.76923077],0
p5,1,0.445492,0.582097,[ 1 21] ; [ 3 26],[ 1.7254902 20.2745098] ; [ 2.2745098 26.7254902],0
s2,1,0.451904,0.565872,[ 5 18] ; [ 4 25],[ 3.98076923 19.01923077] ; [ 5.01923077 23.98076923],0
v3,1,0.459662,0.546717,[ 4 19] ; [ 3 26],[ 3.09615385 19.90384615] ; [ 3.90384615 25.09615385],0
u3,1,0.527458,0.399287,[ 3 14] ; [ 1 10],[ 2.42857143 14.57142857] ; [1.57142857 9.42857143],0
b1,1,0.554464,0.349381,[10 13] ; [15 14],[11.05769231 11.94230769] ; [13.94230769 15.05769231],0
s8,1,0.567708,0.326532,[ 2 21] ; [ 4 25],[ 2.65384615 20.34615385] ; [ 3.34615385 25.65384615],0
v1,1,0.64638,0.210495,[ 6 17] ; [ 6 23],[ 5.30769231 17.69230769] ; [ 6.69230769 22.30769231],0
s3,1,0.690648,0.158385,[ 7 16] ; [10 18],[ 7.66666667 15.33333333] ; [ 9.33333333 18.66666667],0
p6,1,0.709131,0.139147,[ 4 18] ; [ 4 24],[ 3.52 18.48] ; [ 4.48 23.52],0
p10,1,0.716341,0.132025,[ 8 14] ; [12 17],[ 8.62745098 13.37254902] ; [11.37254902 17.62745098],0
p4,1,0.757275,0.095519,[ 7 16] ; [10 19],[ 7.51923077 15.48076923] ; [ 9.48076923 19.51923077],0
p1,1,0.762254,0.091519,[ 3 20] ; [ 3 26],[ 2.65384615 20.34615385] ; [ 3.34615385 25.65384615],0
a1,1,0.762254,0.091519,[ 3 20] ; [ 3 26],[ 2.65384615 20.34615385] ; [ 3.34615385 25.65384615],0
n5,1,0.77475,0.081892,[15  8] ; [20  9],[15.48076923  7.51923077] ; [19.51923077  9.48076923],0
n3,1,0.800838,0.063636,[5 6] ; [4 6],[4.71428571 6.28571429] ; [4.28571429 5.71428571],0
n1,1,0.800838,0.063636,[5 6] ; [4 6],[4.71428571 6.28571429] ; [4.28571429 5.71428571],0
n2,1,0.834996,0.043388,[5 6] ; [5 5],[5.23809524 5.76190476] ; [4.76190476 5.23809524],0
p3,1,0.871932,0.025987,[ 6 17] ; [ 7 22],[ 5.75 17.25] ; [ 7.25 21.75],0
