Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.038867,4.266667,[1 5] ; [7 3],[3. 3.] ; [5. 5.],0
s2,1,0.061948,3.484444,[4 2] ; [2 8],[2.25 3.75] ; [3.75 6.25],0
a5,1,0.061948,3.484444,[2 4] ; [8 2],[3.75 2.25] ; [6.25 3.75],0
s8,1,0.09073,2.861376,[5 1] ; [4 6],[3.375 2.625] ; [5.625 4.375],0
p6,1,0.210075,1.570909,[3 3] ; [2 8],[1.875 4.125] ; [3.125 6.875],0
p12,1,0.247004,1.340171,[2 4] ; [1 9],[1.125 4.875] ; [1.875 8.125],0
r1,1,0.3017,1.066667,[4 2] ; [4 6],[3. 3.] ; [5. 5.],0
p3,1,0.3017,1.066667,[4 2] ; [4 6],[3. 3.] ; [5. 5.],0
a6,1,0.3017,1.066667,[2 4] ; [6 4],[3. 3.] ; [5. 5.],0
b5,1,0.3017,1.066667,[4 2] ; [4 6],[3. 3.] ; [5. 5.],0
p2,1,0.329642,0.950303,[5 1] ; [6 4],[4.125 1.875] ; [6.875 3.125],0
n5,1,0.329642,0.950303,[5 1] ; [6 4],[4.125 1.875] ; [6.875 3.125],0
n6,1,0.329642,0.950303,[5 1] ; [6 4],[4.125 1.875] ; [6.875 3.125],0
d3,1,0.423711,0.64,[3 3] ; [7 3],[3.75 2.25] ; [6.25 3.75],0
a7,1,0.515305,0.42328,[2 4] ; [5 5],[2.625 3.375] ; [4.375 5.625],0
p4,1,0.550985,0.355556,[5 1] ; [7 3],[4.5 1.5] ; [7.5 2.5],0
p9,1,0.550985,0.355556,[4 2] ; [8 2],[4.5 1.5] ; [7.5 2.5],0
p11,1,0.550985,0.355556,[4 2] ; [8 2],[4.5 1.5] ; [7.5 2.5],0
s5,1,0.550985,0.355556,[1 5] ; [3 7],[1.5 4.5] ; [2.5 7.5],0
v2,1,0.666955,0.185185,[4 2] ; [5 4],[3.6 2.4] ; [5.4 3.6],0
b1,1,0.69627,0.152381,[3 3] ; [6 4],[3.375 2.625] ; [5.625 4.375],0
d4,1,0.69627,0.152381,[5 1] ; [9 1],[5.25 0.75] ; [8.75 1.25],0
a3,1,0.69627,0.152381,[3 3] ; [6 4],[3.375 2.625] ; [5.625 4.375],0
b4,1,0.69627,0.152381,[3 3] ; [4 6],[2.625 3.375] ; [4.375 5.625],0
b2,1,0.818971,0.052381,[2 2] ; [3 4],[1.81818182 2.18181818] ; [3.18181818 3.81818182],0
b3,1,0.818971,0.052381,[2 2] ; [3 4],[1.81818182 2.18181818] ; [3.18181818 3.81818182],0
p10,1,0.868645,0.02735,[5 1] ; [8 2],[4.875 1.125] ; [8.125 1.875],0
s7,1,0.872081,0.025926,[3 2] ; [5 4],[2.85714286 2.14285714] ; [5.14285714 3.85714286],0
v4,1,0.889243,0.019394,[4 2] ; [7 3],[4.125 1.875] ; [6.875 3.125],0
p5,1,0.889243,0.019394,[2 4] ; [3 7],[1.875 4.125] ; [3.125 6.875],0
p7,1,0.889243,0.019394,[4 2] ; [7 3],[4.125 1.875] ; [6.875 3.125],0
d2,1,1.0,0.0,[3 3] ; [5 5],[3. 3.] ; [5. 5.],0
d1,1,1.0,0.0,[3 3] ; [5 5],[3. 3.] ; [5. 5.],0
p8,1,1.0,0.0,[3 3] ; [5 5],[3. 3.] ; [5. 5.],0
r4,1,1.0,0.0,[3 3] ; [5 5],[3. 3.] ; [5. 5.],0
