Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.320988,[167  13] ; [4 6],[162.  18.] ; [9. 1.],1
r1,1,4.9e-05,16.493056,[149  31] ; [3 7],[144.  36.] ; [8. 2.],1
n6,1,5.3e-05,16.334095,[157  23] ; [4 6],[152.52631579  27.47368421] ; [8.47368421 1.52631579],1
v4,1,0.000112,14.929405,[174   6] ; [7 3],[171.47368421   8.52631579] ; [9.52631579 0.47368421],1
d1,1,0.00106,10.71933,[112  68] ; [1 9],[107.05263158  72.94736842] ; [5.94736842 4.05263158],0
d3,1,0.004268,8.16619,[129  49] ; [3 7],[124.9787234  53.0212766] ; [7.0212766 2.9787234],0
d4,1,0.006504,7.405208,[151  29] ; [5 5],[147.78947368  32.21052632] ; [8.21052632 1.78947368],0
a3,1,0.007243,7.21161,[127  53] ; [3 7],[123.15789474  56.84210526] ; [6.84210526 3.15789474],0
d2,1,0.007627,7.118945,[96 84] ; [1 9],[91.89473684 88.10526316] ; [5.10526316 4.89473684],0
r3,1,0.010937,6.475492,[173   6] ; [8 2],[171.42328042   7.57671958] ; [9.57671958 0.42328042],0
p9,1,0.025435,4.994051,[155  25] ; [6 4],[152.52631579  27.47368421] ; [8.47368421 1.52631579],0
a5,1,0.029607,4.731995,[130  50] ; [4 6],[126.94736842  53.05263158] ; [7.05263158 2.94736842],0
u3,1,0.042289,4.123602,[36 17] ; [2 5],[33.56666667 19.43333333] ; [4.43333333 2.56666667],0
s7,1,0.043,4.095421,[98 75] ; [2 7],[95.05494505 77.94505495] ; [4.94505495 4.05494505],0
s8,1,0.049199,3.86856,[93 86] ; [2 8],[89.97354497 89.02645503] ; [5.02645503 4.97354497],0
n4,1,0.050461,3.82607,[139  41] ; [5 5],[136.42105263  43.57894737] ; [7.57894737 2.42105263],0
s6,1,0.066222,3.374268,[133  42] ; [5 5],[130.54054054  44.45945946] ; [7.45945946 2.54054054],0
s3,1,0.066419,3.369381,[107  73] ; [3 7],[104.21052632  75.78947368] ; [5.78947368 4.21052632],0
p10,1,0.082951,3.006112,[147  32] ; [6 4],[144.9047619  34.0952381] ; [8.0952381 1.9047619],0
n2,1,0.091267,2.851876,[34 10] ; [1 2],[32.76595745 11.23404255] ; [2.23404255 0.76595745],0
d5,1,0.106763,2.601501,[145  34] ; [6 4],[143.01058201  35.98941799] ; [7.98941799 2.01058201],0
b1,1,0.114388,2.492529,[ 80 100] ; [7 3],[82.42105263 97.57894737] ; [4.57894737 5.42105263],0
a8,1,0.159112,1.982646,[ 23 144] ; [3 7],[ 24.53107345 142.46892655] ; [1.46892655 8.53107345],0
b5,1,0.195533,1.675427,[107  73] ; [8 2],[108.94736842  71.05263158] ; [6.05263158 3.94736842],0
a4,1,0.224662,1.474343,[89 90] ; [3 7],[87.13227513 91.86772487] ; [4.86772487 5.13227513],0
a1,1,0.348966,0.877213,[  7 173] ; [1 9],[  7.57894737 172.42105263] ; [0.42105263 9.57894737],0
b4,1,0.354097,0.858721,[99 81] ; [4 6],[97.57894737 82.42105263] ; [5.42105263 4.57894737],0
p11,1,0.36046,0.836289,[140  40] ; [9 1],[141.15789474  38.84210526] ; [7.84210526 2.15789474],0
a7,1,0.363582,0.825484,[131  48] ; [6 4],[129.75132275  49.24867725] ; [7.24867725 2.75132275],0
s5,1,0.389652,0.740027,[75 96] ; [3 7],[73.69060773 97.30939227] ; [4.30939227 5.69060773],0
u1,1,0.437005,0.604134,[ 36 144] ; [1 9],[ 35.05263158 144.94736842] ; [1.94736842 8.05263158],0
b2,1,0.438647,0.59982,[53 66] ; [1 3],[52.24390244 66.75609756] ; [1.75609756 2.24390244],0
b3,1,0.438647,0.59982,[53 66] ; [1 3],[52.24390244 66.75609756] ; [1.75609756 2.24390244],0
v1,1,0.493602,0.468664,[91 87] ; [4 6],[89.94680851 88.05319149] ; [5.05319149 4.94680851],0
s2,1,0.516546,0.420785,[108  71] ; [5 5],[107.02116402  71.97883598] ; [5.97883598 4.02116402],0
p7,1,0.518759,0.41636,[146  32] ; [9 1],[146.75531915  31.24468085] ; [8.24468085 1.75531915],0
u2,1,0.571933,0.319459,[32 21] ; [5 2],[32.68333333 20.31666667] ; [4.31666667 2.68333333],0
p4,1,0.598218,0.277691,[139  41] ; [7 3],[138.31578947  41.68421053] ; [7.68421053 2.31578947],0
v2,1,0.675726,0.174977,[ 77 101] ; [5 5],[ 77.63829787 100.36170213] ; [4.36170213 5.63829787],0
p12,1,0.688567,0.160641,[ 12 167] ; [1 9],[ 12.31216931 166.68783069] ; [0.68783069 9.31216931],0
a6,1,0.694783,0.153956,[115  65] ; [7 3],[115.57894737  64.42105263] ; [6.42105263 3.57894737],0
p8,1,0.694783,0.153956,[115  65] ; [7 3],[115.57894737  64.42105263] ; [6.42105263 3.57894737],0
n5,1,0.731123,0.118083,[134  45] ; [7 3],[133.53968254  45.46031746] ; [7.46031746 2.53968254],0
s4,1,0.731478,0.117759,[ 44 131] ; [3 7],[ 44.45945946 130.54054054] ; [2.54054054 7.45945946],0
n1,1,0.738518,0.111434,[19 25] ; [1 2],[18.72340426 25.27659574] ; [1.27659574 1.72340426],0
n3,1,0.76751,0.087399,[32 11] ; [2 1],[31.7826087 11.2173913] ; [2.2173913 0.7826087],0
p5,1,0.796896,0.066237,[ 23 157] ; [1 9],[ 22.73684211 157.26315789] ; [1.26315789 8.73684211],0
p2,1,0.872627,0.025703,[159  21] ; [9 1],[159.15789474  20.84210526] ; [8.84210526 1.15789474],0
p3,1,1.0,0.0,[108  72] ; [6 4],[108.  72.] ; [6. 4.],0
