Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002497,9.142857,[12 24] ; [20  8],[18. 18.] ; [14. 14.],0
d5,1,0.011927,6.321633,[24 12] ; [26  2],[28.125  7.875] ; [21.875  6.125],0
b4,1,0.031758,4.611486,[18 19] ; [21  7],[22.2 14.8] ; [16.8 11.2],0
s5,1,0.055561,3.665158,[10 24] ; [14 12],[13.6 20.4] ; [10.4 15.6],0
n1,1,0.073638,3.2,[ 4 12] ; [5 3],[ 6. 10.] ; [3. 5.],0
v3,1,0.080856,3.047619,[ 6 30] ; [10 18],[ 9. 27.] ; [ 7. 21.],0
b5,1,0.10277,2.662024,[22 15] ; [22  6],[25.04615385 11.95384615] ; [18.95384615  9.04615385],0
p1,1,0.108698,2.573046,[ 3 34] ; [ 6 21],[ 5.203125 31.796875] ; [ 3.796875 23.203125],0
p7,1,0.126557,2.334231,[31  5] ; [19  8],[28.57142857  7.42857143] ; [21.42857143  5.57142857],0
a2,1,0.127074,2.327887,[ 7 30] ; [10 18],[ 9.67692308 27.32307692] ; [ 7.32307692 20.67692308],0
a6,1,0.127715,2.320065,[21 16] ; [21  7],[23.90769231 13.09230769] ; [18.09230769  9.90769231],0
a7,1,0.164338,1.933846,[24 12] ; [23  5],[26.4375  9.5625] ; [20.5625  7.4375],0
b3,1,0.169228,1.889773,[ 6 17] ; [8 9],[ 8.05 14.95] ; [ 5.95 11.05],0
b2,1,0.169228,1.889773,[ 6 17] ; [8 9],[ 8.05 14.95] ; [ 5.95 11.05],0
s8,1,0.181113,1.788471,[13 24] ; [14 13],[15.609375 21.390625] ; [11.390625 15.609375],0
u2,1,0.18262,1.776169,[11  2] ; [6 4],[9.60869565 3.39130435] ; [7.39130435 2.60869565],0
s1,1,0.183207,1.771414,[ 1 36] ; [ 3 25],[ 2.27692308 34.72307692] ; [ 1.72307692 26.27692308],0
n2,1,0.204008,1.613445,[10  6] ; [7 1],[11.33333333  4.66666667] ; [5.66666667 2.33333333],0
r1,1,0.228929,1.447501,[24 13] ; [22  6],[26.18461538 10.81538462] ; [19.81538462  8.18461538],0
d2,1,0.267016,1.232011,[21 16] ; [12 16],[18.78461538 18.21538462] ; [14.21538462 13.78461538],0
p4,1,0.273099,1.201116,[23 14] ; [21  7],[25.04615385 11.95384615] ; [18.95384615  9.04615385],0
n3,1,0.317311,1.0,[13  3] ; [5 3],[12.  4.] ; [6. 2.],0
a5,1,0.380656,0.768581,[24 13] ; [21  7],[25.61538462 11.38461538] ; [19.38461538  8.61538462],0
s4,1,0.380656,0.768581,[13 24] ; [ 7 21],[11.38461538 25.61538462] ; [ 8.61538462 19.38461538],0
u1,1,0.39937,0.710223,[ 5 32] ; [ 6 22],[ 6.26153846 30.73846154] ; [ 4.73846154 23.26153846],0
n4,1,0.409063,0.681523,[16 21] ; [15 13],[17.64615385 19.35384615] ; [13.35384615 14.64615385],0
s6,1,0.427732,0.628975,[22 15] ; [18  8],[23.49206349 13.50793651] ; [16.50793651  9.49206349],0
r2,1,0.434967,0.609524,[33  3] ; [27  1],[33.75  2.25] ; [26.25  1.75],0
s3,1,0.447423,0.577172,[15 22] ; [14 14],[16.50769231 20.49230769] ; [12.49230769 15.50769231],0
p9,1,0.450788,0.56867,[26 11] ; [22  6],[27.32307692  9.67692308] ; [20.67692308  7.32307692],0
v4,1,0.451049,0.568015,[34  3] ; [27  1],[34.72307692  2.27692308] ; [26.27692308  1.72307692],0
a1,1,0.451049,0.568015,[ 3 34] ; [ 1 27],[ 2.27692308 34.72307692] ; [ 1.72307692 26.27692308],0
d3,1,0.492893,0.470204,[27  9] ; [23  5],[28.125  7.875] ; [21.875  6.125],0
s7,1,0.512638,0.428679,[17 19] ; [15 12],[18.28571429 17.71428571] ; [13.71428571 13.28571429],0
p10,1,0.514145,0.425622,[25 12] ; [21  7],[26.18461538 10.81538462] ; [19.81538462  8.18461538],0
p3,1,0.53951,0.376448,[21 16] ; [18 10],[22.2 14.8] ; [16.8 11.2],0
s2,1,0.542567,0.370804,[17 20] ; [15 13],[18.21538462 18.78461538] ; [13.78461538 14.21538462],0
a4,1,0.542567,0.370804,[17 20] ; [15 13],[18.21538462 18.78461538] ; [13.78461538 14.21538462],0
r4,1,0.612932,0.255928,[33  4] ; [26  2],[33.58461538  3.41538462] ; [25.41538462  2.58461538],0
d4,1,0.62179,0.24336,[30  7] ; [24  4],[30.73846154  6.26153846] ; [23.26153846  4.73846154],0
p2,1,0.707123,0.141168,[29  8] ; [23  5],[29.6  7.4] ; [22.4  5.6],0
u3,1,0.707787,0.140498,[10  3] ; [7 3],[9.60869565 3.39130435] ; [7.39130435 2.60869565],0
b1,1,0.745904,0.105005,[17 20] ; [14 14],[17.64615385 19.35384615] ; [13.35384615 14.64615385],0
p12,1,0.885014,0.020914,[ 3 34] ; [ 2 26],[ 2.84615385 34.15384615] ; [ 2.15384615 25.84615385],0
p11,1,0.919017,0.010337,[26 11] ; [20  8],[26.18461538 10.81538462] ; [19.81538462  8.18461538],0
a3,1,0.961433,0.002338,[24 13] ; [18 10],[23.90769231 13.09230769] ; [18.09230769  9.90769231],0
p8,1,0.969169,0.001494,[20 17] ; [15 13],[19.92307692 17.07692308] ; [15.07692308 12.92307692],0
d1,1,0.975167,0.000969,[21 16] ; [16 12],[21.06153846 15.93846154] ; [15.93846154 12.06153846],0
a8,1,0.987764,0.000235,[ 3 34] ; [ 2 23],[ 2.98387097 34.01612903] ; [ 2.01612903 22.98387097],0
n6,1,0.993093,7.5e-05,[26 11] ; [19  8],[26.015625 10.984375] ; [18.984375  8.015625],0
