Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,23.051418,[89 45] ; [ 3 20],[78.52229299 55.47770701] ; [13.47770701  9.52229299],1
p11,1,0.000147,14.41137,[104  30] ; [ 9 14],[96.44585987 37.55414013] ; [16.55414013  6.44585987],1
v4,1,0.000171,14.130415,[118  16] ; [13 10],[111.8089172  22.1910828] ; [19.1910828  3.8089172],1
p10,1,0.000429,12.403512,[99 32] ; [ 9 14],[91.87012987 39.12987013] ; [16.12987013  6.87012987],1
p2,1,0.000553,11.927902,[99 33] ; [ 9 14],[91.97419355 40.02580645] ; [16.02580645  6.97419355],1
p9,1,0.000648,11.631781,[109  23] ; [11 11],[102.85714286  29.14285714] ; [17.14285714  4.85714286],1
n2,1,0.000665,11.583482,[39  9] ; [1 5],[35.55555556 12.44444444] ; [4.44444444 1.55555556],1
r2,1,0.006767,7.333781,[107  22] ; [12  9],[102.34  26.66] ; [16.66  4.34],0
n6,1,0.00719,7.224966,[108  26] ; [12 10],[103.07692308  30.92307692] ; [16.92307692  5.07692308],0
v2,1,0.012151,6.288652,[65 65] ; [ 5 18],[59.47712418 70.52287582] ; [10.52287582 12.47712418],0
b1,1,0.014784,5.941999,[51 83] ; [15  8],[56.33121019 77.66878981] ; [ 9.66878981 13.33121019],0
s6,1,0.015413,5.868586,[81 50] ; [ 8 15],[75.70779221 55.29220779] ; [13.29220779  9.70779221],0
n3,1,0.017854,5.61039,[32 16] ; [1 5],[29.33333333 18.66666667] ; [3.66666667 2.33333333],0
v3,1,0.025133,5.014716,[48 82] ; [ 3 20],[43.33333333 86.66666667] ; [ 7.66666667 15.33333333],0
s8,1,0.107235,2.594503,[46 88] ; [ 4 19],[42.67515924 91.32484076] ; [ 7.32484076 15.67515924],0
s2,1,0.122977,2.378991,[64 70] ; [ 7 16],[60.59872611 73.40127389] ; [10.40127389 12.59872611],0
s3,1,0.137365,2.207231,[65 68] ; [ 7 15],[61.78064516 71.21935484] ; [10.21935484 11.78064516],0
b4,1,0.155998,2.012594,[85 49] ; [11 12],[81.93630573 52.06369427] ; [14.06369427  8.93630573],0
s1,1,0.190268,1.715541,[  4 129] ; [ 2 21],[  5.11538462 127.88461538] ; [ 0.88461538 22.11538462],0
p7,1,0.199385,1.646876,[67 64] ; [ 8 14],[64.21568627 66.78431373] ; [10.78431373 11.21568627],0
p6,1,0.199877,1.643273,[45 82] ; [ 5 18],[42.33333333 84.66666667] ; [ 7.66666667 15.33333333],0
s4,1,0.230286,1.439094,[ 26 108] ; [ 7 16],[ 28.1656051 105.8343949] ; [ 4.8343949 18.1656051],0
s7,1,0.234841,1.411297,[52 76] ; [ 6 16],[49.49333333 78.50666667] ; [ 8.50666667 13.49333333],0
p5,1,0.242402,1.366573,[ 17 116] ; [ 1 22],[ 15.34615385 117.65384615] ; [ 2.65384615 20.34615385],0
p8,1,0.316097,1.005029,[54 76] ; [ 7 16],[51.83006536 78.16993464] ; [ 9.16993464 13.83006536],0
p3,1,0.341198,0.905924,[60 72] ; [ 8 15],[57.90967742 74.09032258] ; [10.09032258 12.90967742],0
a7,1,0.397382,0.716235,[88 46] ; [13 10],[86.20382166 47.79617834] ; [14.79617834  8.20382166],0
d5,1,0.40824,0.683921,[109  25] ; [17  6],[107.54140127  26.45859873] ; [18.45859873  4.54140127],0
b3,1,0.419015,0.653077,[30 52] ; [8 9],[31.47474747 50.52525253] ; [ 6.52525253 10.47474747],0
b2,1,0.419015,0.653077,[30 52] ; [8 9],[31.47474747 50.52525253] ; [ 6.52525253 10.47474747],0
b5,1,0.438768,0.599503,[87 47] ; [13 10],[85.35031847 48.64968153] ; [14.64968153  8.35031847],0
a5,1,0.443797,0.586446,[82 52] ; [16  7],[83.6433121 50.3566879] ; [14.3566879  8.6433121],0
a1,1,0.452291,0.564905,[ 11 123] ; [ 3 20],[ 11.94904459 122.05095541] ; [ 2.05095541 20.94904459],0
a8,1,0.457018,0.553188,[ 12 116] ; [ 1 21],[ 11.09333333 116.90666667] ; [ 1.90666667 20.09333333],0
a3,1,0.475932,0.508171,[91 42] ; [14  9],[89.51923077 43.48076923] ; [15.48076923  7.51923077],0
p4,1,0.519355,0.415173,[67 65] ; [10 13],[65.57419355 66.42580645] ; [11.42580645 11.57419355],0
n4,1,0.555347,0.347825,[90 44] ; [14  9],[88.76433121 45.23566879] ; [15.23566879  7.76433121],0
v1,1,0.60914,0.26143,[57 70] ; [ 9 14],[55.88 71.12] ; [10.12 12.88],0
d1,1,0.636283,0.223637,[77 57] ; [12 11],[75.96178344 58.03821656] ; [13.03821656  9.96178344],0
