Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.886068,[34 11] ; [ 4 19],[25.14705882 19.85294118] ; [12.85294118 10.14705882],1
r3,1,0.000452,12.30351,[38  7] ; [10 13],[31.76470588 13.23529412] ; [16.23529412  6.76470588],1
r2,1,0.003779,8.386943,[39  6] ; [12 10],[34.25373134 10.74626866] ; [16.74626866  5.25373134],0
n5,1,0.037309,4.336232,[12 33] ; [12 11],[15.88235294 29.11764706] ; [ 8.11764706 14.88235294],0
d4,1,0.058886,3.568478,[33 11] ; [12 11],[29.55223881 14.44776119] ; [15.44776119  7.55223881],0
v4,1,0.06775,3.336704,[32 11] ; [12 11],[28.66666667 14.33333333] ; [15.33333333  7.66666667],0
p2,1,0.072774,3.219324,[26 19] ; [ 8 15],[22.5 22.5] ; [11.5 11.5],0
a3,1,0.077143,3.124089,[29 15] ; [10 13],[25.6119403 18.3880597] ; [13.3880597  9.6119403],0
p3,1,0.087613,2.917697,[15 30] ; [ 3 19],[12.08955224 32.91044776] ; [ 5.91044776 16.08955224],0
a7,1,0.102844,2.66087,[27 18] ; [ 9 14],[23.82352941 21.17647059] ; [12.17647059 10.82352941],0
u3,1,0.102873,2.660434,[11  5] ; [5 8],[8.82758621 7.17241379] ; [7.17241379 5.82758621],0
s4,1,0.112591,2.517471,[ 5 40] ; [ 6 17],[ 7.27941176 37.72058824] ; [ 3.72058824 19.27941176],0
b3,1,0.118497,2.437079,[ 6 22] ; [7 9],[ 8.27272727 19.72727273] ; [ 4.72727273 11.27272727],0
b2,1,0.118497,2.437079,[ 6 22] ; [7 9],[ 8.27272727 19.72727273] ; [ 4.72727273 11.27272727],0
v1,1,0.119881,2.418873,[16 29] ; [ 4 19],[13.23529412 31.76470588] ; [ 6.76470588 16.23529412],0
b5,1,0.145462,2.119204,[22 23] ; [ 7 16],[19.19117647 25.80882353] ; [ 9.80882353 13.19117647],0
d2,1,0.145495,2.118855,[19 26] ; [14  9],[21.83823529 23.16176471] ; [11.16176471 11.83823529],0
b4,1,0.187719,1.735431,[29 16] ; [11 12],[26.47058824 18.52941176] ; [13.52941176  9.47058824],0
