Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.9e-05,18.335402,[34 22] ; [68  6],[43.93846154 12.06153846] ; [58.06153846 15.93846154],1
p8,1,2.7e-05,17.647187,[ 7 48] ; [35 38],[18.046875 36.953125] ; [23.953125 49.046875],1
p9,1,2.7e-05,17.626182,[21 33] ; [56 18],[32.484375 21.515625] ; [44.515625 29.484375],1
p2,1,2.8e-05,17.530304,[26 31] ; [59 14],[37.26923077 19.73076923] ; [47.73076923 25.26923077],1
v4,1,0.000162,14.222222,[35 21] ; [65  7],[43.75 12.25] ; [56.25 15.75],1
r4,1,0.000202,13.810669,[25 32] ; [56 18],[35.24427481 21.75572519] ; [45.75572519 28.24427481],1
p10,1,0.000284,13.17504,[19 35] ; [50 24],[29.109375 24.890625] ; [39.890625 34.109375],1
p4,1,0.000541,11.967149,[12 45] ; [37 36],[21.48461538 35.51538462] ; [27.51538462 45.48461538],1
p7,1,0.000646,11.638837,[19 37] ; [44 24],[28.4516129 27.5483871] ; [34.5483871 33.4516129],1
n2,1,0.004501,8.069721,[15 16] ; [19  3],[19.88679245 11.11320755] ; [14.11320755  7.88679245],0
s8,1,0.004513,8.06481,[ 7 50] ; [25 49],[13.92366412 43.07633588] ; [18.07633588 55.92366412],0
s6,1,0.005309,7.77096,[18 38] ; [42 32],[25.84615385 30.15384615] ; [34.15384615 39.84615385],0
u3,1,0.027737,4.844337,[10 13] ; [20  7],[13.8  9.2] ; [16.2 10.8],0
u2,1,0.056681,3.631937,[11 12] ; [20  7],[14.26  8.74] ; [16.74 10.26],0
a4,1,0.065713,3.386993,[25 32] ; [21 53],[20.01526718 36.98473282] ; [25.98473282 48.01526718],0
d2,1,0.076166,3.144871,[28 29] ; [25 49],[23.0610687 33.9389313] ; [29.9389313 44.0610687],0
s1,1,0.092247,2.834726,[ 4 52] ; [ 1 72],[ 2.17054264 53.82945736] ; [ 2.82945736 70.17054264],0
b5,1,0.123639,2.370605,[31 26] ; [50 24],[35.24427481 21.75572519] ; [45.75572519 28.24427481],0
a1,1,0.146523,2.108083,[ 6 51] ; [ 3 71],[ 3.91603053 53.08396947] ; [ 5.08396947 68.91603053],0
n1,1,0.146757,2.105639,[10 21] ; [11 10],[12.51923077 18.48076923] ; [ 8.48076923 12.51923077],0
s3,1,0.1565,2.007722,[24 32] ; [41 33],[28. 28.] ; [37. 37.],0
r2,1,0.1687,1.894455,[42 14] ; [61 11],[45.0625 10.9375] ; [57.9375 14.0625],0
b1,1,0.193404,1.691494,[35 22] ; [37 37],[31.32824427 25.67175573] ; [40.67175573 33.32824427],0
r1,1,0.19978,1.643982,[32 25] ; [49 24],[35.51538462 21.48461538] ; [45.48461538 27.51538462],0
p6,1,0.238728,1.388092,[10 45] ; [19 51],[12.76 42.24] ; [16.24 53.76],0
a2,1,0.25245,1.309694,[12 45] ; [10 64],[ 9.57251908 47.42748092] ; [12.42748092 61.57251908],0
p5,1,0.287915,1.129344,[ 1 55] ; [ 4 70],[ 2.15384615 53.84615385] ; [ 2.84615385 71.15384615],0
v2,1,0.299595,1.075994,[16 38] ; [27 43],[18.72580645 35.27419355] ; [24.27419355 45.72580645],0
