Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.002201,9.37386,[13  5] ; [22 46],[ 7.3255814 10.6744186] ; [27.6744186 40.3255814],0
s8,1,0.003497,8.528192,[8 9] ; [10 58],[ 3.6 13.4] ; [14.4 53.6],0
p4,1,0.005704,7.641452,[11  7] ; [18 50],[ 6.06976744 11.93023256] ; [22.93023256 45.06976744],0
p8,1,0.010155,6.607556,[ 8 10] ; [11 57],[ 3.97674419 14.02325581] ; [15.02325581 52.97674419],0
s6,1,0.020086,5.404412,[11  6] ; [23 45],[ 6.8 10.2] ; [27.2 40.8],0
r3,1,0.028533,4.795543,[17  1] ; [47 21],[13.39534884  4.60465116] ; [50.60465116 17.39534884],0
v4,1,0.042881,4.100092,[17  1] ; [48 19],[13.76470588  4.23529412] ; [51.23529412 15.76470588],0
d5,1,0.057343,3.612618,[13  5] ; [32 36],[9.41860465 8.58139535] ; [35.58139535 32.41860465],0
s7,1,0.065996,3.379907,[8 9] ; [15 47],[ 4.94936709 12.05063291] ; [18.05063291 43.94936709],0
n3,1,0.066838,3.359024,[8 2] ; [13 15],[5.52631579 4.47368421] ; [15.47368421 12.52631579],0
p9,1,0.08284,3.00829,[9 9] ; [19 48],[ 5.92941176 12.07058824] ; [22.07058824 44.92941176],0
p11,1,0.088787,2.896231,[12  6] ; [30 38],[8.79069767 9.20930233] ; [33.20930233 34.79069767],0
v2,1,0.116775,2.460045,[8 9] ; [18 48],[ 5.3253012 11.6746988] ; [20.6746988 45.3253012],0
p3,1,0.139823,2.179906,[ 8 10] ; [18 50],[ 5.44186047 12.55813953] ; [20.55813953 47.44186047],0
b1,1,0.173196,1.855058,[13  5] ; [37 31],[10.46511628  7.53488372] ; [39.53488372 28.46511628],0
a3,1,0.188822,1.726783,[ 6 12] ; [34 33],[8.47058824 9.52941176] ; [31.52941176 35.47058824],0
r4,1,0.209557,1.574486,[13  5] ; [38 30],[10.6744186  7.3255814] ; [40.3255814 27.6744186],0
d1,1,0.226174,1.464761,[ 8 10] ; [20 48],[ 5.86046512 12.13953488] ; [22.13953488 45.86046512],0
r2,1,0.23908,1.386008,[16  2] ; [51 16],[14.18823529  3.81176471] ; [52.81176471 14.18823529],0
v1,1,0.249085,1.32843,[ 7 10] ; [18 49],[ 5.05952381 11.94047619] ; [19.94047619 47.05952381],0
n2,1,0.250829,1.318681,[8 2] ; [18 12],[6.5 3.5] ; [19.5 10.5],0
p1,1,0.280119,1.166513,[ 2 16] ; [ 3 65],[ 1.04651163 16.95348837] ; [ 3.95348837 64.04651163],0
s2,1,0.297932,1.083427,[ 8 10] ; [21 46],[ 6.14117647 11.85882353] ; [22.85882353 44.14117647],0
u4,1,0.306533,1.045557,[ 1 17] ; [ 1 67],[ 0.41860465 17.58139535] ; [ 1.58139535 66.41860465],0
n1,1,0.345779,0.888889,[5 5] ; [10 20],[3.75 6.25] ; [11.25 18.75],0
a8,1,0.395092,0.723214,[ 3 15] ; [ 6 57],[ 2. 16.] ; [ 7. 56.],0
s5,1,0.437371,0.603171,[ 5 11] ; [15 53],[ 3.80952381 12.19047619] ; [16.19047619 51.80952381],0
p5,1,0.438744,0.599564,[ 2 16] ; [ 4 64],[ 1.25581395 16.74418605] ; [ 4.74418605 63.25581395],0
a1,1,0.438744,0.599564,[ 2 16] ; [ 4 64],[ 1.25581395 16.74418605] ; [ 4.74418605 63.25581395],0
n4,1,0.446329,0.579957,[12  6] ; [38 29],[10.58823529  7.41176471] ; [39.41176471 27.58823529],0
p2,1,0.451528,0.566814,[10  8] ; [31 37],[8.58139535 9.41860465] ; [32.41860465 35.58139535],0
b3,1,0.455426,0.557112,[5 7] ; [13 30],[3.92727273 8.07272727] ; [14.07272727 28.92727273],0
b2,1,0.455426,0.557112,[5 7] ; [13 30],[3.92727273 8.07272727] ; [14.07272727 28.92727273],0
v3,1,0.514477,0.424951,[ 5 12] ; [14 50],[ 3.98765432 13.01234568] ; [15.01234568 48.98765432],0
