Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,58.928084,[29 48] ; [323  81],[56.34927235 20.65072765] ; [295.65072765 108.34927235],1
n4,1,0.0,37.109985,[40 37] ; [337  68],[60.22614108 16.77385892] ; [316.77385892  88.22614108],1
p11,1,1e-06,24.736273,[42 35] ; [327  78],[58.94813278 18.05186722] ; [310.05186722  94.94813278],1
r4,1,3e-06,22.134704,[58 19] ; [376  29],[69.33195021  7.66804979] ; [364.66804979  40.33195021],1
p10,1,1.3e-05,19.030704,[46 29] ; [335  67],[59.90566038 15.09433962] ; [321.09433962  80.90566038],1
p9,1,1.6e-05,18.625399,[50 26] ; [342  55],[62.98520085 13.01479915] ; [329.01479915  67.98520085],1
v4,1,2.7e-05,17.641793,[64 12] ; [390  15],[71.73388773  4.26611227] ; [382.26611227  22.73388773],1
p2,1,0.000574,11.858741,[51 25] ; [339  65],[61.75 14.25] ; [328.25  75.75],1
r3,1,0.000617,11.724804,[68  9] ; [391  12],[73.63125  3.36875] ; [385.36875  17.63125],1
u1,1,0.001444,10.14908,[ 9 68] ; [118 287],[20.28838174 56.71161826] ; [106.71161826 298.28838174],0
a5,1,0.002064,9.491467,[55 22] ; [347  58],[64.21991701 12.78008299] ; [337.78008299  67.21991701],0
p4,1,0.002974,8.823128,[34 42] ; [253 149],[45.63179916 30.36820084] ; [241.36820084 160.63179916],0
s7,1,0.00351,8.521143,[23 47] ; [200 186],[34.23245614 35.76754386] ; [188.76754386 197.23245614],0
v3,1,0.006864,7.308327,[18 52] ; [167 222],[28.21350763 41.78649237] ; [156.78649237 232.21350763],0
p8,1,0.007274,7.204148,[27 48] ; [210 187],[37.65889831 37.34110169] ; [199.34110169 197.65889831],0
s8,1,0.014055,6.031227,[26 51] ; [197 205],[35.84759916 41.15240084] ; [187.15240084 214.84759916],0
r2,1,0.015895,5.814447,[69  6] ; [388  10],[72.46300211  2.53699789] ; [384.53699789  13.46300211],0
p6,1,0.017559,5.639584,[18 55] ; [157 243],[27.00845666 45.99154334] ; [147.99154334 252.00845666],0
s1,1,0.021066,5.321285,[ 5 69] ; [  8 393],[ 2.02526316 71.97473684] ; [ 10.97473684 390.02526316],0
a8,1,0.023901,5.101832,[ 3 66] ; [ 51 308],[ 8.70560748 60.29439252] ; [ 45.29439252 313.70560748],0
p7,1,0.024722,5.043229,[37 38] ; [250 146],[45.70063694 29.29936306] ; [241.29936306 154.70063694],0
b1,1,0.02737,4.867288,[37 40] ; [141 264],[28.43568465 48.56431535] ; [149.56431535 255.43568465],0
r1,1,0.033602,4.514851,[57 19] ; [343  61],[63.33333333 12.66666667] ; [336.66666667  67.33333333],0
u2,1,0.049637,3.85369,[16  4] ; [46 36],[12.15686275  7.84313725] ; [49.84313725 32.15686275],0
a2,1,0.052332,3.765136,[20 57] ; [152 253],[27.47717842 49.52282158] ; [144.52282158 260.47717842],0
v1,1,0.070584,3.269385,[32 43] ; [214 182],[39.17197452 35.82802548] ; [206.82802548 189.17197452],0
p3,1,0.071245,3.254092,[29 46] ; [202 202],[36.1691023 38.8308977] ; [194.8308977 209.1691023],0
a4,1,0.073995,3.192105,[38 39] ; [243 160],[45.07708333 31.92291667] ; [235.92291667 167.07708333],0
s5,1,0.074086,3.190079,[17 55] ; [135 258],[23.53548387 48.46451613] ; [128.46451613 264.53548387],0
s6,1,0.095969,2.771281,[44 32] ; [271 129],[50.29411765 25.70588235] ; [264.70588235 135.29411765],0
n2,1,0.117436,2.451184,[15 13] ; [62 27],[18.42735043  9.57264957] ; [58.57264957 30.42735043],0
n3,1,0.136312,2.219103,[16 11] ; [66 23],[19.0862069  7.9137931] ; [62.9137931 26.0862069],0
a6,1,0.151271,2.059386,[51 25] ; [303 101],[56.05 19.95] ; [297.95 106.05],0
p12,1,0.160417,1.970293,[ 2 73] ; [ 28 375],[ 4.70711297 70.29288703] ; [ 25.29288703 377.70711297],0
v2,1,0.163903,1.937846,[39 33] ; [247 146],[44.28387097 27.71612903] ; [241.71612903 151.28387097],0
s2,1,0.196737,1.666432,[35 41] ; [217 184],[40.1509434 35.8490566] ; [211.8490566 189.1509434],0
d5,1,0.214911,1.538035,[73  3] ; [397   7],[74.41666667  1.58333333] ; [395.58333333   8.41666667],0
a3,1,0.246515,1.342945,[57 20] ; [322  81],[60.79791667 16.20208333] ; [318.20208333  84.79791667],0
d2,1,0.261615,1.260188,[51 25] ; [295 107],[55.0125523 20.9874477] ; [290.9874477 111.0125523],0
b2,1,0.266849,1.232873,[15 35] ; [ 95 153],[18.45637584 31.54362416] ; [ 91.54362416 156.45637584],0
b3,1,0.266849,1.232873,[15 35] ; [ 95 153],[18.45637584 31.54362416] ; [ 91.54362416 156.45637584],0
a7,1,0.315408,1.007893,[56 21] ; [315  89],[59.39085239 17.60914761] ; [311.60914761  92.39085239],0
u4,1,0.464351,0.535386,[ 1 76] ; [ 11 394],[ 1.91701245 75.08298755] ; [ 10.08298755 394.91701245],0
u3,1,0.476643,0.506534,[14  6] ; [51 32],[12.62135922  7.37864078] ; [52.37864078 30.62135922],0
b4,1,0.642061,0.216057,[48 29] ; [241 164],[46.16804979 30.83195021] ; [242.83195021 162.16804979],0
