Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.287202,[38  9] ; [32 56],[24.37037037 22.62962963] ; [45.62962963 42.37037037],1
p4,1,1e-06,23.326861,[33 15] ; [24 67],[19.68345324 28.31654676] ; [37.31654676 53.68345324],1
a5,1,0.000857,11.114249,[27 21] ; [25 66],[17.95683453 30.04316547] ; [34.04316547 56.95683453],1
a6,1,0.003674,8.438205,[33 15] ; [39 52],[24.86330935 23.13669065] ; [47.13669065 43.86330935],0
s6,1,0.00659,7.381533,[28 19] ; [31 57],[20.54074074 26.45925926] ; [38.45925926 49.54074074],0
n6,1,0.007263,7.206708,[41  7] ; [58 33],[34.18705036 13.81294964] ; [64.81294964 26.18705036],0
s8,1,0.008594,6.905389,[16 32] ; [13 78],[10.01438849 37.98561151] ; [18.98561151 72.01438849],0
s7,1,0.009764,6.677447,[20 25] ; [20 68],[13.53383459 31.46616541] ; [26.46616541 61.53383459],0
p2,1,0.014338,5.996077,[40  8] ; [57 33],[33.73913043 14.26086957] ; [63.26086957 26.73913043],0
p8,1,0.017607,5.6348,[26 22] ; [30 60],[19.47826087 28.52173913] ; [36.52173913 53.47826087],0
p6,1,0.026212,4.941955,[17 30] ; [17 73],[11.66423358 35.33576642] ; [22.33576642 67.66423358],0
r3,1,0.029802,4.720696,[42  6] ; [64 26],[36.86956522 11.13043478] ; [69.13043478 20.86956522],0
v1,1,0.041158,4.169488,[22 26] ; [25 63],[16.58823529 31.41176471] ; [30.41176471 57.58823529],0
s3,1,0.046796,3.952692,[25 22] ; [32 58],[19.55474453 27.44525547] ; [37.44525547 52.55474453],0
r4,1,0.066678,3.362957,[30 18] ; [42 49],[24.86330935 23.13669065] ; [47.13669065 43.86330935],0
d5,1,0.071145,3.256397,[28 20] ; [38 52],[22.95652174 25.04347826] ; [43.04347826 46.95652174],0
n4,1,0.089386,2.885396,[33 15] ; [49 42],[28.31654676 19.68345324] ; [53.68345324 37.31654676],0
a2,1,0.090572,2.86417,[ 4 44] ; [ 2 89],[ 2.07194245 45.92805755] ; [ 3.92805755 87.07194245],0
