Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.01123,6.428571,[ 4 11] ; [20 10],[8. 7.] ; [16. 14.],0
r4,1,0.016777,5.719538,[ 2 13] ; [15 15],[5.66666667 9.33333333] ; [11.33333333 18.66666667],0
a8,1,0.019172,5.485714,[5 9] ; [ 2 26],[ 2.33333333 11.66666667] ; [ 4.66666667 23.33333333],0
b4,1,0.057224,3.616071,[11  4] ; [13 17],[8. 7.] ; [16. 14.],0
n4,1,0.08198,3.02521,[12  3] ; [16 14],[9.33333333 5.66666667] ; [18.66666667 11.33333333],0
a5,1,0.08198,3.02521,[12  3] ; [16 14],[9.33333333 5.66666667] ; [18.66666667 11.33333333],0
s1,1,0.204894,1.607143,[ 2 13] ; [ 1 29],[ 1. 14.] ; [ 2. 28.],0
p1,1,0.204894,1.607143,[ 2 13] ; [ 1 29],[ 1. 14.] ; [ 2. 28.],0
p2,1,0.204894,1.607143,[10  5] ; [25  5],[11.66666667  3.33333333] ; [23.33333333  6.66666667],0
u1,1,0.204894,1.607143,[ 2 13] ; [ 1 29],[ 1. 14.] ; [ 2. 28.],0
p8,1,0.204894,1.607143,[ 5 10] ; [16 14],[7. 8.] ; [14. 16.],0
a6,1,0.204894,1.607143,[ 5 10] ; [16 14],[7. 8.] ; [14. 16.],0
n1,1,0.217832,1.518595,[2 2] ; [2 9],[1.06666667 2.93333333] ; [2.93333333 8.06666667],0
s4,1,0.244687,1.353383,[ 1 14] ; [ 6 24],[ 2.33333333 12.66666667] ; [ 4.66666667 25.33333333],0
s8,1,0.27088,1.212284,[7 8] ; [ 9 21],[5.33333333 9.66666667] ; [10.66666667 19.33333333],0
p7,1,0.285935,1.138664,[7 8] ; [19 11],[8.66666667 6.33333333] ; [17.33333333 12.66666667],0
u2,1,0.305507,1.05,[3 3] ; [11  4],[4. 2.] ; [10.  5.],0
u3,1,0.305507,1.05,[1 5] ; [6 9],[2. 4.] ; [ 5. 10.],0
n3,1,0.310437,1.028815,[3 1] ; [5 6],[2.13333333 1.86666667] ; [5.86666667 5.13333333],0
d2,1,0.362419,0.829493,[6 9] ; [ 8 22],[ 4.66666667 10.33333333] ; [ 9.33333333 20.66666667],0
v3,1,0.474549,0.511364,[ 3 12] ; [ 9 21],[ 4. 11.] ; [ 8. 22.],0
n5,1,0.474549,0.511364,[12  3] ; [21  9],[11.  4.] ; [22.  8.],0
r3,1,0.4941,0.467586,[11  3] ; [26  4],[11.77272727  2.22727273] ; [25.22727273  4.77272727],0
p4,1,0.518605,0.416667,[8 7] ; [19 11],[9. 6.] ; [18. 12.],0
a7,1,0.526168,0.401786,[7 8] ; [17 13],[8. 7.] ; [16. 14.],0
a3,1,0.526168,0.401786,[9 6] ; [15 15],[8. 7.] ; [16. 14.],0
v2,1,0.603364,0.269952,[ 5 10] ; [12 17],[5.79545455 9.20454545] ; [11.20454545 17.79545455],0
p6,1,0.61209,0.257143,[ 4 11] ; [ 6 24],[ 3.33333333 11.66666667] ; [ 6.66666667 23.33333333],0
d1,1,0.623743,0.240642,[ 3 12] ; [ 8 22],[ 3.66666667 11.33333333] ; [ 7.33333333 22.66666667],0
n2,1,0.633553,0.227273,[2 2] ; [7 4],[2.4 1.6] ; [6.6 4.4],0
a4,1,0.641838,0.216346,[ 5 10] ; [ 8 22],[ 4.33333333 10.66666667] ; [ 8.66666667 21.33333333],0
s3,1,0.641838,0.216346,[ 5 10] ; [ 8 22],[ 4.33333333 10.66666667] ; [ 8.66666667 21.33333333],0
s7,1,0.643429,0.214286,[ 4 10] ; [10 18],[4.66666667 9.33333333] ; [ 9.33333333 18.66666667],0
