Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,3e-06,21.84389,[32 59] ; [72 33],[48.28571429 42.71428571] ; [55.71428571 49.28571429],1
v3,1,3e-06,21.773477,[22 69] ; [60 45],[38.07142857 52.92857143] ; [43.92857143 61.07142857],1
p7,1,0.00632,7.456861,[51 41] ; [77 27],[60.08163265 31.91836735] ; [67.91836735 36.08163265],0
n3,1,0.009907,6.651584,[18 16] ; [22  4],[22.66666667 11.33333333] ; [17.33333333  8.66666667],0
d4,1,0.036877,4.356062,[75 18] ; [99 10],[80.10891089 12.89108911] ; [93.89108911 15.10891089],0
r3,1,0.041833,4.141952,[80 13] ; [102   6],[84.20895522  8.79104478] ; [97.79104478 10.20895522],0
p9,1,0.060397,3.526459,[67 25] ; [88 17],[72.3857868 19.6142132] ; [82.6142132 22.3857868],0
s4,1,0.070857,3.263049,[24 68] ; [17 91],[18.86 73.14] ; [22.14 85.86],0
s1,1,0.099046,2.720832,[ 6 87] ; [  2 105],[ 3.72 89.28] ; [  4.28 102.72],0
b1,1,0.100992,2.6898,[50 43] ; [46 63],[44.1980198 48.8019802] ; [51.8019802 57.1980198],0
a3,1,0.104065,2.642107,[66 27] ; [88 21],[70.9009901 22.0990099] ; [83.0990099 25.9009901],0
p8,1,0.105166,2.625393,[38 55] ; [54 49],[43.65306122 49.34693878] ; [48.34693878 54.65306122],0
s2,1,0.138718,2.192127,[41 51] ; [60 49],[46.22885572 45.77114428] ; [54.77114428 54.22885572],0
u4,1,0.142802,2.147507,[ 1 92] ; [  5 104],[ 2.76237624 90.23762376] ; [  3.23762376 105.76237624],0
p1,1,0.143888,2.135878,[ 8 85] ; [  4 104],[ 5.55223881 87.44776119] ; [  6.44776119 101.55223881],0
r4,1,0.147216,2.100858,[73 20] ; [94 15],[76.88613861 16.11386139] ; [90.11386139 18.88613861],0
