Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,49.857584,[235  88] ; [107 139],[194.14059754 128.85940246] ; [147.85940246  98.14059754],1
v3,1,0.0,40.513669,[171 150] ; [ 67 183],[133.79684764 187.20315236] ; [104.20315236 145.79684764],1
n5,1,1.3e-05,19.067856,[277  55] ; [170  80],[254.98969072  77.01030928] ; [192.01030928  57.98969072],1
p3,1,7.6e-05,15.664864,[194 138] ; [107 148],[170.24190801 161.75809199] ; [130.75809199 124.24190801],1
p6,1,7.6e-05,15.646495,[148 175] ; [ 75 178],[125.05034722 197.94965278] ; [ 97.94965278 155.05034722],1
p4,1,0.000112,14.925791,[232  99] ; [138 115],[209.70890411 121.29109589] ; [160.29109589  92.70890411],1
p8,1,0.000114,14.892098,[210 116] ; [122 130],[187.25259516 138.74740484] ; [144.74740484 107.25259516],1
s5,1,0.000273,13.248311,[136 188] ; [ 67 179],[115.38947368 208.61052632] ; [ 87.61052632 158.38947368],1
p9,1,0.00038,12.627201,[307  23] ; [211  41],[293.71134021  36.28865979] ; [224.28865979  27.71134021],1
p7,1,0.000522,12.033813,[239  84] ; [149  98],[219.86666667 103.13333333] ; [168.13333333  78.86666667],1
s8,1,0.00068,11.543407,[175 157] ; [ 98 156],[154.66894198 177.33105802] ; [118.33105802 135.66894198],1
v4,1,0.002038,9.51515,[324   8] ; [233  20],[316.10940171  15.89059829] ; [240.89059829  12.10940171],0
b3,1,0.00625,7.476652,[105 120] ; [ 48 100],[ 92.2922252 132.7077748] ; [60.7077748 87.2922252],0
b2,1,0.00625,7.476652,[105 120] ; [ 48 100],[ 92.2922252 132.7077748] ; [60.7077748 87.2922252],0
p5,1,0.006334,7.452746,[ 52 278] ; [ 21 234],[ 41.17948718 288.82051282] ; [ 31.82051282 223.17948718],0
p10,1,0.009373,6.750256,[296  33] ; [209  44],[285.47250859  43.52749141] ; [219.52749141  33.47250859],0
s2,1,0.009572,6.712822,[187 143] ; [116 137],[171.50943396 158.49056604] ; [131.49056604 121.50943396],0
s6,1,0.010218,6.596519,[236  92] ; [154  95],[221.69844021 106.30155979] ; [168.30155979  80.69844021],0
p12,1,0.019458,5.459855,[ 38 291] ; [ 15 238],[ 29.9604811 299.0395189] ; [ 23.0395189 229.9604811],0
a5,1,0.023132,5.158529,[270  64] ; [186  69],[258.58064516  75.41935484] ; [197.41935484  57.58064516],0
a3,1,0.026414,4.9287,[264  69] ; [182  73],[252.58163265  80.41836735] ; [193.41836735  61.58163265],0
r4,1,0.02824,4.813337,[313  21] ; [226  29],[305.64685908  28.35314092] ; [233.35314092  21.64685908],0
d1,1,0.029321,4.748671,[244  90] ; [165  90],[231.9286927 102.0713073] ; [177.0713073  77.9286927],0
p2,1,0.034525,4.468501,[296  35] ; [212  42],[287.43247863  43.56752137] ; [220.56752137  33.43247863],0
r1,1,0.036342,4.380968,[282  51] ; [198  56],[272.29982964  60.70017036] ; [207.70017036  46.29982964],0
n4,1,0.03713,4.344424,[277  57] ; [193  61],[266.97278912  67.02721088] ; [203.02721088  50.97278912],0
u4,1,0.040005,4.217663,[ 11 323] ; [  2 253],[  7.37181664 326.62818336] ; [  5.62818336 249.37181664],0
s7,1,0.052978,3.744617,[172 148] ; [113 135],[160.56338028 159.43661972] ; [124.43661972 123.56338028],0
n6,1,0.059,3.56527,[297  35] ; [213  40],[289.43589744  42.56410256] ; [220.56410256  32.43589744],0
u1,1,0.059039,3.564166,[ 76 258] ; [ 42 213],[ 66.91341256 267.08658744] ; [ 51.08658744 203.91341256],0
d5,1,0.060322,3.528511,[299  35] ; [215  40],[291.47028862  42.52971138] ; [222.52971138  32.47028862],0
r2,1,0.088338,2.904405,[316  14] ; [233  19],[311.28865979  18.71134021] ; [237.71134021  14.28865979],0
s1,1,0.108667,2.573501,[  5 325] ; [  9 243],[  7.93814433 322.06185567] ; [  6.06185567 245.93814433],0
a4,1,0.116192,2.467917,[168 165] ; [112 143],[158.57142857 174.42857143] ; [121.42857143 133.57142857],0
b5,1,0.131878,2.27026,[204 130] ; [140 115],[195.06960951 138.93039049] ; [148.93039049 106.06960951],0
n1,1,0.139063,2.188294,[22 30] ; [18 44],[18.24561404 33.75438596] ; [21.75438596 40.24561404],0
d2,1,0.141925,2.156959,[179 154] ; [121 133],[170.18739353 162.81260647] ; [129.81260647 124.18739353],0
a2,1,0.174972,1.83982,[ 91 243] ; [ 57 198],[ 83.92529711 250.07470289] ; [ 64.07470289 190.92529711],0
n3,1,0.296816,1.088447,[33 19] ; [45 17],[35.57894737 16.42105263] ; [42.42105263 19.57894737],0
a8,1,0.340916,0.906982,[ 48 253] ; [ 31 207],[ 44.11688312 256.88311688] ; [ 34.88311688 203.11688312],0
p1,1,0.412025,0.67295,[ 27 306] ; [ 16 237],[ 24.43515358 308.56484642] ; [ 18.56484642 234.43515358],0
u3,1,0.460466,0.544761,[46 24] ; [43 29],[43.87323944 26.12676056] ; [45.12676056 26.87323944],0
n2,1,0.472011,0.517263,[40 12] ; [44 18],[38.31578947 13.68421053] ; [45.68421053 16.31578947],0
s3,1,0.478101,0.503192,[190 137] ; [139 113],[185.80829016 141.19170984] ; [143.19170984 108.80829016],0
s4,1,0.479957,0.498961,[ 48 281] ; [ 42 209],[ 51.05172414 277.94827586] ; [ 38.94827586 212.05172414],0
r3,1,0.572044,0.319275,[326   8] ; [245   8],[324.89608177   9.10391823] ; [246.10391823   6.89608177],0
b4,1,0.59502,0.282573,[205 129] ; [151 104],[201.87436333 132.12563667] ; [154.12563667 100.87436333],0
a1,1,0.596648,0.280081,[ 19 315] ; [ 12 243],[ 17.57894737 316.42105263] ; [ 13.42105263 241.57894737],0
a7,1,0.59803,0.277978,[243  90] ; [191  64],[245.78571429  87.21428571] ; [188.21428571  66.78571429],0
d3,1,0.647278,0.209349,[258  76] ; [201  54],[260.28183362  73.71816638] ; [198.71816638  56.28183362],0
b1,1,0.809768,0.057949,[116 218] ; [ 91 164],[117.3820034 216.6179966] ; [ 89.6179966 165.3820034],0
a6,1,0.87091,0.026407,[233 100] ; [180  75],[233.89285714  99.10714286] ; [179.10714286  75.89285714],0
u2,1,0.913584,0.011776,[44 26] ; [44 27],[43.68794326 26.31205674] ; [44.31205674 26.68794326],0
