Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.23363,[101   8] ; [51 27],[88.59893048 20.40106952] ; [63.40106952 14.59893048],1
r3,1,4e-06,21.054905,[102   7] ; [53 25],[90.34759358 18.65240642] ; [64.65240642 13.34759358],1
p9,1,6.8e-05,15.85777,[51 55] ; [15 62],[38.2295082 67.7704918] ; [27.7704918 49.2295082],1
p7,1,8e-05,15.558923,[60 49] ; [20 57],[46.88172043 62.11827957] ; [33.11827957 43.88172043],1
r4,1,0.00035,12.779642,[89 21] ; [45 34],[77.98941799 32.01058201] ; [56.01058201 22.98941799],1
p11,1,0.000725,11.423476,[65 45] ; [27 52],[53.54497354 56.45502646] ; [38.45502646 40.54497354],1
p8,1,0.001843,9.700165,[42 65] ; [14 64],[32.38918919 74.61081081] ; [23.61081081 54.38918919],0
p4,1,0.004739,7.97638,[48 61] ; [19 60],[38.84574468 70.15425532] ; [28.15425532 50.84574468],0
v2,1,0.010893,6.482645,[54 53] ; [24 52],[45.60655738 61.39344262] ; [32.39344262 43.60655738],0
n3,1,0.011049,6.457418,[30 11] ; [13 17],[24.83098592 16.16901408] ; [18.16901408 11.83098592],0
d3,1,0.012106,6.29529,[71 39] ; [36 42],[62.60638298 47.39361702] ; [44.39361702 33.60638298],0
a7,1,0.01221,6.280112,[73 36] ; [38 40],[64.70053476 44.29946524] ; [46.29946524 31.70053476],0
s1,1,0.016401,5.759394,[  3 105] ; [ 9 69],[  6.96774194 101.03225806] ; [ 5.03225806 72.96774194],0
b5,1,0.023347,5.142497,[75 35] ; [41 38],[67.51322751 42.48677249] ; [48.48677249 30.51322751],0
s3,1,0.024244,5.077124,[50 58] ; [23 54],[42.61621622 65.38378378] ; [30.38378378 46.61621622],0
r1,1,0.02673,4.908183,[81 28] ; [46 32],[74.02673797 34.97326203] ; [52.97326203 25.02673797],0
p3,1,0.036159,4.3896,[38 72] ; [16 62],[31.59574468 78.40425532] ; [22.40425532 55.59574468],0
p6,1,0.047099,3.941853,[30 77] ; [12 65],[24.42391304 82.57608696] ; [17.57608696 59.42391304],0
n6,1,0.047341,3.933228,[75 34] ; [42 35],[68.56451613 40.43548387] ; [48.43548387 28.56451613],0
s8,1,0.108304,2.578794,[29 80] ; [13 65],[24.48128342 84.51871658] ; [17.51871658 60.48128342],0
s7,1,0.114343,2.49314,[33 70] ; [16 59],[28.35393258 74.64606742] ; [20.64606742 54.35393258],0
a8,1,0.116337,2.46595,[17 80] ; [ 7 69],[13.4566474 83.5433526] ; [10.5433526 65.4566474],0
r2,1,0.148385,2.088779,[97 13] ; [62 15],[93.52941176 16.47058824] ; [65.47058824 11.52941176],0
n2,1,0.164804,1.929582,[27 13] ; [17 16],[24.10958904 15.89041096] ; [19.89041096 13.10958904],0
a6,1,0.177749,1.816342,[70 40] ; [42 36],[65.53191489 44.46808511] ; [46.46808511 31.53191489],0
b1,1,0.179915,1.798328,[49 61] ; [43 36],[53.54497354 56.45502646] ; [38.45502646 40.54497354],0
v1,1,0.181652,1.784056,[45 63] ; [25 53],[40.64516129 67.35483871] ; [29.35483871 48.64516129],0
d5,1,0.192239,1.700372,[79 31] ; [49 29],[74.89361702 35.10638298] ; [53.10638298 24.89361702],0
s2,1,0.203339,1.618226,[34 75] ; [18 61],[30.14893617 78.85106383] ; [21.85106383 57.14893617],0
s6,1,0.214672,1.539638,[49 60] ; [28 50],[44.88235294 64.11764706] ; [32.11764706 45.88235294],0
a1,1,0.226409,1.463282,[  6 104] ; [ 8 71],[  8.14814815 101.85185185] ; [ 5.85185185 73.14814815],0
s5,1,0.314346,1.012325,[20 88] ; [10 67],[17.51351351 90.48648649] ; [12.48648649 64.51351351],0
n5,1,0.328145,0.956206,[55 54] ; [45 33],[58.28877005 50.71122995] ; [41.71122995 36.28877005],0
v3,1,0.35619,0.85128,[27 78] ; [24 51],[29.75 75.25] ; [21.25 53.75],0
p1,1,0.385139,0.754235,[ 9 99] ; [ 4 75],[  7.50802139 100.49197861] ; [ 5.49197861 73.50802139],0
b4,1,0.398196,0.713767,[68 42] ; [44 35],[65.18518519 44.81481481] ; [46.81481481 32.18518519],0
u4,1,0.402993,0.699377,[  2 108] ; [ 3 76],[  2.91005291 107.08994709] ; [ 2.08994709 76.91005291],0
d1,1,0.41061,0.677032,[54 56] ; [34 45],[51.21693122 58.78306878] ; [36.78306878 42.21693122],0
u1,1,0.423897,0.639485,[17 93] ; [ 9 70],[15.13227513 94.86772487] ; [10.86772487 68.13227513],0
