Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4e-06,21.273102,[42  7] ; [14 23],[31.90697674 17.09302326] ; [24.09302326 12.90697674],1
a4,1,0.013918,6.048473,[20 29] ; [ 6 31],[14.81395349 34.18604651] ; [11.18604651 25.81395349],0
d2,1,0.041097,4.172028,[22 26] ; [ 9 28],[17.50588235 30.49411765] ; [13.49411765 23.50588235],0
u3,1,0.071355,3.251563,[ 4 18] ; [ 8 10],[ 6.6 15.4] ; [ 5.4 12.6],0
a5,1,0.072535,3.22471,[30 20] ; [15 22],[25.86206897 24.13793103] ; [19.13793103 17.86206897],0
d3,1,0.093093,2.820054,[20 30] ; [21 15],[23.8372093 26.1627907] ; [17.1627907 18.8372093],0
n1,1,0.098508,2.729529,[ 9 13] ; [ 4 18],[ 6.5 15.5] ; [ 6.5 15.5],0
p8,1,0.19408,1.686372,[11 38] ; [13 24],[13.6744186 35.3255814] ; [10.3255814 26.6744186],0
a7,1,0.201697,1.630046,[21 28] ; [21 16],[23.93023256 25.06976744] ; [18.06976744 18.93023256],0
v4,1,0.201996,1.627884,[27 23] ; [25 12],[29.88505747 20.11494253] ; [22.11494253 14.88505747],0
p4,1,0.272818,1.202521,[14 34] ; [15 22],[16.37647059 31.62352941] ; [12.62352941 24.37647059],0
b2,1,0.285913,1.138768,[12 17] ; [ 5 14],[10.27083333 18.72916667] ; [ 6.72916667 12.27083333],0
b3,1,0.285913,1.138768,[12 17] ; [ 5 14],[10.27083333 18.72916667] ; [ 6.72916667 12.27083333],0
b5,1,0.289774,1.12067,[24 26] ; [22 15],[26.43678161 23.56321839] ; [19.56321839 17.43678161],0
p1,1,0.292622,1.107516,[ 6 44] ; [ 2 35],[ 4.59770115 45.40229885] ; [ 3.40229885 33.59770115],0
u1,1,0.29392,1.101579,[ 4 46] ; [ 1 36],[ 2.87356322 47.12643678] ; [ 2.12643678 34.87356322],0
d1,1,0.322712,0.977924,[20 30] ; [11 26],[17.81609195 32.18390805] ; [13.18390805 23.81609195],0
n6,1,0.325884,0.965184,[31 17] ; [20 17],[28.8 19.2] ; [22.2 14.8],0
p7,1,0.339236,0.913315,[12 35] ; [13 24],[13.98809524 33.01190476] ; [11.01190476 25.98809524],0
a6,1,0.344759,0.892655,[24 26] ; [14 23],[21.83908046 28.16091954] ; [16.16091954 20.83908046],0
s8,1,0.403805,0.696965,[ 4 46] ; [ 5 32],[ 5.17241379 44.82758621] ; [ 3.82758621 33.17241379],0
s5,1,0.403805,0.696965,[ 4 46] ; [ 5 32],[ 5.17241379 44.82758621] ; [ 3.82758621 33.17241379],0
a8,1,0.43476,0.610074,[ 3 43] ; [ 1 35],[ 2.24390244 43.75609756] ; [ 1.75609756 34.24390244],0
v3,1,0.437716,0.602262,[13 37] ; [ 7 30],[11.49425287 38.50574713] ; [ 8.50574713 28.49425287],0
r2,1,0.475017,0.510283,[26 20] ; [18 19],[24.38554217 21.61445783] ; [19.61445783 17.38554217],0
p2,1,0.476168,0.507627,[23 24] ; [21 16],[24.61904762 22.38095238] ; [19.38095238 17.61904762],0
b1,1,0.489144,0.47841,[26 24] ; [22 15],[27.5862069 22.4137931] ; [20.4137931 16.5862069],0
n2,1,0.544827,0.366667,[13  9] ; [11 11],[12. 10.] ; [12. 10.],0
n3,1,0.546494,0.363636,[12 10] ; [10 12],[11. 11.] ; [11. 11.],0
