Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5.3e-05,16.321172,[2 5] ; [24  1],[5.6875 1.3125] ; [20.3125  4.6875],1
d2,1,0.002872,8.886857,[1 6] ; [19  6],[4.375 2.625] ; [15.625  9.375],0
p12,1,0.024767,5.040085,[3 4] ; [ 2 23],[1.09375 5.90625] ; [ 3.90625 21.09375],0
d1,1,0.060463,3.524627,[2 5] ; [17  8],[4.15625 2.84375] ; [14.84375 10.15625],0
d4,1,0.064488,3.418022,[4 3] ; [22  3],[5.6875 1.3125] ; [20.3125  4.6875],0
a4,1,0.075425,3.160816,[1 6] ; [13 12],[3.0625 3.9375] ; [10.9375 14.0625],0
p7,1,0.094497,2.796052,[3 4] ; [19  6],[4.8125 2.1875] ; [17.1875  7.8125],0
r1,1,0.109443,2.562245,[3 4] ; [18  6],[4.74193548 2.25806452] ; [16.25806452  7.74193548],0
d5,1,0.128695,2.30818,[4 3] ; [21  4],[5.46875 1.53125] ; [19.53125  5.46875],0
a3,1,0.151317,2.058924,[3 4] ; [18  7],[4.59375 2.40625] ; [16.40625  8.59375],0
p3,1,0.151317,2.058924,[3 4] ; [18  7],[4.59375 2.40625] ; [16.40625  8.59375],0
n6,1,0.159909,1.975088,[5 2] ; [22  2],[6.09677419 0.90322581] ; [20.90322581  3.09677419],0
s6,1,0.304807,1.053044,[3 4] ; [13  7],[4.14814815 2.85185185] ; [11.85185185  8.14814815],0
p4,1,0.309045,1.034753,[5 2] ; [21  3],[5.87096774 1.12903226] ; [20.12903226  3.87096774],0
d3,1,0.314069,1.013488,[3 4] ; [16  9],[4.15625 2.84375] ; [14.84375 10.15625],0
a6,1,0.326687,0.961988,[4 3] ; [19  6],[5.03125 1.96875] ; [17.96875  7.03125],0
s2,1,0.359756,0.838745,[3 4] ; [ 6 18],[2.03225806 4.96774194] ; [ 6.96774194 17.03225806],0
r4,1,0.451323,0.567326,[5 2] ; [21  4],[5.6875 1.3125] ; [20.3125  4.6875],0
p2,1,0.483008,0.492063,[5 2] ; [20  4],[5.64516129 1.35483871] ; [19.35483871  4.64516129],0
r2,1,0.483008,0.492063,[5 2] ; [20  4],[5.64516129 1.35483871] ; [19.35483871  4.64516129],0
u3,1,0.55368,0.350765,[3 1] ; [4 3],[2.54545455 1.45454545] ; [4.45454545 2.54545455],0
b4,1,0.580912,0.304762,[5 2] ; [15 10],[4.375 2.625] ; [15.625  9.375],0
a7,1,0.580912,0.304762,[5 2] ; [15 10],[4.375 2.625] ; [15.625  9.375],0
a1,1,0.614051,0.254319,[1 6] ; [ 2 23],[0.65625 6.34375] ; [ 2.34375 22.65625],0
r3,1,0.639291,0.219671,[6 1] ; [22  2],[6.32258065 0.67741935] ; [21.67741935  2.32258065],0
v3,1,0.665984,0.186335,[3 4] ; [12 11],[3.5 3.5] ; [11.5 11.5],0
v1,1,0.697893,0.150673,[4 3] ; [15  8],[4.43333333 2.56666667] ; [14.56666667  8.43333333],0
s5,1,0.711011,0.137269,[4 3] ; [13  7],[4.40740741 2.59259259] ; [12.59259259  7.40740741],0
p8,1,0.714546,0.133779,[5 2] ; [16  9],[4.59375 2.40625] ; [16.40625  8.59375],0
b5,1,0.74047,0.109714,[4 3] ; [16  9],[4.375 2.625] ; [15.625  9.375],0
b2,1,0.772205,0.083806,[2 2] ; [ 8 11],[1.73913043 2.26086957] ; [ 8.26086957 10.73913043],0
b3,1,0.772205,0.083806,[2 2] ; [ 8 11],[1.73913043 2.26086957] ; [ 8.26086957 10.73913043],0
a5,1,0.804997,0.060952,[5 2] ; [19  6],[5.25 1.75] ; [18.75  6.25],0
v2,1,0.817521,0.053239,[4 3] ; [12 11],[3.73333333 3.26666667] ; [12.26666667 10.73333333],0
s8,1,0.871602,0.026122,[1 6] ; [ 3 22],[0.875 6.125] ; [ 3.125 21.875],0
p6,1,0.955212,0.003154,[3 4] ; [10 14],[2.93548387 4.06451613] ; [10.06451613 13.93548387],0
b1,1,0.957035,0.002902,[4 3] ; [14 11],[3.9375 3.0625] ; [14.0625 10.9375],0
s4,1,0.965387,0.001883,[1 6] ; [ 3 19],[0.96551724 6.03448276] ; [ 3.03448276 18.96551724],0
s3,1,0.975646,0.000932,[2 5] ; [ 7 17],[2.03225806 4.96774194] ; [ 6.96774194 17.03225806],0
