Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.371652,[ 23 144] ; [26 32],[ 36.36888889 130.63111111] ; [12.63111111 45.36888889],1
s2,1,8.2e-05,15.51934,[ 23 143] ; [22 36],[ 33.34821429 132.65178571] ; [11.65178571 46.34821429],1
p6,1,0.000337,12.855435,[ 34 128] ; [26 31],[ 44.38356164 117.61643836] ; [15.61643836 41.38356164],1
s3,1,0.004548,8.050989,[ 36 127] ; [24 34],[ 44.25339367 118.74660633] ; [15.74660633 42.25339367],0
u1,1,0.007589,7.128011,[ 15 152] ; [13 45],[ 20.78222222 146.21777778] ; [ 7.21777778 50.78222222],0
p3,1,0.046839,3.95117,[68 98] ; [32 25],[74.43946188 91.56053812] ; [25.56053812 31.43946188],0
p10,1,0.047279,3.935447,[111  54] ; [47 11],[116.9058296  48.0941704] ; [41.0941704 16.9058296],0
p2,1,0.064342,3.42176,[116  49] ; [48 10],[121.34529148  43.65470852] ; [42.65470852 15.34529148],0
b1,1,0.064487,3.41806,[75 92] ; [18 40],[69.02666667 97.97333333] ; [23.97333333 34.02666667],0
p4,1,0.074342,3.184449,[71 93] ; [33 25],[76.82882883 87.17117117] ; [27.17117117 30.82882883],0
v4,1,0.0841,2.983829,[140  27] ; [53  4],[143.88839286  23.11160714] ; [49.11160714  7.88839286],0
p7,1,0.090226,2.870341,[84 81] ; [37 21],[89.52914798 75.47085202] ; [31.47085202 26.52914798],0
b3,1,0.096091,2.769247,[42 61] ; [24 19],[46.56164384 56.43835616] ; [19.43835616 23.56164384],0
b2,1,0.096091,2.769247,[42 61] ; [24 19],[46.56164384 56.43835616] ; [19.43835616 23.56164384],0
a3,1,0.123581,2.371336,[110  56] ; [44 13],[114.6367713  51.3632287] ; [39.3632287 17.6367713],0
d4,1,0.126098,2.339901,[124  42] ; [49  9],[128.20535714  37.79464286] ; [44.79464286 13.20535714],0
u3,1,0.13029,2.289045,[20 37] ; [8 6],[22.47887324 34.52112676] ; [5.52112676 8.47887324],0
r3,1,0.130481,2.28677,[141  24] ; [54  4],[144.28251121  20.71748879] ; [50.71748879  7.28251121],0
