Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,68.8838,[254  61] ; [36 62],[221.18644068  93.81355932] ; [68.81355932 29.18644068],1
d3,1,0.0,54.977434,[259  57] ; [43 55],[230.51207729  85.48792271] ; [71.48792271 26.51207729],1
a2,1,2e-06,22.837571,[ 99 218] ; [ 7 91],[ 80.9686747 236.0313253] ; [25.0313253 72.9686747],1
u1,1,6e-06,20.342602,[ 84 233] ; [ 5 93],[ 67.98313253 249.01686747] ; [21.01686747 76.98313253],1
b5,1,7.5e-05,15.690009,[201 116] ; [40 58],[184.08915663 132.91084337] ; [56.91084337 41.08915663],1
d1,1,0.001603,9.956159,[220  97] ; [51 47],[207.00481928 109.99518072] ; [63.99518072 34.00481928],0
v4,1,0.011435,6.396451,[305   8] ; [89  8],[300.78536585  12.21463415] ; [93.21463415  3.78536585],0
r1,1,0.026432,4.927531,[276  39] ; [77 21],[269.23728814  45.76271186] ; [83.76271186 14.23728814],0
r2,1,0.027391,4.865984,[304  10] ; [86  8],[300.14705882  13.85294118] ; [89.85294118  4.14705882],0
p12,1,0.030897,4.658679,[ 41 276] ; [ 5 93],[ 35.1373494 281.8626506] ; [10.8626506 87.1373494],0
b1,1,0.039044,4.25896,[ 97 220] ; [41 57],[105.41204819 211.58795181] ; [32.58795181 65.41204819],0
a5,1,0.054071,3.710501,[261  56] ; [72 26],[254.36385542  62.63614458] ; [78.63614458 19.36385542],0
r4,1,0.059804,3.542811,[299  18] ; [87 11],[294.84819277  22.15180723] ; [91.15180723  6.84819277],0
p1,1,0.06353,3.442743,[ 32 284] ; [ 4 94],[ 27.47826087 288.52173913] ; [ 8.52173913 89.47826087],0
v1,1,0.067774,3.33612,[198 112] ; [71 25],[205.39408867 104.60591133] ; [63.60591133 32.39408867],0
u2,1,0.096013,2.770547,[46 30] ; [ 7 11],[42.85106383 33.14893617] ; [10.14893617  7.85106383],0
s6,1,0.098933,2.722655,[225  86] ; [61 35],[218.54054054  92.45945946] ; [67.45945946 28.54054054],0
p7,1,0.114733,2.487789,[217  95] ; [74 21],[223.07616708  88.92383292] ; [67.92383292 27.07616708],0
n4,1,0.123303,2.37485,[253  64] ; [85 13],[258.18313253  58.81686747] ; [79.81686747 18.18313253],0
r3,1,0.139671,2.181579,[310   5] ; [94  4],[308.13559322   6.86440678] ; [95.86440678  2.13559322],0
n5,1,0.174634,1.842707,[249  64] ; [84 14],[253.59854015  59.40145985] ; [79.40145985 18.59854015],0
