Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.002482,9.154105,[12 14] ; [43 11],[17.875  8.125] ; [37.125 16.875],0
a6,1,0.00315,8.718575,[11 15] ; [41 13],[16.9  9.1] ; [35.1 18.9],0
s5,1,0.006092,7.522867,[10 14] ; [ 7 45],[ 5.36842105 18.63157895] ; [11.63157895 40.36842105],0
v2,1,0.021992,5.246397,[11 15] ; [36 16],[15.66666667 10.33333333] ; [31.33333333 20.66666667],0
u1,1,0.025734,4.973792,[ 1 25] ; [13 41],[ 4.55 21.45] ; [ 9.45 44.55],0
p2,1,0.032938,4.549007,[13 13] ; [40 14],[17.225  8.775] ; [35.775 18.225],0
s2,1,0.051812,3.781818,[15 11] ; [18 34],[11. 15.] ; [22. 30.],0
s1,1,0.062613,3.466787,[ 3 23] ; [ 1 53],[ 1.3 24.7] ; [ 2.7 51.3],0
a2,1,0.066839,3.358998,[ 4 22] ; [19 35],[ 7.475 18.525] ; [15.525 38.475],0
d5,1,0.084979,2.96701,[16 10] ; [43 11],[19.175  6.825] ; [39.825 14.175],0
n1,1,0.089192,2.888889,[6 2] ; [ 7 11],[4. 4.] ; [9. 9.],0
a3,1,0.106395,2.60697,[15 11] ; [40 13],[18.10126582  7.89873418] ; [36.89873418 16.10126582],0
r4,1,0.148678,2.085757,[18  8] ; [45  9],[20.475  5.525] ; [42.525 11.475],0
d4,1,0.148678,2.085757,[18  8] ; [45  9],[20.475  5.525] ; [42.525 11.475],0
b1,1,0.152078,2.051282,[16 10] ; [24 30],[13. 13.] ; [27. 27.],0
r1,1,0.161133,1.963561,[18  8] ; [44  9],[20.40506329  5.59493671] ; [41.59493671 11.40506329],0
p11,1,0.261302,1.261844,[16 10] ; [26 28],[13.65 12.35] ; [28.35 25.65],0
n6,1,0.279317,1.170411,[14 11] ; [37 17],[16.13924051  8.86075949] ; [34.86075949 19.13924051],0
s3,1,0.336668,0.923077,[15 11] ; [24 28],[13. 13.] ; [26. 26.],0
n4,1,0.359299,0.84034,[16  9] ; [40 14],[17.72151899  7.27848101] ; [38.27848101 15.72151899],0
p8,1,0.370229,0.802897,[ 7 19] ; [20 34],[ 8.775 17.225] ; [18.225 35.775],0
s7,1,0.370498,0.801993,[12 13] ; [19 32],[10.19736842 14.80263158] ; [20.80263158 30.19736842],0
n2,1,0.393454,0.728241,[7 1] ; [13  5],[6.15384615 1.84615385] ; [13.84615385  4.15384615],0
v4,1,0.416734,0.659506,[22  4] ; [49  5],[23.075  2.925] ; [47.925  6.075],0
a5,1,0.421222,0.646904,[17  9] ; [40 14],[18.525  7.475] ; [38.475 15.525],0
d1,1,0.423762,0.639859,[11 15] ; [28 26],[12.675 13.325] ; [26.325 27.675],0
s4,1,0.452166,0.565217,[ 2 24] ; [ 7 45],[ 3. 23.] ; [ 6. 46.],0
u3,1,0.495354,0.464876,[7 4] ; [7 7],[6.16 4.84] ; [7.84 6.16],0
n5,1,0.531365,0.39178,[12 13] ; [30 24],[13.29113924 11.70886076] ; [28.70886076 25.29113924],0
u2,1,0.536809,0.381485,[6 5] ; [5 7],[5.26086957 5.73913043] ; [5.73913043 6.26086957],0
p1,1,0.537674,0.379867,[ 1 25] ; [ 4 50],[ 1.625 24.375] ; [ 3.375 50.625],0
r2,1,0.540232,0.375109,[23  3] ; [50  4],[23.725  2.275] ; [49.275  4.725],0
p3,1,0.578346,0.308916,[11 15] ; [19 34],[ 9.87341772 16.12658228] ; [20.12658228 32.87341772],0
v3,1,0.580654,0.305179,[ 9 15] ; [23 29],[10.10526316 13.89473684] ; [21.89473684 30.10526316],0
p12,1,0.602405,0.271384,[ 1 25] ; [ 1 52],[ 0.65822785 25.34177215] ; [ 1.34177215 51.65822785],0
s8,1,0.607782,0.263417,[ 9 16] ; [16 37],[ 8.01282051 16.98717949] ; [16.98717949 36.01282051],0
p6,1,0.638923,0.220154,[ 7 18] ; [12 40],[ 6.16883117 18.83116883] ; [12.83116883 39.16883117],0
b4,1,0.650386,0.205413,[15 11] ; [34 20],[15.925 10.075] ; [33.075 20.925],0
b5,1,0.652265,0.203056,[17  9] ; [38 16],[17.875  8.125] ; [37.125 16.875],0
a4,1,0.692991,0.155867,[13 13] ; [24 29],[12.17721519 13.82278481] ; [24.82278481 28.17721519],0
p7,1,0.695233,0.153478,[12 14] ; [22 31],[11.18987342 14.81012658] ; [22.81012658 30.18987342],0
p4,1,0.725178,0.123585,[10 16] ; [23 31],[10.725 15.275] ; [22.275 31.725],0
r3,1,0.750278,0.101298,[23  3] ; [49  5],[23.4  2.6] ; [48.6  5.4],0
d2,1,0.756025,0.096538,[13 13] ; [29 25],[13.65 12.35] ; [28.35 25.65],0
p9,1,0.786868,0.073105,[ 9 17] ; [20 33],[ 9.5443038 16.4556962] ; [19.4556962 33.5443038],0
a8,1,0.85272,0.034466,[ 5 20] ; [ 8 36],[ 4.71014493 20.28985507] ; [ 8.28985507 35.71014493],0
n3,1,0.882832,0.021721,[6 2] ; [13  5],[5.84615385 2.15384615] ; [13.15384615  4.84615385],0
s6,1,0.899353,0.015997,[15 10] ; [31 22],[14.74358974 10.25641026] ; [31.25641026 21.74358974],0
b3,1,0.901164,0.015423,[ 7 13] ; [11 22],[ 6.79245283 13.20754717] ; [11.20754717 21.79245283],0
b2,1,0.901164,0.015423,[ 7 13] ; [11 22],[ 6.79245283 13.20754717] ; [11.20754717 21.79245283],0
