Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,59.689254,[269  63] ; [112 112],[227.50359712 104.49640288] ; [153.49640288  70.50359712],1
p8,1,0.0,26.829187,[249  82] ; [120 102],[220.86618445 110.13381555] ; [148.13381555  73.86618445],1
p5,1,6e-06,20.471986,[ 64 267] ; [ 13 211],[ 45.92252252 285.07747748] ; [ 31.07747748 192.92252252],1
p6,1,1e-05,19.559833,[183 144] ; [ 82 141],[157.55454545 169.44545455] ; [107.44545455 115.55454545],1
v3,1,3.6e-05,17.048537,[159 164] ; [ 68 149],[135.77962963 187.22037037] ; [ 91.22037037 125.77962963],1
s7,1,7.6e-05,15.656665,[193 125] ; [ 94 123],[170.59065421 147.40934579] ; [116.40934579 100.59065421],1
u1,1,0.000123,14.751472,[ 78 254] ; [ 24 201],[ 60.79712747 271.20287253] ; [ 41.20287253 183.79712747],1
p10,1,0.00027,13.268485,[296  34] ; [175  48],[281.06690778  48.93309222] ; [189.93309222  33.06690778],1
a5,1,0.000288,13.149301,[264  68] ; [148  77],[245.57271095  86.42728905] ; [166.42728905  58.57271095],1
p12,1,0.001177,10.526276,[ 37 293] ; [  8 217],[ 26.75675676 303.24324324] ; [ 18.24324324 206.75675676],0
p9,1,0.001233,10.440927,[300  31] ; [181  42],[287.38447653  43.61552347] ; [193.61552347  29.38447653],0
v1,1,0.001514,10.061871,[204 122] ; [107 112],[186.0293578 139.9706422] ; [124.9706422  94.0293578],0
a2,1,0.003185,8.698515,[ 97 235] ; [ 41 184],[ 82.25493716 249.74506284] ; [ 55.74506284 169.25493716],0
s5,1,0.005659,7.65591,[137 183] ; [ 69 153],[121.62361624 198.37638376] ; [ 84.37638376 137.62361624],0
n4,1,0.006249,7.477008,[273  58] ; [163  61],[260.02882883  70.97117117] ; [175.97117117  48.02882883],0
v2,1,0.008391,6.948098,[208 115] ; [114 101],[193.3197026 129.6802974] ; [128.6802974  86.3197026],0
u3,1,0.011996,6.311476,[53 30] ; [30 39],[45.32236842 37.67763158] ; [37.67763158 31.32236842],0
s8,1,0.014103,6.025254,[177 154] ; [ 96 128],[162.81621622 168.18378378] ; [110.18378378 113.81621622],0
r4,1,0.014619,5.9618,[318  14] ; [204  21],[311.13824057  20.86175943] ; [210.86175943  14.13824057],0
p1,1,0.017225,5.673288,[ 37 293] ; [ 12 212],[ 29.18772563 300.81227437] ; [ 19.81227437 204.18772563],0
b3,1,0.026193,4.943215,[ 91 126] ; [39 91],[ 81.29682997 135.70317003] ; [48.70317003 81.29682997],0
b2,1,0.026193,4.943215,[ 91 126] ; [39 91],[ 81.29682997 135.70317003] ; [48.70317003 81.29682997],0
d1,1,0.03061,4.674727,[209 123] ; [121 104],[196.69658887 135.30341113] ; [133.30341113  91.69658887],0
a4,1,0.032367,4.578938,[159 172] ; [ 87 137],[146.71351351 184.28648649] ; [ 99.28648649 124.71351351],0
p11,1,0.032789,4.556754,[283  49] ; [176  49],[273.58707361  58.41292639] ; [185.41292639  39.58707361],0
n5,1,0.033003,4.545637,[263  67] ; [161  63],[252.5631769  77.4368231] ; [171.4368231  52.5631769],0
n6,1,0.033304,4.530077,[292  38] ; [183  40],[283.45388788  46.54611212] ; [191.54611212  31.45388788],0
d2,1,0.038308,4.291292,[172 160] ; [ 96 128],[160.02877698 171.97122302] ; [107.97122302 116.02877698],0
p2,1,0.066082,3.377767,[304  27] ; [195  29],[297.6018018  33.3981982] ; [201.3981982  22.6018018],0
d5,1,0.080968,3.045373,[279  52] ; [175  48],[271.25270758  59.74729242] ; [182.74729242  40.25270758],0
a3,1,0.081989,3.025021,[249  81] ; [154  70],[240.05415162  89.94584838] ; [162.94584838  61.05415162],0
a6,1,0.083931,2.987087,[233  98] ; [142  82],[223.64864865 107.35135135] ; [151.35135135  72.64864865],0
a1,1,0.088489,2.90164,[ 23 309] ; [  8 217],[ 18.47755835 313.52244165] ; [ 12.52244165 212.47755835],0
s6,1,0.10501,2.627752,[236  88] ; [146  74],[227.51470588  96.48529412] ; [154.48529412  65.51470588],0
b1,1,0.135118,2.232697,[142 190] ; [ 82 143],[133.51526032 198.48473968] ; [ 90.48473968 134.51526032],0
s4,1,0.193476,1.690952,[ 63 266] ; [ 33 189],[ 57.32123412 271.67876588] ; [ 38.67876588 183.32123412],0
r2,1,0.20024,1.64062,[316  13] ; [206  14],[312.81967213  16.18032787] ; [209.18032787  10.81967213],0
b5,1,0.212605,1.5536,[186 146] ; [138  87],[193.12028725 138.87971275] ; [130.87971275  94.12028725],0
d4,1,0.258686,1.275774,[278  53] ; [179  44],[273.04512635  57.95487365] ; [183.95487365  39.04512635],0
s1,1,0.265748,1.238563,[  8 323] ; [  9 211],[ 10.2123412 320.7876588] ; [  6.7876588 213.2123412],0
n1,1,0.268462,1.224589,[17 27] ; [17 43],[14.38461538 29.61538462] ; [19.61538462 40.38461538],0
u2,1,0.336483,0.923786,[48 34] ; [35 34],[45.07284768 36.92715232] ; [37.92715232 31.07284768],0
a8,1,0.368008,0.810378,[ 46 254] ; [ 38 169],[ 49.70414201 250.29585799] ; [ 34.29585799 172.70414201],0
u4,1,0.370338,0.80253,[  8 324] ; [  3 222],[  6.55655296 325.44344704] ; [  4.44344704 220.55655296],0
a7,1,0.485109,0.487356,[241  90] ; [157  67],[237.36576577  93.63423423] ; [160.63423423  63.36576577],0
n3,1,0.582147,0.302776,[36  8] ; [48 14],[34.86792453  9.13207547] ; [49.13207547 12.86792453],0
s2,1,0.621151,0.244253,[177 154] ; [115 109],[174.14774775 156.85225225] ; [117.85225225 106.14774775],0
r1,1,0.668385,0.183497,[276  55] ; [182  40],[274.13743219  56.86256781] ; [183.86256781  38.13743219],0
v4,1,0.693164,0.155682,[322  10] ; [213   8],[321.19349005  10.80650995] ; [213.80650995   7.19349005],0
s3,1,0.723296,0.125356,[197 133] ; [128  92],[195. 135.] ; [130.  90.],0
b4,1,0.751774,0.100046,[186 146] ; [123 102],[184.17953321 147.82046679] ; [124.82046679 100.17953321],0
n2,1,0.793575,0.068472,[35  9] ; [48 14],[34.45283019  9.54716981] ; [48.54716981 13.45283019],0
d3,1,0.927596,0.008257,[233  99] ; [155  67],[232.5198556  99.4801444] ; [155.4801444  66.5198556],0
