Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,109.4358,[192  87] ; [ 5 85],[148.95121951 130.04878049] ; [48.04878049 41.95121951],1
d4,1,0.0,46.858753,[246  32] ; [50 40],[223.60869565  54.39130435] ; [72.39130435 17.60869565],1
a5,1,0.0,33.248207,[207  72] ; [37 53],[184.48780488  94.51219512] ; [59.51219512 30.48780488],1
d3,1,1e-06,24.217923,[208  71] ; [42 48],[189.02439024  89.97560976] ; [60.97560976 29.02439024],1
d2,1,2e-06,22.871091,[138 139] ; [19 71],[118.4986376 158.5013624] ; [38.5013624 51.4986376],1
a4,1,4e-06,21.261985,[130 149] ; [17 72],[111.44836957 167.55163043] ; [35.55163043 53.44836957],1
a3,1,0.000202,13.816523,[199  80] ; [45 45],[184.48780488  94.51219512] ; [59.51219512 30.48780488],1
n4,1,0.000311,13.004281,[214  64] ; [51 38],[200.73569482  77.26430518] ; [64.26430518 24.73569482],1
p2,1,0.000871,11.083937,[234  42] ; [62 28],[223.21311475  52.78688525] ; [72.78688525 17.21311475],1
r2,1,0.002079,9.478333,[257  17] ; [74 15],[249.84573003  24.15426997] ; [81.15426997  7.84573003],0
v2,1,0.002088,9.470121,[150 114] ; [32 53],[137.67335244 126.32664756] ; [44.32664756 40.67335244],0
a2,1,0.002093,9.466235,[ 58 221] ; [ 6 84],[ 48.3902439 230.6097561] ; [15.6097561 74.3902439],0
r1,1,0.002208,9.368048,[223  55] ; [58 32],[212.27717391  65.72282609] ; [68.72282609 21.27717391],0
p4,1,0.006807,7.323171,[117 160] ; [23 65],[106.24657534 170.75342466] ; [33.75342466 54.24657534],0
r3,1,0.014672,5.955408,[268   8] ; [81  8],[263.90136986  12.09863014] ; [85.09863014  3.90136986],0
u1,1,0.017159,5.67999,[ 38 241] ; [ 4 86],[ 31.75609756 247.24390244] ; [10.24390244 79.75609756],0
s8,1,0.017831,5.612629,[109 168] ; [23 67],[ 99.62942779 177.37057221] ; [32.37057221 57.62942779],0
r4,1,0.021192,5.310947,[247  32] ; [71 19],[240.43902439  38.56097561] ; [77.56097561 12.43902439],0
s1,1,0.024917,5.02962,[  4 268] ; [ 5 81],[  6.83798883 265.16201117] ; [ 2.16201117 83.83798883],0
a7,1,0.027873,4.83592,[201  77] ; [54 36],[192.63586957  85.36413043] ; [62.36413043 27.63586957],0
p10,1,0.033083,4.541462,[224  52] ; [62 26],[216.85714286  59.14285714] ; [69.14285714 18.85714286],0
s7,1,0.039111,4.256031,[114 158] ; [25 60],[105.9047619 166.0952381] ; [33.0952381 51.9047619],0
s4,1,0.04987,3.845838,[ 35 238] ; [19 70],[ 40.72375691 232.27624309] ; [13.27624309 75.72375691],0
s6,1,0.055265,3.674075,[174  99] ; [46 42],[166.37119114 106.62880886] ; [53.62880886 34.37119114],0
a6,1,0.055368,3.670969,[189  90] ; [51 39],[181.46341463  97.53658537] ; [58.53658537 31.46341463],0
v3,1,0.088161,2.907644,[ 91 173] ; [22 67],[ 84.50991501 179.49008499] ; [28.49008499 60.50991501],0
p8,1,0.089943,2.875396,[119 152] ; [30 59],[112.16388889 158.83611111] ; [36.83611111 52.16388889],0
p9,1,0.092061,2.837955,[230  43] ; [68 21],[224.73480663  48.26519337] ; [73.26519337 15.73480663],0
p7,1,0.101794,2.677213,[146 120] ; [38 47],[139.44159544 126.55840456] ; [44.55840456 40.44159544],0
s2,1,0.149557,2.076768,[129 147] ; [33 54],[123.17355372 152.82644628] ; [38.82644628 48.17355372],0
p1,1,0.1508,2.064139,[ 11 264] ; [ 7 83],[ 13.56164384 261.43835616] ; [ 4.43835616 85.56164384],0
n5,1,0.15317,2.040393,[200  75] ; [57 31],[194.6969697  80.3030303] ; [62.3030303 25.6969697],0
s5,1,0.169542,1.886991,[ 76 194] ; [18 69],[ 71.09243697 198.90756303] ; [22.90756303 64.09243697],0
b1,1,0.170587,1.877777,[ 78 201] ; [32 58],[ 83.17073171 195.82926829] ; [26.82926829 63.17073171],0
p6,1,0.178931,1.806479,[ 74 199] ; [18 72],[ 69.19008264 203.80991736] ; [22.80991736 67.19008264],0
n3,1,0.20782,1.586548,[52 22] ; [20  4],[54.36734694 19.63265306] ; [17.63265306  6.36734694],0
p12,1,0.278318,1.175283,[ 18 259] ; [ 3 85],[ 15.9369863 261.0630137] ; [ 5.0630137 82.9369863],0
n6,1,0.345393,0.890313,[229  46] ; [71 19],[226.02739726  48.97260274] ; [73.97260274 16.02739726],0
a8,1,0.366404,0.815824,[ 41 216] ; [10 74],[ 38.43695015 218.56304985] ; [12.56304985 71.43695015],0
b4,1,0.401694,0.703248,[175 104] ; [52 38],[171.63414634 107.36585366] ; [55.36585366 34.63414634],0
v1,1,0.431647,0.618389,[131 139] ; [38 49],[127.81512605 142.18487395] ; [41.18487395 45.81512605],0
n2,1,0.434632,0.610414,[56 18] ; [20  4],[57.3877551 16.6122449] ; [18.6122449  5.3877551],0
u2,1,0.454073,0.560465,[47 31] ; [24 21],[45.02439024 32.97560976] ; [25.97560976 19.02439024],0
a1,1,0.626399,0.236976,[  9 270] ; [ 2 88],[  8.31707317 270.68292683] ; [ 2.68292683 87.31707317],0
u3,1,0.652372,0.202922,[46 34] ; [24 21],[44.8 35.2] ; [25.2 19.8],0
u4,1,0.656914,0.197294,[  5 274] ; [ 1 89],[  4.53658537 274.46341463] ; [ 1.46341463 88.53658537],0
s3,1,0.672408,0.178799,[141 130] ; [43 44],[139.2849162 131.7150838] ; [44.7150838 42.2849162],0
b5,1,0.783637,0.075396,[175 104] ; [55 35],[173.90243902 105.09756098] ; [56.09756098 33.90243902],0
p5,1,0.84034,0.040586,[ 14 262] ; [ 5 84],[ 14.36712329 261.63287671] ; [ 4.63287671 84.36712329],0
b2,1,0.868181,0.027546,[ 56 109] ; [17 35],[ 55.50691244 109.49308756] ; [17.49308756 34.50691244],0
b3,1,0.868181,0.027546,[ 56 109] ; [17 35],[ 55.50691244 109.49308756] ; [17.49308756 34.50691244],0
v4,1,0.950259,0.003891,[255  19] ; [83  6],[255.12947658  18.87052342] ; [82.87052342  6.12947658],0
n1,1,0.963956,0.002042,[27 46] ; [ 9 15],[27.09278351 45.90721649] ; [ 8.90721649 15.09278351],0
