Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.021572,5.279994,[21 62] ; [14 15],[25.9375 57.0625] ; [ 9.0625 19.9375],0
p3,1,0.066456,3.368463,[26 57] ; [ 4 25],[22.23214286 60.76785714] ; [ 7.76785714 21.23214286],0
b4,1,0.076803,3.13129,[42 42] ; [20  9],[46.08849558 37.91150442] ; [15.91150442 13.08849558],0
p10,1,0.107906,2.584632,[39 42] ; [19 10],[42.70909091 38.29090909] ; [15.29090909 13.70909091],0
s5,1,0.133569,2.250527,[12 68] ; [ 8 21],[14.67889908 65.32110092] ; [ 5.32110092 23.67889908],0
n3,1,0.14989,2.073365,[19 14] ; [ 7 12],[16.5 16.5] ; [9.5 9.5],0
p11,1,0.17555,1.834899,[47 37] ; [12 17],[43.85840708 40.14159292] ; [15.14159292 13.85840708],0
a5,1,0.1795,1.801755,[40 44] ; [18 11],[43.11504425 40.88495575] ; [14.88495575 14.11504425],0
n1,1,0.186523,1.74487,[ 9 24] ; [ 9 11],[11.20754717 21.79245283] ; [ 6.79245283 13.20754717],0
n5,1,0.194944,1.679852,[53 30] ; [14 14],[50.0990991 32.9009009] ; [16.9009009 11.0990991],0
p8,1,0.215268,1.535637,[27 55] ; [ 6 23],[24.37837838 57.62162162] ; [ 8.62162162 20.37837838],0
r3,1,0.245332,1.349691,[49 34] ; [13 15],[46.36036036 36.63963964] ; [15.63963964 12.36036036],0
s4,1,0.255506,1.292944,[20 64] ; [ 4 25],[17.84070796 66.15929204] ; [ 6.15929204 22.84070796],0
d4,1,0.258576,1.276364,[51 33] ; [21  8],[53.52212389 30.47787611] ; [18.47787611 10.52212389],0
s7,1,0.260156,1.267926,[22 57] ; [11 17],[24.36448598 54.63551402] ; [ 8.63551402 19.36448598],0
a3,1,0.299882,1.074718,[41 42] ; [17 11],[43.36936937 39.63063063] ; [14.63063063 13.36936937],0
v4,1,0.31977,0.989885,[52 31] ; [14 13],[49.8 33.2] ; [16.2 10.8],0
p9,1,0.330356,0.947502,[47 33] ; [14 15],[44.7706422 35.2293578] ; [16.2293578 12.7706422],0
p4,1,0.366573,0.815249,[34 50] ; [ 9 20],[31.96460177 52.03539823] ; [11.03539823 17.96460177],0
p6,1,0.383046,0.760902,[17 63] ; [ 4 25],[15.41284404 64.58715596] ; [ 5.58715596 23.41284404],0
a7,1,0.416653,0.659735,[39 45] ; [16 13],[40.88495575 43.11504425] ; [14.11504425 14.88495575],0
a2,1,0.426531,0.632251,[ 5 79] ; [ 3 26],[ 5.94690265 78.05309735] ; [ 2.05309735 26.94690265],0
s1,1,0.426531,0.632251,[ 5 79] ; [ 3 26],[ 5.94690265 78.05309735] ; [ 2.05309735 26.94690265],0
s6,1,0.434682,0.610282,[28 56] ; [12 17],[29.73451327 54.26548673] ; [10.26548673 18.73451327],0
v2,1,0.449203,0.572661,[28 55] ; [ 7 20],[26.40909091 56.59090909] ; [ 8.59090909 18.40909091],0
s2,1,0.486532,0.484187,[26 58] ; [ 7 22],[24.53097345 59.46902655] ; [ 8.46902655 20.53097345],0
d2,1,0.541221,0.373282,[31 52] ; [ 9 20],[29.64285714 53.35714286] ; [10.35714286 18.64285714],0
a1,1,0.582932,0.301519,[ 6 78] ; [ 3 26],[ 6.69026549 77.30973451] ; [ 2.30973451 26.69026549],0
u3,1,0.583584,0.300477,[14 28] ; [3 9],[13.22222222 28.77777778] ; [3.77777778 8.22222222],0
p7,1,0.591855,0.287456,[34 48] ; [10 18],[32.8 49.2] ; [11.2 16.8],0
p5,1,0.595166,0.282348,[ 6 77] ; [ 3 26],[ 6.66964286 76.33035714] ; [ 2.33035714 26.66964286],0
b1,1,0.612473,0.256589,[48 36] ; [15 14],[46.83185841 37.16814159] ; [16.16814159 12.83185841],0
s8,1,0.624554,0.239519,[14 70] ; [ 6 23],[14.86725664 69.13274336] ; [ 5.13274336 23.86725664],0
b2,1,0.629523,0.232708,[16 36] ; [ 5 15],[15.16666667 36.83333333] ; [ 5.83333333 14.16666667],0
b3,1,0.629523,0.232708,[16 36] ; [ 5 15],[15.16666667 36.83333333] ; [ 5.83333333 14.16666667],0
s3,1,0.636186,0.223766,[31 51] ; [12 16],[32.05454545 49.94545455] ; [10.94545455 17.05454545],0
d5,1,0.642615,0.215339,[48 36] ; [18 11],[49.0619469 34.9380531] ; [16.9380531 12.0619469],0
d1,1,0.64764,0.208889,[30 54] ; [ 9 20],[28.99115044 55.00884956] ; [10.00884956 18.99115044],0
d3,1,0.660368,0.193077,[39 44] ; [15 14],[40.01785714 42.98214286] ; [13.98214286 15.01785714],0
n2,1,0.697743,0.15083,[18 15] ; [12  8],[18.67924528 14.32075472] ; [11.32075472  8.67924528],0
a6,1,0.711289,0.136993,[41 43] ; [13 16],[40.14159292 43.85840708] ; [13.85840708 15.14159292],0
v1,1,0.712951,0.135347,[25 55] ; [ 8 21],[24.22018349 55.77981651] ; [ 8.77981651 20.22018349],0
u2,1,0.721418,0.127138,[17 26] ; [5 6],[17.51851852 25.48148148] ; [4.48148148 6.51851852],0
n6,1,0.746243,0.104715,[46 37] ; [14 13],[45.27272727 37.72727273] ; [14.72727273 12.27272727],0
b5,1,0.777187,0.080081,[46 38] ; [15 14],[45.34513274 38.65486726] ; [15.65486726 13.34513274],0
p2,1,0.788574,0.071911,[51 32] ; [17 12],[50.39285714 32.60714286] ; [17.60714286 11.39285714],0
r2,1,0.835956,0.042878,[41 36] ; [15 12],[41.46153846 35.53846154] ; [14.53846154 12.46153846],0
n4,1,0.853535,0.034081,[48 36] ; [16 13],[47.57522124 36.42477876] ; [16.42477876 12.57522124],0
p1,1,0.855696,0.033071,[ 5 79] ; [ 2 27],[ 5.20353982 78.79646018] ; [ 1.79646018 27.20353982],0
u1,1,0.964436,0.001988,[ 6 78] ; [ 2 27],[ 5.94690265 78.05309735] ; [ 2.05309735 26.94690265],0
a8,1,1.0,0.0,[ 6 75] ; [ 2 25],[ 6. 75.] ; [ 2. 25.],0
