Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.5e-05,18.799627,[31  4] ; [ 5 12],[24.23076923 10.76923077] ; [11.76923077  5.23076923],1
p2,1,0.000387,12.592365,[33  2] ; [9 8],[28.26923077  6.73076923] ; [13.73076923  3.26923077],1
d3,1,0.000883,11.058218,[30  5] ; [ 7 10],[24.90384615 10.09615385] ; [12.09615385  4.90384615],1
d5,1,0.016877,5.709126,[32  3] ; [11  6],[28.94230769  6.05769231] ; [14.05769231  2.94230769],0
b1,1,0.084277,2.980423,[18 17] ; [13  4],[20.86538462 14.13461538] ; [10.13461538  6.86538462],0
p9,1,0.084901,2.968495,[31  4] ; [11  5],[28.82352941  6.17647059] ; [13.17647059  2.82352941],0
p7,1,0.086308,2.941918,[23  9] ; [8 9],[20.24489796 11.75510204] ; [10.75510204  6.24489796],0
s6,1,0.148869,2.083801,[27  8] ; [15  1],[28.82352941  6.17647059] ; [13.17647059  2.82352941],0
s2,1,0.151697,2.055099,[19 15] ; [13  4],[21.33333333 12.66666667] ; [10.66666667  6.33333333],0
r2,1,0.15713,2.001634,[32  2] ; [13  3],[30.6  3.4] ; [14.4  1.6],0
p1,1,0.170936,1.874715,[ 2 33] ; [ 3 14],[ 3.36538462 31.63461538] ; [ 1.63461538 15.36538462],0
a2,1,0.185642,1.751872,[ 7 28] ; [ 1 16],[ 5.38461538 29.61538462] ; [ 2.61538462 14.38461538],0
d4,1,0.194199,1.685474,[30  5] ; [12  5],[28.26923077  6.73076923] ; [13.73076923  3.26923077],0
v1,1,0.195517,1.67555,[17 16] ; [12  5],[19.14 13.86] ; [9.86 7.14],0
n1,1,0.204894,1.607143,[3 6] ; [4 2],[4.2 4.8] ; [2.8 3.2],0
r1,1,0.232181,1.427451,[28  7] ; [11  6],[26.25  8.75] ; [12.75  4.25],0
b5,1,0.272215,1.205549,[24 11] ; [9 8],[22.21153846 12.78846154] ; [10.78846154  6.21153846],0
v2,1,0.350201,0.872727,[15 18] ; [9 6],[16.5 16.5] ; [7.5 7.5],0
s3,1,0.356744,0.849324,[21 12] ; [13  4],[22.44 10.56] ; [11.56  5.44],0
n5,1,0.365842,0.817739,[17 18] ; [ 6 11],[15.48076923 19.51923077] ; [7.51923077 9.48076923],0
d2,1,0.378104,0.776859,[14 21] ; [9 8],[15.48076923 19.51923077] ; [7.51923077 9.48076923],0
s4,1,0.393438,0.728291,[10 25] ; [ 3 14],[ 8.75 26.25] ; [ 4.25 12.75],0
v3,1,0.415583,0.662773,[ 9 23] ; [6 9],[10.21276596 21.78723404] ; [ 4.78723404 10.21276596],0
a4,1,0.474441,0.511615,[ 9 26] ; [ 6 11],[10.09615385 24.90384615] ; [ 4.90384615 12.09615385],0
n4,1,0.493822,0.468187,[15 20] ; [9 8],[16.15384615 18.84615385] ; [7.84615385 9.15384615],0
d1,1,0.494225,0.467315,[22 13] ; [9 8],[20.86538462 14.13461538] ; [10.13461538  6.86538462],0
b2,1,0.497754,0.459722,[ 8 17] ; [6 8],[ 8.97435897 16.02564103] ; [5.02564103 8.97435897],0
b3,1,0.497754,0.459722,[ 8 17] ; [6 8],[ 8.97435897 16.02564103] ; [5.02564103 8.97435897],0
p12,1,0.562451,0.335477,[ 1 34] ; [ 1 15],[ 1.37254902 33.62745098] ; [ 0.62745098 15.37254902],0
n3,1,0.585106,0.298052,[7 3] ; [4 3],[6.47058824 3.52941176] ; [4.52941176 2.47058824],0
a1,1,0.594638,0.28316,[ 1 34] ; [ 1 16],[ 1.34615385 33.65384615] ; [ 0.65384615 16.34615385],0
s1,1,0.625893,0.237671,[ 1 32] ; [ 1 16],[ 1.32 31.68] ; [ 0.68 16.32],0
a8,1,0.650153,0.205707,[ 5 25] ; [ 2 15],[ 4.46808511 25.53191489] ; [ 2.53191489 14.46808511],0
s5,1,0.742876,0.107615,[13 21] ; [ 5 10],[12.48979592 21.51020408] ; [5.51020408 9.48979592],0
r4,1,0.752656,0.099312,[30  5] ; [14  3],[29.61538462  5.38461538] ; [14.38461538  2.61538462],0
n2,1,0.761001,0.092517,[8 2] ; [6 1],[8.23529412 1.76470588] ; [5.76470588 1.23529412],0
p4,1,0.77475,0.081892,[20 15] ; [9 8],[19.51923077 15.48076923] ; [9.48076923 7.51923077],0
a3,1,0.779128,0.078655,[22 13] ; [10  7],[21.53846154 13.46153846] ; [10.46153846  6.53846154],0
p6,1,0.780438,0.077701,[11 24] ; [ 6 11],[11.44230769 23.55769231] ; [ 5.55769231 11.44230769],0
a5,1,0.780438,0.077701,[24 11] ; [11  6],[23.55769231 11.44230769] ; [11.44230769  5.55769231],0
b4,1,0.908388,0.013242,[20 15] ; [10  7],[20.19230769 14.80769231] ; [9.80769231 7.19230769],0
p10,1,0.91691,0.010884,[28  7] ; [13  3],[28.1372549  6.8627451] ; [12.8627451  3.1372549],0
p8,1,0.918433,0.010487,[17 18] ; [8 9],[16.82692308 18.17307692] ; [8.17307692 8.82692308],0
p3,1,0.927308,0.008323,[16 19] ; [8 9],[16.15384615 18.84615385] ; [7.84615385 9.15384615],0
s7,1,0.938446,0.005963,[20 14] ; [9 6],[20.12244898 13.87755102] ; [8.87755102 6.12244898],0
p11,1,0.956956,0.002913,[27  8] ; [13  4],[26.92307692  8.07692308] ; [13.07692308  3.92307692],0
