Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,58.203096,[147  38] ; [100 135],[108.79761905  76.20238095] ; [138.20238095  96.79761905],1
v1,1,0.0,27.169238,[134  52] ; [111 126],[107.73049645  78.26950355] ; [137.26950355  99.73049645],1
n4,1,0.00012,14.791208,[164  24] ; [174  68],[147.77674419  40.22325581] ; [190.22325581  51.77674419],1
s4,1,0.000369,12.682824,[ 31 157] ; [ 75 163],[ 46.77934272 141.22065728] ; [ 59.22065728 178.77934272],1
p12,1,0.00061,11.74467,[ 32 154] ; [ 16 225],[ 20.90866511 165.09133489] ; [ 27.09133489 213.90866511],1
n5,1,0.001275,10.378607,[160  27] ; [175  66],[146.36682243  40.63317757] ; [188.63317757  52.36682243],0
a5,1,0.00383,8.362779,[155  32] ; [173  71],[142.31090487  44.68909513] ; [185.68909513  58.31090487],0
p5,1,0.008426,6.940518,[ 33 153] ; [ 22 219],[ 23.95784543 162.04215457] ; [ 31.04215457 209.95784543],0
p8,1,0.01164,6.364943,[112  72] ; [116 123],[99.17730496 84.82269504] ; [128.82269504 110.17730496],0
s8,1,0.014526,5.973036,[126  60] ; [137 107],[113.7627907  72.2372093] ; [149.2372093  94.7627907],0
a1,1,0.020353,5.381377,[ 17 171] ; [  9 235],[ 11.31481481 176.68518519] ; [ 14.68518519 229.31481481],0
r1,1,0.024895,5.031174,[165  22] ; [194  48],[156.48717949  30.51282051] ; [202.51282051  39.48717949],0
n6,1,0.042147,4.129293,[167  18] ; [202  40],[159.87119438  25.12880562] ; [209.12880562  32.87119438],0
s7,1,0.045659,3.994141,[136  43] ; [156  77],[126.86407767  52.13592233] ; [165.13592233  67.86407767],0
p3,1,0.048488,3.892999,[108  77] ; [118 124],[97.91569087 87.08430913] ; [128.08430913 113.91569087],0
a4,1,0.078011,3.105851,[98 89] ; [107 137],[88.94431555 98.05568445] ; [116.05568445 127.94431555],0
p1,1,0.085978,2.94811,[ 23 163] ; [ 18 224],[ 17.81775701 168.18224299] ; [ 23.18224299 218.81775701],0
a3,1,0.092786,2.825364,[148  38] ; [177  67],[140.58139535  45.41860465] ; [184.41860465  59.58139535],0
s5,1,0.097116,2.752275,[99 81] ; [108 123],[90.65693431 89.34306569] ; [116.34306569 114.65693431],0
d1,1,0.11796,2.444198,[127  61] ; [147  97],[119.24074074  68.75925926] ; [154.75925926  89.24074074],0
b5,1,0.12662,2.333459,[105  83] ; [154  90],[112.71296296  75.28703704] ; [146.28703704  97.71296296],0
b3,1,0.14019,2.175872,[49 61] ; [54 98],[43.24427481 66.75572519] ; [59.75572519 92.24427481],0
b2,1,0.14019,2.175872,[49 61] ; [54 98],[43.24427481 66.75572519] ; [59.75572519 92.24427481],0
u1,1,0.146385,2.109522,[ 48 140] ; [ 48 196],[ 41.77777778 146.22222222] ; [ 54.22222222 189.77777778],0
u4,1,0.172791,1.858562,[  7 181] ; [  4 240],[  4.78703704 183.21296296] ; [  6.21296296 237.78703704],0
r4,1,0.176191,1.829459,[180   8] ; [226  18],[176.68518519  11.31481481] ; [229.31481481  14.68518519],0
