Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,7.6e-05,15.657498,[31 24] ; [55  7],[40.42735043 14.57264957] ; [45.57264957 16.42735043],1
a2,1,0.001844,9.699025,[14 42] ; [ 3 59],[ 8.06779661 47.93220339] ; [ 8.93220339 53.06779661],0
n4,1,0.005943,7.567643,[41 15] ; [30 32],[33.69491525 22.30508475] ; [37.30508475 24.69491525],0
v2,1,0.012716,6.208251,[12 42] ; [27 34],[18.31304348 35.68695652] ; [20.68695652 40.31304348],0
a4,1,0.015366,5.873962,[29 26] ; [19 43],[22.56410256 32.43589744] ; [25.43589744 36.56410256],0
p2,1,0.030992,4.653391,[26 30] ; [41 21],[31.79661017 24.20338983] ; [35.20338983 26.79661017],0
r1,1,0.039609,4.234563,[26 29] ; [41 21],[31.4957265 23.5042735] ; [35.5042735 26.4957265],0
a6,1,0.04207,4.132388,[40 16] ; [33 29],[34.6440678 21.3559322] ; [38.3559322 23.6440678],0
d4,1,0.055707,3.66081,[30 24] ; [45 17],[34.9137931 19.0862069] ; [40.0862069 21.9137931],0
a1,1,0.058056,3.592072,[ 7 49] ; [ 2 60],[ 4.27118644 51.72881356] ; [ 4.72881356 57.27118644],0
p11,1,0.05938,3.554611,[21 35] ; [34 28],[26.10169492 29.89830508] ; [28.89830508 33.10169492],0
d2,1,0.069623,3.29189,[30 24] ; [24 38],[25.13793103 28.86206897] ; [28.86206897 33.13793103],0
n3,1,0.077318,3.120395,[12 14] ; [17  7],[15.08 10.92] ; [13.92 10.08],0
r4,1,0.077961,3.106905,[30 26] ; [43 19],[34.6440678 21.3559322] ; [38.3559322 23.6440678],0
n1,1,0.086101,2.94581,[11 15] ; [ 5 20],[ 8.15686275 17.84313725] ; [ 7.84313725 17.15686275],0
n6,1,0.199145,1.648636,[34 21] ; [31 31],[30.55555556 24.44444444] ; [34.44444444 27.55555556],0
p3,1,0.19915,1.648595,[10 46] ; [17 44],[12.92307692 43.07692308] ; [14.07692308 46.92307692],0
v4,1,0.219026,1.510742,[38 17] ; [49 13],[40.8974359 14.1025641] ; [46.1025641 15.8974359],0
a5,1,0.25169,1.313897,[33 23] ; [30 32],[29.89830508 26.10169492] ; [33.10169492 28.89830508],0
s7,1,0.283807,1.148767,[ 5 48] ; [ 9 46],[ 6.87037037 46.12962963] ; [ 7.12962963 47.87037037],0
u3,1,0.284023,1.147741,[ 5 16] ; [10 16],[ 6.70212766 14.29787234] ; [ 8.29787234 17.70212766],0
p7,1,0.284654,1.144735,[19 37] ; [27 35],[21.83050847 34.16949153] ; [24.16949153 37.83050847],0
s2,1,0.316384,1.003837,[ 4 51] ; [ 8 54],[ 5.64102564 49.35897436] ; [ 6.35897436 55.64102564],0
p4,1,0.317397,0.999645,[12 44] ; [18 43],[14.35897436 41.64102564] ; [15.64102564 45.35897436],0
s5,1,0.374048,0.790173,[ 5 49] ; [ 3 57],[ 3.78947368 50.21052632] ; [ 4.21052632 55.78947368],0
d5,1,0.38537,0.753501,[36 20] ; [35 27],[33.69491525 22.30508475] ; [37.30508475 24.69491525],0
b4,1,0.388556,0.743457,[29 27] ; [37 25],[31.3220339 24.6779661] ; [34.6779661 27.3220339],0
p1,1,0.390555,0.737212,[ 5 51] ; [ 3 58],[ 3.82905983 52.17094017] ; [ 4.17094017 56.82905983],0
s3,1,0.510026,0.434014,[12 44] ; [16 44],[13.51724138 42.48275862] ; [14.48275862 45.51724138],0
d1,1,0.523299,0.407386,[24 32] ; [23 39],[22.30508475 33.69491525] ; [24.69491525 37.30508475],0
p8,1,0.553874,0.350422,[11 44] ; [15 46],[12.32758621 42.67241379] ; [13.67241379 47.32758621],0
