Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.6e-05,17.672461,[45  8] ; [ 8 14],[37.45333333 15.54666667] ; [15.54666667  6.45333333],1
n6,1,0.00239,9.222772,[46  7] ; [12 10],[40.98666667 12.01333333] ; [17.01333333  4.98666667],0
s4,1,0.007003,7.272223,[12 41] ; [12 10],[16.96 36.04] ; [ 7.04 14.96],0
p9,1,0.040422,4.20007,[47  5] ; [15  6],[44.16438356  7.83561644] ; [17.83561644  3.16438356],0
n3,1,0.040997,4.176136,[17  3] ; [5 5],[14.66666667  5.33333333] ; [7.33333333 2.66666667],0
b4,1,0.060078,3.53523,[26 27] ; [16  6],[29.68 23.32] ; [12.32  9.68],0
a7,1,0.082454,3.015864,[27 26] ; [16  6],[30.38666667 22.61333333] ; [12.61333333  9.38666667],0
u2,1,0.082735,3.010338,[7 8] ; [6 1],[8.86363636 6.13636364] ; [4.13636364 2.86363636],0
p2,1,0.099246,2.717624,[45  8] ; [15  7],[42.4 10.6] ; [17.6  4.4],0
v3,1,0.149403,2.078336,[23 30] ; [ 5 15],[20.32876712 32.67123288] ; [ 7.67123288 12.32876712],0
s5,1,0.153318,2.038925,[16 31] ; [11 10],[18.66176471 28.33823529] ; [ 8.33823529 12.66176471],0
a8,1,0.271315,1.210084,[ 7 44] ; [ 1 20],[ 5.66666667 45.33333333] ; [ 2.33333333 18.66666667],0
a5,1,0.271762,1.207833,[36 17] ; [12 10],[33.92 19.08] ; [14.08  7.92],0
v2,1,0.284378,1.146047,[27 25] ; [ 8 13],[24.93150685 27.06849315] ; [10.06849315 10.93150685],0
r3,1,0.288498,1.126618,[48  5] ; [18  4],[46.64  6.36] ; [19.36  2.64],0
v4,1,0.302772,1.061945,[47  5] ; [18  4],[45.67567568  6.32432432] ; [19.32432432  2.67567568],0
p11,1,0.310356,1.02916,[44  9] ; [16  6],[42.4 10.6] ; [17.6  4.4],0
n2,1,0.332922,0.9375,[17  3] ; [7 3],[16.  4.] ; [8. 2.],0
d5,1,0.358896,0.841754,[38 15] ; [18  4],[39.57333333 13.42666667] ; [16.42666667  5.57333333],0
n1,1,0.403755,0.697115,[10 10] ; [6 3],[11.03448276  8.96551724] ; [4.96551724 4.03448276],0
b1,1,0.436736,0.604843,[19 34] ; [10 12],[20.49333333 32.50666667] ; [ 8.50666667 13.49333333],0
s3,1,0.464248,0.535634,[36 17] ; [13  9],[34.62666667 18.37333333] ; [14.37333333  7.62666667],0
p6,1,0.476608,0.506614,[25 25] ; [ 9 13],[23.61111111 26.38888889] ; [10.38888889 11.61111111],0
u1,1,0.477402,0.504792,[ 5 48] ; [ 1 21],[ 4.24 48.76] ; [ 1.76 20.24],0
r2,1,0.492353,0.47138,[44  4] ; [19  3],[43.2  4.8] ; [19.8  2.2],0
b2,1,0.519114,0.415654,[16 27] ; [7 8],[17.05172414 25.94827586] ; [5.94827586 9.05172414],0
b3,1,0.519114,0.415654,[16 27] ; [7 8],[17.05172414 25.94827586] ; [5.94827586 9.05172414],0
d2,1,0.534444,0.385935,[20 33] ; [10 12],[21.2 31.8] ; [ 8.8 13.2],0
p10,1,0.567373,0.327098,[41 11] ; [16  6],[40.05405405 11.94594595] ; [16.94594595  5.05405405],0
u3,1,0.603743,0.269388,[9 6] ; [5 2],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
d3,1,0.619982,0.245893,[28 25] ; [13  9],[28.97333333 24.02666667] ; [12.02666667  9.97333333],0
b5,1,0.678759,0.171527,[31 22] ; [14  8],[31.8 21.2] ; [13.2  8.8],0
p8,1,0.685684,0.163797,[25 27] ; [ 9 12],[24.21917808 27.78082192] ; [ 9.78082192 11.21917808],0
v1,1,0.72391,0.124777,[24 24] ; [10 12],[23.31428571 24.68571429] ; [10.68571429 11.31428571],0
a4,1,0.73841,0.111529,[19 34] ; [ 7 15],[18.37333333 34.62666667] ; [ 7.62666667 14.37333333],0
a3,1,0.760732,0.092732,[38 15] ; [15  7],[37.45333333 15.54666667] ; [15.54666667  6.45333333],0
p1,1,0.778737,0.078941,[ 6 47] ; [ 3 19],[ 6.36 46.64] ; [ 2.64 19.36],0
r4,1,0.797237,0.06601,[33 20] ; [13  9],[32.50666667 20.49333333] ; [13.49333333  8.50666667],0
a6,1,0.842829,0.039313,[30 23] ; [13  9],[30.38666667 22.61333333] ; [12.61333333  9.38666667],0
p7,1,0.856405,0.032744,[31 21] ; [13  8],[31.34246575 20.65753425] ; [12.65753425  8.34246575],0
p3,1,0.870127,0.026731,[30 23] ; [12 10],[29.68 23.32] ; [12.32  9.68],0
d1,1,0.892165,0.018378,[25 28] ; [10 12],[24.73333333 28.26666667] ; [10.26666667 11.73333333],0
s8,1,0.910935,0.012513,[33 20] ; [14  8],[33.21333333 19.78666667] ; [13.78666667  8.21333333],0
p4,1,0.917535,0.01072,[32 21] ; [13  9],[31.8 21.2] ; [13.2  8.8],0
s6,1,0.949395,0.004028,[36 14] ; [16  6],[36.11111111 13.88888889] ; [15.88888889  6.11111111],0
a2,1,0.960331,0.002474,[ 7 46] ; [ 3 19],[ 7.06666667 45.93333333] ; [ 2.93333333 19.06666667],0
s2,1,0.966284,0.001787,[34 19] ; [14  8],[33.92 19.08] ; [14.08  7.92],0
d4,1,0.993556,6.5e-05,[41 12] ; [17  5],[40.98666667 12.01333333] ; [17.01333333  4.98666667],0
