Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.200115,[23 20] ; [84 10],[33.58394161  9.41605839] ; [73.41605839 20.58394161],1
p9,1,3.9e-05,16.898681,[18 22] ; [75 18],[27.96992481 12.03007519] ; [65.03007519 27.96992481],1
r4,1,5.9e-05,16.142079,[19 24] ; [74 20],[29.18978102 13.81021898] ; [63.81021898 30.18978102],1
p10,1,0.000328,12.901447,[17 25] ; [67 25],[26.32835821 15.67164179] ; [57.67164179 34.32835821],1
p2,1,0.004561,8.045786,[20 22] ; [67 25],[27.26865672 14.73134328] ; [59.73134328 32.26865672],0
u2,1,0.004908,7.912943,[ 3 15] ; [21 16],[ 7.85454545 10.14545455] ; [16.14545455 20.85454545],0
a1,1,0.006156,7.50413,[ 6 37] ; [ 2 92],[ 2.51094891 40.48905109] ; [ 5.48905109 88.51094891],0
n3,1,0.009293,6.765661,[ 8 13] ; [21  7],[12.42857143  8.57142857] ; [16.57142857 11.42857143],0
n6,1,0.010252,6.590583,[27 15] ; [79 15],[32.73529412  9.26470588] ; [73.26470588 20.73529412],0
v4,1,0.018524,5.545927,[31 12] ; [83 11],[35.7810219  7.2189781] ; [78.2189781 15.7810219],0
b1,1,0.019511,5.455139,[28 15] ; [41 53],[21.65693431 21.34306569] ; [47.34306569 46.65693431],0
p7,1,0.023629,5.121644,[14 27] ; [52 42],[20.04444444 20.95555556] ; [45.95555556 48.04444444],0
p8,1,0.026087,4.950269,[11 32] ; [42 50],[16.88148148 26.11851852] ; [36.11851852 55.88148148],0
r2,1,0.03907,4.257831,[29 12] ; [79 13],[33.29323308  7.70676692] ; [74.70676692 17.29323308],0
p3,1,0.042599,4.111246,[10 32] ; [39 54],[15.24444444 26.75555556] ; [33.75555556 59.24444444],0
p4,1,0.044721,4.029142,[13 29] ; [46 47],[18.35555556 23.64444444] ; [40.64444444 52.35555556],0
v2,1,0.048796,3.88235,[14 28] ; [47 44],[19.26315789 22.73684211] ; [41.73684211 49.26315789],0
s1,1,0.050673,3.819032,[ 5 38] ; [ 3 91],[ 2.51094891 40.48905109] ; [ 5.48905109 88.51094891],0
n2,1,0.050817,3.814299,[10 12] ; [21  8],[13.37254902  8.62745098] ; [17.62745098 11.37254902],0
v1,1,0.069737,3.289188,[13 30] ; [43 49],[17.83703704 25.16296296] ; [38.16296296 53.83703704],0
n5,1,0.090134,2.87198,[28 15] ; [74 20],[32.01459854 10.98540146] ; [69.98540146 24.01459854],0
u3,1,0.104091,2.641715,[ 4 14] ; [17 21],[ 6.75 11.25] ; [14.25 23.75],0
s2,1,0.111405,2.534177,[ 9 34] ; [10 83],[ 6.00735294 36.99264706] ; [12.99264706 80.00735294],0
r1,1,0.126953,2.329369,[22 21] ; [61 33],[26.05109489 16.94890511] ; [56.94890511 37.05109489],0
