Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.041193,4.168067,[21 13] ; [10 18],[17. 17.] ; [14. 14.],0
v3,1,0.045105,4.014702,[16 17] ; [ 6 20],[12.30508475 20.69491525] ; [ 9.69491525 16.30508475],0
d4,1,0.054573,3.695095,[29  5] ; [18 10],[25.77419355  8.22580645] ; [21.22580645  6.77419355],0
r2,1,0.058037,3.592612,[31  2] ; [20  6],[28.52542373  4.47457627] ; [22.47457627  3.52542373],0
s5,1,0.059118,3.561943,[13 15] ; [ 6 21],[ 9.67272727 18.32727273] ; [ 9.32727273 17.67272727],0
d1,1,0.085365,2.959678,[22 12] ; [12 16],[18.64516129 15.35483871] ; [15.35483871 12.64516129],0
v2,1,0.113154,2.509615,[19 13] ; [10 16],[16. 16.] ; [13. 13.],0
a8,1,0.131207,2.278167,[ 5 27] ; [ 1 26],[ 3.25423729 28.74576271] ; [ 2.74576271 24.25423729],0
p1,1,0.134747,2.23695,[ 7 27] ; [ 2 26],[ 4.93548387 29.06451613] ; [ 4.06451613 23.93548387],0
p5,1,0.1518,2.054073,[ 5 29] ; [ 1 26],[ 3.3442623 30.6557377] ; [ 2.6557377 24.3442623],0
a5,1,0.17486,1.840775,[25  9] ; [16 12],[22.48387097 11.51612903] ; [18.51612903  9.48387097],0
d5,1,0.183965,1.765299,[27  7] ; [18 10],[24.67741935  9.32258065] ; [20.32258065  7.67741935],0
n5,1,0.183965,1.765299,[27  7] ; [18 10],[24.67741935  9.32258065] ; [20.32258065  7.67741935],0
d3,1,0.21059,1.567367,[20 14] ; [12 16],[17.5483871 16.4516129] ; [14.4516129 13.5483871],0
r3,1,0.23836,1.39027,[30  4] ; [27  1],[31.25806452  2.74193548] ; [25.74193548  2.25806452],0
n4,1,0.282719,1.153972,[25  9] ; [17 11],[23.03225806 10.96774194] ; [18.96774194  9.03225806],0
p4,1,0.282719,1.153972,[25  9] ; [17 11],[23.03225806 10.96774194] ; [18.96774194  9.03225806],0
s7,1,0.290846,1.115702,[26  7] ; [18  9],[24.2  8.8] ; [19.8  7.2],0
p11,1,0.303203,1.060052,[30  4] ; [22  6],[28.51612903  5.48387097] ; [23.48387097  4.51612903],0
n2,1,0.329114,0.952381,[6 4] ; [8 2],[7. 3.] ; [7. 3.],0
n3,1,0.329114,0.952381,[6 4] ; [8 2],[7. 3.] ; [7. 3.],0
b3,1,0.334298,0.932175,[10 16] ; [ 5 15],[ 8.47826087 17.52173913] ; [ 6.52173913 13.47826087],0
b2,1,0.334298,0.932175,[10 16] ; [ 5 15],[ 8.47826087 17.52173913] ; [ 6.52173913 13.47826087],0
n1,1,0.342782,0.9,[4 5] ; [6 3],[5. 4.] ; [5. 4.],0
v1,1,0.350564,0.871413,[18 15] ; [11 15],[16.22033898 16.77966102] ; [12.77966102 13.22033898],0
u2,1,0.375399,0.785714,[8 3] ; [6 5],[7. 4.] ; [7. 4.],0
s1,1,0.385491,0.753119,[ 3 30] ; [ 1 27],[ 2.16393443 30.83606557] ; [ 1.83606557 26.16393443],0
a1,1,0.402183,0.701789,[ 3 31] ; [ 1 27],[ 2.19354839 31.80645161] ; [ 1.80645161 26.19354839],0
p10,1,0.440594,0.594736,[28  6] ; [25  3],[29.06451613  4.93548387] ; [23.93548387  4.06451613],0
n6,1,0.479074,0.50097,[28  6] ; [21  7],[26.87096774  7.12903226] ; [22.12903226  5.87096774],0
p2,1,0.479074,0.50097,[28  6] ; [21  7],[26.87096774  7.12903226] ; [22.12903226  5.87096774],0
