Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.009758,6.678564,[ 7 16] ; [6 1],[ 9.96666667 13.03333333] ; [3.03333333 3.96666667],0
b3,1,0.009758,6.678564,[ 7 16] ; [6 1],[ 9.96666667 13.03333333] ; [3.03333333 3.96666667],0
v3,1,0.011488,6.388271,[13 30] ; [5 1],[15.79591837 27.20408163] ; [2.20408163 3.79591837],0
a2,1,0.015506,5.858095,[ 7 36] ; [4 3],[ 9.46 33.54] ; [1.54 5.46],0
u1,1,0.017659,5.629629,[ 4 39] ; [3 4],[ 6.02 36.98] ; [0.98 6.02],0
s7,1,0.031118,4.646431,[12 29] ; [5 2],[14.52083333 26.47916667] ; [2.47916667 4.52083333],0
d2,1,0.031264,4.638385,[18 25] ; [6 1],[20.64 22.36] ; [3.36 3.64],0
d1,1,0.041565,4.152824,[19 24] ; [6 1],[21.5 21.5] ; [3.5 3.5],0
p5,1,0.045722,3.991825,[ 3 40] ; [2 4],[ 4.3877551 38.6122449] ; [0.6122449 5.3877551],0
s8,1,0.055472,3.667836,[14 28] ; [5 2],[16.28571429 25.71428571] ; [2.71428571 4.28571429],0
a8,1,0.071752,3.242481,[ 6 36] ; [2 2],[ 7.30434783 34.69565217] ; [0.69565217 3.30434783],0
a1,1,0.077373,3.119232,[ 3 40] ; [2 5],[ 4.3 38.7] ; [0.7 6.3],0
a4,1,0.11492,2.485222,[17 26] ; [5 2],[18.92 24.08] ; [3.08 3.92],0
p12,1,0.134262,2.242525,[ 1 42] ; [1 6],[ 1.72 41.28] ; [0.28 6.72],0
v2,1,0.139465,2.183857,[21 20] ; [5 1],[22.68085106 18.31914894] ; [3.31914894 2.68085106],0
s3,1,0.1455,2.11881,[18 25] ; [5 2],[19.78 23.22] ; [3.22 3.78],0
p4,1,0.180929,1.789974,[19 24] ; [5 2],[20.64 22.36] ; [3.36 3.64],0
d5,1,0.2351,1.409739,[27 16] ; [6 1],[28.38 14.62] ; [4.62 2.38],0
a7,1,0.267224,1.23094,[21 22] ; [5 2],[22.36 20.64] ; [3.64 3.36],0
p2,1,0.278625,1.173783,[28 15] ; [6 1],[29.24 13.76] ; [4.76 2.24],0
n4,1,0.327912,0.957127,[29 14] ; [6 1],[30.1 12.9] ; [4.9 2.1],0
a6,1,0.375209,0.78634,[23 20] ; [5 2],[24.08 18.92] ; [3.92 3.08],0
s2,1,0.381397,0.766193,[17 26] ; [4 3],[18.06 24.94] ; [2.94 4.06],0
p3,1,0.381397,0.766193,[17 26] ; [4 3],[18.06 24.94] ; [2.94 4.06],0
r1,1,0.446104,0.580532,[31 12] ; [6 1],[31.82 11.18] ; [5.18 1.82],0
p7,1,0.476485,0.506897,[24 18] ; [5 2],[24.85714286 17.14285714] ; [4.14285714 2.85714286],0
p8,1,0.559013,0.341416,[19 23] ; [4 3],[19.71428571 22.28571429] ; [3.28571429 3.71428571],0
b4,1,0.579449,0.307126,[26 17] ; [5 2],[26.66 16.34] ; [4.34 2.66],0
s5,1,0.841547,0.039966,[10 30] ; [2 5],[10.21276596 29.78723404] ; [1.78723404 5.21276596],0
p6,1,0.905544,0.01408,[17 25] ; [3 4],[17.14285714 24.85714286] ; [2.85714286 4.14285714],0
b5,1,0.92913,0.00791,[30 13] ; [5 2],[30.1 12.9] ; [4.9 2.1],0
