Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,5.1e-05,16.415125,[ 2 13] ; [27  9],[8.52941176 6.47058824] ; [20.47058824 15.52941176],1
a7,1,0.016961,5.700397,[10  5] ; [11 25],[6.17647059 8.82352941] ; [14.82352941 21.17647059],0
n6,1,0.018911,5.509768,[ 4 11] ; [22 13],[7.8 7.2] ; [18.2 16.8],0
d4,1,0.020065,5.406211,[12  3] ; [16 20],[8.23529412 6.76470588] ; [19.76470588 16.23529412],0
d3,1,0.103675,2.648077,[10  5] ; [15 21],[7.35294118 7.64705882] ; [17.64705882 18.35294118],0
v1,1,0.128655,2.308661,[7 8] ; [ 9 27],[ 4.70588235 10.29411765] ; [11.29411765 24.70588235],0
a6,1,0.204933,1.606867,[ 5 10] ; [19 17],[7.05882353 7.94117647] ; [16.94117647 19.05882353],0
u2,1,0.211346,1.562185,[3 2] ; [ 5 12],[1.81818182 3.18181818] ; [ 6.18181818 10.81818182],0
v2,1,0.227723,1.455026,[ 2 13] ; [10 24],[ 3.67346939 11.32653061] ; [ 8.32653061 25.67346939],0
n2,1,0.274006,1.196581,[2 5] ; [11 10],[3.25 3.75] ; [ 9.75 11.25],0
d2,1,0.279763,1.168243,[ 4 11] ; [15 20],[5.7 9.3] ; [13.3 21.7],0
a5,1,0.311281,1.025231,[6 9] ; [20 16],[7.64705882 7.35294118] ; [18.35294118 17.64705882],0
p4,1,0.312422,1.020408,[ 3 12] ; [12 23],[ 4.5 10.5] ; [10.5 24.5],0
p10,1,0.384088,0.757576,[8 7] ; [14 21],[6.6 8.4] ; [15.4 19.6],0
a3,1,0.416304,0.660724,[10  5] ; [19 16],[8.7 6.3] ; [20.3 14.7],0
p3,1,0.438979,0.598951,[ 5 10] ; [ 8 27],[ 3.9 11.1] ; [ 9.1 25.9],0
s6,1,0.438979,0.598951,[ 5 10] ; [ 8 27],[ 3.9 11.1] ; [ 9.1 25.9],0
b5,1,0.445504,0.582065,[8 7] ; [15 21],[6.76470588 8.23529412] ; [16.23529412 19.76470588],0
b3,1,0.462562,0.539688,[2 5] ; [11 14],[2.84375 4.15625] ; [10.15625 14.84375],0
b2,1,0.462562,0.539688,[2 5] ; [11 14],[2.84375 4.15625] ; [10.15625 14.84375],0
d5,1,0.462564,0.539683,[10  5] ; [20 16],[8.82352941 6.17647059] ; [21.17647059 14.82352941],0
n1,1,0.502716,0.449198,[2 5] ; [ 9 12],[2.75 4.25] ; [ 8.25 12.75],0
v4,1,0.578622,0.308468,[10  5] ; [21 15],[9.11764706 5.88235294] ; [21.88235294 14.11764706],0
b1,1,0.578622,0.308468,[10  5] ; [21 15],[9.11764706 5.88235294] ; [21.88235294 14.11764706],0
s4,1,0.601933,0.27209,[ 2 13] ; [ 7 29],[ 2.64705882 12.35294118] ; [ 6.35294118 29.64705882],0
p1,1,0.62673,0.236522,[ 1 14] ; [ 4 32],[ 1.47058824 13.52941176] ; [ 3.52941176 32.47058824],0
b4,1,0.636719,0.223059,[9 6] ; [19 17],[8.23529412 6.76470588] ; [19.76470588 16.23529412],0
p11,1,0.640131,0.218571,[ 4 11] ; [12 24],[ 4.70588235 10.29411765] ; [11.29411765 24.70588235],0
d1,1,0.649873,0.206061,[6 9] ; [12 24],[5.29411765 9.70588235] ; [12.70588235 23.29411765],0
p2,1,0.661612,0.191571,[7 8] ; [14 21],[6.3 8.7] ; [14.7 20.3],0
p9,1,0.696161,0.152496,[7 8] ; [13 19],[6.38297872 8.61702128] ; [13.61702128 18.38297872],0
n3,1,0.711011,0.137269,[3 4] ; [ 7 13],[2.59259259 4.40740741] ; [ 7.40740741 12.59259259],0
p8,1,0.73633,0.113379,[ 5 10] ; [10 25],[ 4.5 10.5] ; [10.5 24.5],0
s5,1,0.765512,0.088953,[ 2 13] ; [ 6 30],[ 2.35294118 12.64705882] ; [ 5.64705882 30.35294118],0
s8,1,0.820029,0.05176,[ 1 14] ; [ 3 32],[ 1.2 13.8] ; [ 2.8 32.2],0
a2,1,0.82242,0.05037,[ 2 13] ; [ 4 32],[ 1.76470588 13.23529412] ; [ 4.23529412 31.76470588],0
s2,1,0.877879,0.023611,[ 1 14] ; [ 2 34],[ 0.88235294 14.11764706] ; [ 2.11764706 33.88235294],0
s1,1,0.877879,0.023611,[ 1 14] ; [ 2 34],[ 0.88235294 14.11764706] ; [ 2.11764706 33.88235294],0
a4,1,0.894736,0.017507,[ 5 10] ; [11 24],[ 4.8 10.2] ; [11.2 23.8],0
r2,1,0.92534,0.008781,[9 5] ; [22 13],[8.85714286 5.14285714] ; [22.14285714 12.85714286],0
s7,1,0.939225,0.005813,[ 2 12] ; [ 5 28],[ 2.08510638 11.91489362] ; [ 4.91489362 28.08510638],0
r1,1,0.940968,0.005484,[6 9] ; [14 22],[5.88235294 9.11764706] ; [14.11764706 21.88235294],0
v3,1,0.94391,0.00495,[ 4 11] ; [ 9 26],[ 3.9 11.1] ; [ 9.1 25.9],0
p7,1,0.946225,0.004549,[ 5 10] ; [11 23],[ 4.89795918 10.10204082] ; [11.10204082 22.89795918],0
r4,1,0.958104,0.00276,[ 2 13] ; [ 5 31],[ 2.05882353 12.94117647] ; [ 4.94117647 31.05882353],0
