Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,50.030324,[25  5] ; [15 84],[ 9.30232558 20.69767442] ; [30.69767442 68.30232558],1
s5,1,0.0,29.562012,[17 13] ; [11 92],[ 6.31578947 23.68421053] ; [21.68421053 81.31578947],1
s6,1,0.0,27.617616,[26  5] ; [33 74],[13.25362319 17.74637681] ; [45.74637681 61.25362319],1
s2,1,0.0,25.641161,[23  9] ; [25 82],[11.05035971 20.94964029] ; [36.94964029 70.05035971],1
r1,1,1.1e-05,19.363408,[31  1] ; [57 48],[20.55474453 11.44525547] ; [67.44525547 37.55474453],1
r4,1,1.6e-05,18.59535,[30  2] ; [55 52],[19.56834532 12.43165468] ; [65.43165468 41.56834532],1
p10,1,0.000376,12.650208,[23  8] ; [39 64],[14.34328358 16.65671642] ; [47.65671642 55.34328358],1
v2,1,0.001657,9.895623,[19 12] ; [30 70],[11.59541985 19.40458015] ; [37.40458015 62.59541985],0
s3,1,0.002321,9.276362,[21 11] ; [37 68],[13.54744526 18.45255474] ; [44.45255474 60.54744526],0
u3,1,0.003933,8.314514,[7 2] ; [11 30],[3.24 5.76] ; [14.76 26.24],0
n6,1,0.004544,8.052449,[24  7] ; [51 54],[17.09558824 13.90441176] ; [57.90441176 47.09558824],0
v4,1,0.005534,7.69627,[31  1] ; [78 27],[25.45985401  6.54014599] ; [83.54014599 21.45985401],0
r3,1,0.00626,7.473801,[29  3] ; [69 36],[22.89051095  9.10948905] ; [75.10948905 29.89051095],0
d5,1,0.00626,7.473801,[29  3] ; [69 36],[22.89051095  9.10948905] ; [75.10948905 29.89051095],0
n2,1,0.013954,6.044005,[14  2] ; [26 23],[9.84615385 6.15384615] ; [30.15384615 18.84615385],0
p9,1,0.038583,4.27915,[21 10] ; [46 53],[15.97692308 15.02307692] ; [51.02307692 47.97692308],0
d1,1,0.041992,4.135538,[20 12] ; [45 62],[14.96402878 17.03597122] ; [50.03597122 56.96402878],0
d4,1,0.053225,3.736845,[28  4] ; [74 31],[23.82481752  8.17518248] ; [78.17518248 26.82481752],0
p6,1,0.056132,3.648142,[ 9 23] ; [14 89],[ 5.45185185 26.54814815] ; [17.54814815 85.45185185],0
v1,1,0.064487,3.418045,[16 16] ; [34 72],[11.5942029 20.4057971] ; [38.4057971 67.5942029],0
n3,1,0.06535,3.396131,[12  3] ; [25 22],[8.9516129 6.0483871] ; [28.0483871 18.9516129],0
d2,1,0.122655,2.383081,[19 13] ; [46 59],[15.18248175 16.81751825] ; [49.81751825 55.18248175],0
v3,1,0.127433,2.323497,[11 19] ; [23 78],[ 7.78625954 22.21374046] ; [26.21374046 74.78625954],0
p2,1,0.135632,2.226831,[19 13] ; [47 59],[15.30434783 16.69565217] ; [50.69565217 55.30434783],0
n1,1,0.141714,2.159244,[9 7] ; [17 31],[6.5 9.5] ; [19.5 28.5],0
u1,1,0.143615,2.138788,[ 6 26] ; [10 97],[ 3.68345324 28.31654676] ; [12.31654676 94.68345324],0
a6,1,0.220074,1.503889,[22 10] ; [60 46],[19.01449275 12.98550725] ; [62.98550725 43.01449275],0
a8,1,0.242543,1.365754,[ 5 25] ; [ 9 90],[ 3.25581395 26.74418605] ; [10.74418605 88.25581395],0
s1,1,0.243561,1.359862,[ 1 31] ; [10 95],[ 2.56934307 29.43065693] ; [ 8.43065693 96.56934307],0
a7,1,0.280336,1.165461,[24  8] ; [68 37],[21.48905109 10.51094891] ; [70.51094891 34.48905109],0
a5,1,0.292413,1.10848,[21 11] ; [59 48],[18.41726619 13.58273381] ; [61.58273381 45.41726619],0
b4,1,0.310912,1.026799,[20 12] ; [56 51],[17.49640288 14.50359712] ; [58.50359712 48.49640288],0
n4,1,0.353833,0.859663,[21 10] ; [62 44],[18.7810219 12.2189781] ; [64.2189781 41.7810219],0
s4,1,0.36353,0.825663,[ 8 24] ; [19 88],[ 6.21582734 25.78417266] ; [20.78417266 86.21582734],0
p5,1,0.369676,0.804754,[ 1 31] ; [  1 104],[ 0.46715328 31.53284672] ; [  1.53284672 103.46715328],0
a4,1,0.375078,0.786772,[15 17] ; [40 65],[12.84671533 19.15328467] ; [42.15328467 62.84671533],0
b2,1,0.380046,0.770554,[ 6 13] ; [22 29],[ 7.6 11.4] ; [20.4 30.6],0
b3,1,0.380046,0.770554,[ 6 13] ; [22 29],[ 7.6 11.4] ; [20.4 30.6],0
a3,1,0.381482,0.765921,[23  9] ; [66 38],[20.94117647 11.05882353] ; [68.05882353 35.94117647],0
p3,1,0.390005,0.738926,[ 8 24] ; [19 86],[ 6.30656934 25.69343066] ; [20.69343066 84.30656934],0
p7,1,0.418013,0.655894,[13 18] ; [35 68],[11.10447761 19.89552239] ; [36.89552239 66.10447761],0
n5,1,0.431767,0.618066,[20 11] ; [60 46],[18.10218978 12.89781022] ; [61.89781022 44.10218978],0
p1,1,0.447334,0.577397,[ 3 29] ; [  6 101],[ 2.07194245 29.92805755] ; [  6.92805755 100.07194245],0
a1,1,0.492077,0.471982,[ 2 30] ; [11 96],[ 2.99280576 29.00719424] ; [10.00719424 96.99280576],0
