Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,52.952931,[144  83] ; [ 33 104],[110.38186813 116.61813187] ; [66.61813187 70.38186813],1
v1,1,0.0,30.656619,[164  63] ; [59 78],[139.06868132  87.93131868] ; [83.93131868 53.06868132],1
p10,1,0.002179,9.392613,[210  18] ; [114  26],[200.73913043  27.26086957] ; [123.26086957  16.73913043],0
n2,1,0.002829,8.914821,[27  3] ; [13 11],[22.22222222  7.77777778] ; [17.77777778  6.22222222],0
a5,1,0.007343,7.187014,[193  37] ; [102  39],[182.88409704  47.11590296] ; [112.11590296  28.88409704],0
a3,1,0.008494,6.926198,[186  43] ; [97 43],[175.62872629  53.37127371] ; [107.37127371  32.62872629],0
p7,1,0.010992,6.46657,[183  45] ; [96 44],[172.85869565  55.14130435] ; [106.14130435  33.85869565],0
n3,1,0.012186,6.283636,[28  2] ; [16  8],[24.44444444  5.55555556] ; [19.55555556  4.44444444],0
s4,1,0.032348,4.579983,[ 31 196] ; [ 31 108],[ 38.45355191 188.54644809] ; [ 23.54644809 115.45355191],0
r3,1,0.03846,4.28454,[223   6] ; [130  10],[219.0704607   9.9295393] ; [133.9295393   6.0704607],0
r4,1,0.05105,3.806646,[218  12] ; [126  15],[213.26145553  16.73854447] ; [130.73854447  10.26145553],0
p11,1,0.06499,3.405222,[198  32] ; [111  30],[191.56334232  38.43665768] ; [117.43665768  23.56334232],0
r1,1,0.06499,3.405222,[198  32] ; [111  30],[191.56334232  38.43665768] ; [117.43665768  23.56334232],0
p12,1,0.095509,2.778982,[ 31 198] ; [ 11 129],[ 26.06504065 202.93495935] ; [ 15.93495935 124.06504065],0
d2,1,0.109553,2.560652,[133  97] ; [69 71],[125.56756757 104.43243243] ; [76.43243243 63.56756757],0
r2,1,0.121283,2.400669,[221   7] ; [130   9],[218.0599455   9.9400545] ; [132.9400545   6.0599455],0
a7,1,0.129438,2.299232,[171  58] ; [95 46],[164.63243243  64.36756757] ; [101.36756757  39.63243243],0
s1,1,0.131143,2.278924,[  6 223] ; [  8 132],[  8.68834688 220.31165312] ; [  5.31165312 134.68834688],0
s8,1,0.139987,2.178099,[125 102] ; [66 74],[118.13896458 108.86103542] ; [72.86103542 67.13896458],0
a2,1,0.142163,2.154392,[ 70 160] ; [ 33 108],[ 63.85444744 166.14555256] ; [ 39.14555256 101.85444744],0
p9,1,0.142446,2.151334,[209  20] ; [121  19],[204.79674797  24.20325203] ; [125.20325203  14.79674797],0
a8,1,0.145916,2.114433,[ 34 171] ; [ 14 115],[ 29.46107784 175.53892216] ; [ 18.53892216 110.46107784],0
d4,1,0.17099,1.874242,[198  32] ; [113  27],[193.32432432  36.67567568] ; [117.67567568  22.32432432],0
p8,1,0.185682,1.751552,[157  71] ; [87 53],[151.17391304  76.82608696] ; [92.82608696 47.17391304],0
p2,1,0.201627,1.630547,[206  24] ; [120  21],[202.10242588  27.89757412] ; [123.89757412  17.10242588],0
b1,1,0.203546,1.616748,[ 97 133] ; [69 72],[102.91105121 127.08894879] ; [63.08894879 77.91105121],0
b3,1,0.231956,1.428828,[68 88] ; [33 59],[63.53225806 92.46774194] ; [37.46774194 54.53225806],0
b2,1,0.231956,1.428828,[68 88] ; [33 59],[63.53225806 92.46774194] ; [37.46774194 54.53225806],0
u4,1,0.234381,1.414076,[  8 222] ; [  2 139],[  6.19946092 223.80053908] ; [  3.80053908 137.19946092],0
s5,1,0.236593,1.400777,[ 93 126] ; [48 85],[ 87.72443182 131.27556818] ; [53.27556818 79.72443182],0
n5,1,0.242882,1.363786,[205  25] ; [119  21],[201.40540541  28.59459459] ; [122.59459459  17.40540541],0
a1,1,0.284941,1.143371,[ 16 214] ; [  6 135],[ 13.63881402 216.36118598] ; [  8.36118598 132.63881402],0
s3,1,0.28962,1.121387,[130  97] ; [88 52],[134.83923706  92.16076294] ; [83.16076294 56.83923706],0
u1,1,0.338051,0.91781,[ 59 171] ; [ 30 111],[ 55.17520216 174.82479784] ; [ 33.82479784 107.17520216],0
n6,1,0.34449,0.893651,[212  18] ; [125  15],[209.48648649  20.51351351] ; [127.51351351  12.48648649],0
d1,1,0.34577,0.888919,[153  77] ; [87 54],[148.78706199  81.21293801] ; [91.21293801 49.78706199],0
s7,1,0.349231,0.876249,[133  83] ; [74 57],[128.85302594  87.14697406] ; [78.14697406 52.85302594],0
n1,1,0.393882,0.726923,[16 14] ; [10 14],[14.44444444 15.55555556] ; [11.55555556 12.44444444],0
d3,1,0.394377,0.725405,[163  67] ; [94 47],[159.32614555  70.67385445] ; [97.67385445 43.32614555],0
p6,1,0.409172,0.681206,[119 107] ; [68 73],[115.15531335 110.84468665] ; [71.84468665 69.15531335],0
v4,1,0.485929,0.485529,[221   8] ; [134   7],[219.71621622   9.28378378] ; [135.28378378   5.71621622],0
p5,1,0.49994,0.455064,[ 43 187] ; [ 30 109],[ 45.50135501 184.49864499] ; [ 27.49864499 111.50135501],0
a6,1,0.588984,0.291934,[162  67] ; [96 45],[159.68108108  69.31891892] ; [98.31891892 42.68108108],0
p4,1,0.610279,0.259769,[186  44] ; [117  24],[187.84366577  42.15633423] ; [115.15633423  25.84366577],0
d5,1,0.634111,0.226528,[198  32] ; [118  22],[196.43243243  33.56756757] ; [119.56756757  20.43243243],0
b4,1,0.636025,0.223978,[133  97] ; [78 63],[130.80862534  99.19137466] ; [80.19137466 60.80862534],0
b5,1,0.696091,0.15257,[129 101] ; [82 59],[130.80862534  99.19137466] ; [80.19137466 60.80862534],0
u3,1,0.72986,0.11924,[25 19] ; [26 17],[25.79310345 18.20689655] ; [25.20689655 17.79310345],0
s6,1,0.765274,0.08914,[160  65] ; [94 41],[158.75  66.25] ; [95.25 39.75],0
p1,1,0.866618,0.028209,[ 28 202] ; [ 18 123],[ 28.51752022 201.48247978] ; [ 17.48247978 123.51752022],0
u2,1,0.90958,0.012898,[23 20] ; [23 21],[22.73563218 20.26436782] ; [23.26436782 20.73563218],0
s2,1,0.961576,0.002321,[124 102] ; [77 64],[123.77656676 102.22343324] ; [77.22343324 63.77656676],0
a4,1,0.979688,0.000648,[115 114] ; [71 70],[115.11891892 113.88108108] ; [70.88108108 70.11891892],0
