Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.5e-05,17.747097,[72 28] ; [21 35],[59.61538462 40.38461538] ; [33.38461538 22.61538462],1
a6,1,3.5e-05,17.135118,[73 27] ; [22 34],[60.8974359 39.1025641] ; [34.1025641 21.8974359],1
d4,1,0.000137,14.543534,[83 17] ; [30 25],[72.90322581 27.09677419] ; [40.09677419 14.90322581],1
b5,1,0.000161,14.244146,[67 33] ; [20 36],[55.76923077 44.23076923] ; [31.23076923 24.76923077],1
a2,1,0.003152,8.717342,[24 76] ; [ 3 53],[17.30769231 82.69230769] ; [ 9.69230769 46.30769231],0
d5,1,0.004722,7.982771,[80 20] ; [33 23],[72.43589744 27.56410256] ; [40.56410256 15.43589744],0
p2,1,0.005007,7.876987,[66 34] ; [24 32],[57.69230769 42.30769231] ; [32.30769231 23.69230769],0
p4,1,0.015569,5.850935,[48 51] ; [16 40],[40.87741935 58.12258065] ; [23.12258065 32.87741935],0
d1,1,0.015948,5.808557,[54 46] ; [19 37],[46.79487179 53.20512821] ; [26.20512821 29.79487179],0
u1,1,0.018847,5.515639,[19 81] ; [ 3 53],[14.1025641 85.8974359] ; [ 7.8974359 48.1025641],0
n4,1,0.024938,5.028214,[73 27] ; [31 25],[66.66666667 33.33333333] ; [37.33333333 18.66666667],0
a3,1,0.029872,4.716629,[66 34] ; [27 29],[59.61538462 40.38461538] ; [33.38461538 22.61538462],0
n6,1,0.047294,3.934889,[72 27] ; [32 24],[66.42580645 32.57419355] ; [37.57419355 18.42580645],0
r3,1,0.056475,3.637979,[91  9] ; [45 11],[87.17948718 12.82051282] ; [48.82051282  7.17948718],0
r4,1,0.07318,3.210204,[85 15] ; [41 15],[80.76923077 19.23076923] ; [45.23076923 10.76923077],0
s1,1,0.088577,2.900052,[ 5 94] ; [ 7 48],[ 7.71428571 91.28571429] ; [ 4.28571429 50.71428571],0
s6,1,0.091269,2.851852,[50 49] ; [20 35],[45. 54.] ; [25. 30.],0
r1,1,0.106302,2.608357,[81 19] ; [39 17],[76.92307692 23.07692308] ; [43.07692308 12.92307692],0
p8,1,0.125349,2.349176,[37 63] ; [14 42],[32.69230769 67.30769231] ; [18.30769231 37.69230769],0
v4,1,0.133469,2.251686,[90 10] ; [44 10],[87.01298701 12.98701299] ; [46.98701299  7.01298701],0
v2,1,0.164985,1.927935,[44 54] ; [18 36],[39.97368421 58.02631579] ; [22.02631579 31.97368421],0
s5,1,0.182319,1.778623,[16 81] ; [14 41],[19.14473684 77.85526316] ; [10.85526316 44.14473684],0
p10,1,0.207608,1.588031,[29 70] ; [11 44],[25.71428571 73.28571429] ; [14.28571429 40.71428571],0
u3,1,0.28286,1.153296,[21 13] ; [14 15],[18.88888889 15.11111111] ; [16.11111111 12.88888889],0
b4,1,0.28861,1.126092,[64 36] ; [31 25],[60.8974359 39.1025641] ; [34.1025641 21.8974359],0
n5,1,0.36664,0.81502,[61 39] ; [30 26],[58.33333333 41.66666667] ; [32.66666667 23.33333333],0
v3,1,0.447573,0.57679,[34 65] ; [15 38],[31.91447368 67.08552632] ; [17.08552632 35.91447368],0
p3,1,0.460237,0.545317,[34 65] ; [16 40],[31.93548387 67.06451613] ; [18.06451613 37.93548387],0
a8,1,0.48408,0.489658,[ 8 82] ; [ 3 50],[ 6.92307692 83.07692308] ; [ 4.07692308 48.92307692],0
n3,1,0.493068,0.469825,[21 13] ; [11 10],[19.78181818 14.21818182] ; [12.21818182  8.78181818],0
