Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.011655,6.362578,[23  4] ; [5 6],[19.89473684  7.10526316] ; [8.10526316 2.89473684],0
v2,1,0.027508,4.858628,[15 11] ; [2 9],[11.94594595 14.05405405] ; [5.05405405 5.94594595],0
n1,1,0.038989,4.261364,[1 9] ; [3 2],[2.66666667 7.33333333] ; [1.33333333 3.66666667],0
a6,1,0.051772,3.783126,[19  8] ; [4 7],[16.34210526 10.65789474] ; [6.65789474 4.34210526],0
d2,1,0.08494,2.967747,[10 17] ; [ 1 10],[ 7.81578947 19.18421053] ; [3.18421053 7.81578947],0
n6,1,0.086186,2.944215,[18  9] ; [4 7],[15.63157895 11.36842105] ; [6.36842105 4.63157895],0
p4,1,0.113288,2.507744,[15 12] ; [3 8],[12.78947368 14.21052632] ; [5.21052632 5.78947368],0
d3,1,0.148731,2.085217,[19  8] ; [5 6],[17.05263158  9.94736842] ; [6.94736842 4.05263158],0
p3,1,0.160086,1.973415,[ 8 18] ; [ 1 10],[ 6.32432432 19.67567568] ; [2.67567568 8.32432432],0
s7,1,0.169879,1.884007,[ 7 16] ; [ 1 10],[ 5.41176471 17.58823529] ; [2.58823529 8.41176471],0
a4,1,0.183725,1.767231,[11 16] ; [2 9],[ 9.23684211 17.76315789] ; [3.76315789 7.23684211],0
v1,1,0.183725,1.767231,[11 16] ; [2 9],[ 9.23684211 17.76315789] ; [3.76315789 7.23684211],0
a5,1,0.22504,1.471937,[18  9] ; [5 6],[16.34210526 10.65789474] ; [6.65789474 4.34210526],0
s2,1,0.23531,1.408471,[ 3 23] ; [3 8],[ 4.21621622 21.78378378] ; [1.78378378 9.21621622],0
n4,1,0.283232,1.151515,[15 12] ; [4 7],[13.5 13.5] ; [5.5 5.5],0
u2,1,0.288844,1.125,[9 3] ; [3 3],[8. 4.] ; [4. 2.],0
a1,1,0.326342,0.963359,[ 2 25] ; [2 9],[ 2.84210526 24.15789474] ; [1.15789474 9.84210526],0
p10,1,0.388741,0.742877,[15 11] ; [8 3],[16.16216216  9.83783784] ; [6.83783784 4.16216216],0
p9,1,0.392416,0.731442,[18  8] ; [6 5],[16.86486486  9.13513514] ; [7.13513514 3.86486486],0
p7,1,0.437642,0.602458,[11 16] ; [6 5],[12.07894737 14.92105263] ; [4.92105263 6.07894737],0
n5,1,0.437642,0.602458,[16 11] ; [5 6],[14.92105263 12.07894737] ; [6.07894737 4.92105263],0
n3,1,0.438578,0.6,[6 4] ; [4 1],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
v4,1,0.482367,0.493506,[18  9] ; [6 5],[17.05263158  9.94736842] ; [6.94736842 4.05263158],0
p2,1,0.482367,0.493506,[18  9] ; [6 5],[17.05263158  9.94736842] ; [6.94736842 4.05263158],0
s1,1,0.500008,0.45492,[ 1 26] ; [ 1 10],[ 1.42105263 25.57894737] ; [ 0.57894737 10.42105263],0
u3,1,0.502335,0.45,[6 6] ; [2 4],[5.33333333 6.66666667] ; [2.66666667 3.33333333],0
b5,1,0.630202,0.231786,[17 10] ; [6 5],[16.34210526 10.65789474] ; [6.65789474 4.34210526],0
s4,1,0.635934,0.2241,[ 4 23] ; [ 1 10],[ 3.55263158 23.44736842] ; [1.44736842 9.55263158],0
a2,1,0.635934,0.2241,[ 4 23] ; [ 1 10],[ 3.55263158 23.44736842] ; [1.44736842 9.55263158],0
r4,1,0.68547,0.164033,[ 8 19] ; [4 7],[ 8.52631579 18.47368421] ; [3.47368421 7.52631579],0
r3,1,0.709065,0.139212,[20  7] ; [8 2],[20.43243243  6.56756757] ; [7.56756757 2.43243243],0
n2,1,0.714393,0.133929,[5 5] ; [3 2],[5.33333333 4.66666667] ; [2.66666667 2.33333333],0
b1,1,0.720571,0.127946,[13 14] ; [6 5],[13.5 13.5] ; [5.5 5.5],0
a3,1,0.763307,0.090686,[15 12] ; [5 5],[14.59459459 12.40540541] ; [5.40540541 4.59459459],0
s3,1,0.785704,0.073926,[ 6 20] ; [3 8],[ 6.32432432 19.67567568] ; [2.67567568 8.32432432],0
p6,1,0.785704,0.073926,[ 6 20] ; [3 8],[ 6.32432432 19.67567568] ; [2.67567568 8.32432432],0
b4,1,0.789536,0.071243,[16 11] ; [6 5],[15.63157895 11.36842105] ; [6.36842105 4.63157895],0
s5,1,0.796295,0.066639,[ 4 23] ; [2 9],[ 4.26315789 22.73684211] ; [1.73684211 9.26315789],0
r1,1,0.802317,0.062675,[11 16] ; [4 7],[10.65789474 16.34210526] ; [4.34210526 6.65789474],0
b2,1,0.80725,0.059524,[ 5 11] ; [1 3],[ 4.8 11.2] ; [1.2 2.8],0
b3,1,0.80725,0.059524,[ 5 11] ; [1 3],[ 4.8 11.2] ; [1.2 2.8],0
p12,1,0.853988,0.033868,[ 3 24] ; [ 1 10],[ 2.84210526 24.15789474] ; [1.15789474 9.84210526],0
p8,1,0.868915,0.027237,[10 17] ; [4 6],[10.21621622 16.78378378] ; [3.78378378 6.21621622],0
p11,1,0.884483,0.021109,[19  8] ; [8 3],[19.18421053  7.81578947] ; [7.81578947 3.18421053],0
a8,1,0.898963,0.016122,[ 5 20] ; [2 9],[ 4.86111111 20.13888889] ; [2.13888889 8.86111111],0
p5,1,0.922995,0.009343,[ 3 24] ; [1 9],[ 2.91891892 24.08108108] ; [1.08108108 8.91891892],0
s8,1,0.931859,0.007311,[ 7 20] ; [3 8],[ 7.10526316 19.89473684] ; [2.89473684 8.10526316],0
s6,1,0.954709,0.003226,[12 15] ; [5 6],[12.07894737 14.92105263] ; [4.92105263 6.07894737],0
