Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,5.2e-05,16.367725,[49  7] ; [27 25],[39.40740741 16.59259259] ; [36.59259259 15.40740741],1
v4,1,7.8e-05,15.612922,[53  3] ; [32 18],[44.90566038 11.09433962] ; [40.09433962  9.90566038],1
r2,1,0.000104,15.056604,[50  6] ; [28 22],[41.20754717 14.79245283] ; [36.79245283 13.20754717],1
p9,1,0.003365,8.598072,[44 10] ; [28 23],[37.02857143 16.97142857] ; [34.97142857 16.02857143],0
v3,1,0.005199,7.808723,[21 35] ; [ 7 44],[14.65420561 41.34579439] ; [13.34579439 37.65420561],0
p11,1,0.022056,5.241395,[41 15] ; [27 25],[35.25925926 20.74074074] ; [32.74074074 19.25925926],0
b5,1,0.022462,5.209647,[40 16] ; [26 26],[34.22222222 21.77777778] ; [31.77777778 20.22222222],0
p6,1,0.035561,4.418021,[20 35] ; [ 9 41],[15.19047619 39.80952381] ; [13.80952381 36.19047619],0
a8,1,0.03614,4.390503,[ 7 45] ; [ 1 47],[ 4.16 47.84] ; [ 3.84 44.16],0
p10,1,0.036934,4.353436,[38 17] ; [24 25],[32.78846154 22.21153846] ; [29.21153846 19.78846154],0
n4,1,0.036972,4.351717,[37 19] ; [24 28],[31.62962963 24.37037037] ; [29.37037037 22.62962963],0
b1,1,0.037194,4.341528,[17 39] ; [26 26],[22.2962963 33.7037037] ; [20.7037037 31.2962963],0
d5,1,0.041362,4.161117,[32 23] ; [20 32],[26.72897196 28.27102804] ; [25.27102804 26.72897196],0
s6,1,0.043823,4.063378,[27 27] ; [16 36],[21.90566038 32.09433962] ; [21.09433962 30.90566038],0
s8,1,0.055309,3.672747,[16 40] ; [ 7 45],[11.92592593 44.07407407] ; [11.07407407 40.92592593],0
p4,1,0.059932,3.53927,[26 30] ; [15 37],[21.25925926 34.74074074] ; [19.74074074 32.25925926],0
a7,1,0.068387,3.321306,[34 21] ; [23 29],[29.29906542 25.70093458] ; [27.70093458 24.29906542],0
s7,1,0.074749,3.175527,[18 36] ; [ 9 41],[14.01923077 39.98076923] ; [12.98076923 37.01923077],0
p3,1,0.103984,2.643357,[21 35] ; [12 40],[17.11111111 38.88888889] ; [15.88888889 36.11111111],0
p12,1,0.11227,2.521978,[ 5 51] ; [ 1 51],[ 3.11111111 52.88888889] ; [ 2.88888889 49.11111111],0
d3,1,0.114174,2.495467,[30 25] ; [20 31],[25.94339623 29.05660377] ; [24.05660377 26.94339623],0
a1,1,0.144393,2.130503,[ 1 55] ; [ 4 48],[ 2.59259259 53.40740741] ; [ 2.40740741 49.59259259],0
a4,1,0.181181,1.787908,[ 9 47] ; [ 4 48],[ 6.74074074 49.25925926] ; [ 6.25925926 45.74074074],0
a3,1,0.208119,1.58446,[23 33] ; [15 36],[19.88785047 36.11214953] ; [18.11214953 32.88785047],0
p2,1,0.244477,1.354594,[43 13] ; [34 17],[40.29906542 15.70093458] ; [36.70093458 14.29906542],0
s3,1,0.26342,1.250694,[25 31] ; [17 33],[22.18867925 33.81132075] ; [19.81132075 30.18867925],0
u3,1,0.268515,1.224315,[14 19] ; [11 26],[11.78571429 21.21428571] ; [13.21428571 23.78571429],0
s1,1,0.273391,1.199651,[ 1 55] ; [ 3 49],[ 2.07407407 53.92592593] ; [ 1.92592593 50.07407407],0
p7,1,0.280405,1.165127,[30 25] ; [22 28],[27.23809524 27.76190476] ; [24.76190476 25.23809524],0
n2,1,0.282864,1.153276,[9 3] ; [13 10],[7.54285714 4.45714286] ; [14.45714286  8.54285714],0
