Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,29.927082,[79  1] ; [8 6],[74.04255319  5.95744681] ; [12.95744681  1.04255319],1
r1,1,1e-06,24.713453,[68 13] ; [ 3 11],[60.53684211 20.46315789] ; [10.46315789  3.53684211],1
r2,1,1.1e-05,19.402614,[80  1] ; [9 4],[76.69148936  4.30851064] ; [12.30851064  0.69148936],1
p9,1,9.6e-05,15.215422,[74  5] ; [8 6],[69.65591398  9.34408602] ; [12.34408602  1.65591398],1
v1,1,0.005644,7.660698,[44 37] ; [ 2 12],[39.22105263 41.77894737] ; [6.77894737 7.22105263],0
d1,1,0.006952,7.285315,[54 27] ; [ 4 10],[49.45263158 31.54736842] ; [8.54736842 5.45263158],0
n6,1,0.008318,6.96375,[70 11] ; [8 6],[66.50526316 14.49473684] ; [11.49473684  2.50526316],0
d5,1,0.008318,6.96375,[70 11] ; [8 6],[66.50526316 14.49473684] ; [11.49473684  2.50526316],0
v4,1,0.012548,6.231696,[77  3] ; [11  3],[74.89361702  5.10638298] ; [13.10638298  0.89361702],0
s8,1,0.016008,5.802033,[56 25] ; [5 9],[52.01052632 28.98947368] ; [8.98947368 5.01052632],0
s6,1,0.019536,5.452877,[73  6] ; [10  4],[70.50537634  8.49462366] ; [12.49462366  1.50537634],0
n3,1,0.042221,4.126316,[16  2] ; [3 3],[14.25  3.75] ; [4.75 1.25],0
a3,1,0.042717,4.106556,[66 15] ; [8 6],[63.09473684 17.90526316] ; [10.90526316  3.09473684],0
p10,1,0.043658,4.069729,[69 11] ; [9 5],[66.38297872 13.61702128] ; [11.61702128  2.38297872],0
s5,1,0.044412,4.040816,[52 25] ; [4 7],[49. 28.] ; [7. 4.],0
a4,1,0.052338,3.764933,[40 41] ; [ 3 11],[36.66315789 44.33684211] ; [6.33684211 7.66315789],0
a5,1,0.052543,3.758388,[61 20] ; [7 7],[57.97894737 23.02105263] ; [10.02105263  3.97894737],0
v2,1,0.052864,3.748222,[39 40] ; [ 3 11],[35.67741935 43.32258065] ; [6.32258065 7.67741935],0
d2,1,0.062109,3.480162,[45 36] ; [ 4 10],[41.77894737 39.22105263] ; [7.22105263 6.77894737],0
d4,1,0.082968,3.005779,[68 13] ; [9 5],[65.65263158 15.34736842] ; [11.34736842  2.65263158],0
n4,1,0.086621,2.936082,[59 22] ; [7 7],[56.27368421 24.72631579] ; [9.72631579 4.27368421],0
u1,1,0.106409,2.606765,[22 59] ; [ 1 13],[19.61052632 61.38947368] ; [ 3.38947368 10.61052632],0
b4,1,0.121477,2.398169,[47 34] ; [5 9],[44.33684211 36.66315789] ; [7.66315789 6.33684211],0
a2,1,0.123957,2.366596,[21 60] ; [ 1 13],[18.75789474 62.24210526] ; [ 3.24210526 10.75789474],0
u2,1,0.200933,1.635577,[8 7] ; [5 1],[9.28571429 5.71428571] ; [3.71428571 2.28571429],0
d3,1,0.276498,1.184222,[63 18] ; [9 5],[61.38947368 19.61052632] ; [10.61052632  3.38947368],0
b2,1,0.414012,0.667251,[13 33] ; [ 2 10],[11.89655172 34.10344828] ; [3.10344828 8.89655172],0
b3,1,0.414012,0.667251,[13 33] ; [ 2 10],[11.89655172 34.10344828] ; [3.10344828 8.89655172],0
s2,1,0.444295,0.585164,[70 11] ; [11  3],[69.06315789 11.93684211] ; [11.93684211  2.06315789],0
b1,1,0.461114,0.54319,[32 49] ; [7 7],[33.25263158 47.74736842] ; [5.74736842 8.25263158],0
a7,1,0.550228,0.356909,[53 28] ; [8 6],[52.01052632 28.98947368] ; [8.98947368 5.01052632],0
a6,1,0.550228,0.356909,[53 28] ; [8 6],[52.01052632 28.98947368] ; [8.98947368 5.01052632],0
p1,1,0.574261,0.315604,[10 71] ; [ 1 13],[ 9.37894737 71.62105263] ; [ 1.62105263 12.37894737],0
n5,1,0.648036,0.208385,[57 24] ; [9 5],[56.27368421 24.72631579] ; [9.72631579 4.27368421],0
p11,1,0.679953,0.170179,[62 19] ; [10  4],[61.38947368 19.61052632] ; [10.61052632  3.38947368],0
p3,1,0.699778,0.148703,[45 36] ; [7 7],[44.33684211 36.66315789] ; [7.66315789 6.33684211],0
p7,1,0.717626,0.130778,[57 20] ; [9 4],[56.46666667 20.53333333] ; [9.53333333 3.46666667],0
u3,1,0.759982,0.093333,[11  4] ; [4 2],[10.71428571  4.28571429] ; [4.28571429 1.71428571],0
s3,1,0.781936,0.076616,[67 14] ; [12  2],[67.35789474 13.64210526] ; [11.64210526  2.35789474],0
b5,1,0.855483,0.033171,[50 31] ; [9 5],[50.30526316 30.69473684] ; [8.69473684 5.30526316],0
p2,1,0.867286,0.027925,[68 13] ; [12  2],[68.21052632 12.78947368] ; [11.78947368  2.21052632],0
p8,1,0.889189,0.019413,[47 32] ; [8 5],[47.22826087 31.77173913] ; [7.77173913 5.22826087],0
p6,1,0.895755,0.017168,[41 38] ; [7 7],[40.77419355 38.22580645] ; [7.22580645 6.77419355],0
s1,1,0.89967,0.015896,[ 5 75] ; [ 1 13],[ 5.10638298 74.89361702] ; [ 0.89361702 13.10638298],0
p4,1,0.924521,0.008976,[51 30] ; [9 5],[51.15789474 29.84210526] ; [8.84210526 5.15789474],0
n1,1,1.0,0.0,[ 6 12] ; [2 4],[ 6. 12.] ; [2. 4.],0
n2,1,1.0,0.0,[15  3] ; [5 1],[15.  3.] ; [5. 1.],0
