Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.017121,5.683925,[ 9 40] ; [10 12],[13.11267606 35.88732394] ; [ 5.88732394 16.11267606],0
n2,1,0.034477,4.470899,[10 11] ; [8 1],[12.6  8.4] ; [5.4 3.6],0
r1,1,0.038924,4.264186,[27 24] ; [18  5],[31.01351351 19.98648649] ; [13.98648649  9.01351351],0
s2,1,0.045108,4.01461,[14 36] ; [12 11],[17.80821918 32.19178082] ; [ 8.19178082 14.80821918],0
n1,1,0.055528,3.666173,[ 4 16] ; [5 4],[ 6.20689655 13.79310345] ; [2.79310345 6.20689655],0
a3,1,0.058563,3.57763,[19 32] ; [14  9],[22.74324324 28.25675676] ; [10.25675676 12.74324324],0
s7,1,0.06199,3.48332,[ 9 37] ; [ 9 13],[12.17647059 33.82352941] ; [ 5.82352941 16.17647059],0
s3,1,0.06818,3.326309,[19 31] ; [14  9],[22.60273973 27.39726027] ; [10.39726027 12.60273973],0
r3,1,0.087501,2.919763,[32 19] ; [19  4],[35.14864865 15.85135135] ; [15.85135135  7.14864865],0
n3,1,0.114653,2.488889,[ 7 11] ; [7 3],[9. 9.] ; [5. 5.],0
b5,1,0.124397,2.361064,[17 34] ; [12 11],[19.98648649 31.01351351] ; [ 9.01351351 13.98648649],0
s6,1,0.130358,2.288237,[16 35] ; [11 11],[18.8630137 32.1369863] ; [ 8.1369863 13.8630137],0
p7,1,0.133834,2.247465,[21 29] ; [14  9],[23.97260274 26.02739726] ; [11.02739726 11.97260274],0
a5,1,0.157804,1.995144,[22 29] ; [14  9],[24.81081081 26.18918919] ; [11.18918919 11.81081081],0
a2,1,0.173963,1.848452,[ 1 50] ; [ 2 21],[ 2.06756757 48.93243243] ; [ 0.93243243 22.06756757],0
p5,1,0.173963,1.848452,[ 1 50] ; [ 2 21],[ 2.06756757 48.93243243] ; [ 0.93243243 22.06756757],0
s1,1,0.194445,1.683614,[ 4 47] ; [ 4 18],[ 5.5890411 45.4109589] ; [ 2.4109589 19.5890411],0
p11,1,0.220221,1.502934,[21 30] ; [13 10],[23.43243243 27.56756757] ; [10.56756757 12.43243243],0
s5,1,0.257393,1.282727,[10 41] ; [ 7 15],[11.87671233 39.12328767] ; [ 5.12328767 16.87671233],0
a4,1,0.279176,1.171096,[14 36] ; [ 9 13],[15.97222222 34.02777778] ; [ 7.02777778 14.97222222],0
d3,1,0.312689,1.019285,[16 35] ; [10 13],[17.91891892 33.08108108] ; [ 8.08108108 14.91891892],0
s8,1,0.350324,0.872285,[ 9 42] ; [ 6 16],[10.47945205 40.52054795] ; [ 4.52054795 17.47945205],0
s4,1,0.366557,0.815304,[11 39] ; [ 3 20],[ 9.5890411 40.4109589] ; [ 4.4109589 18.5890411],0
v2,1,0.370273,0.802747,[14 35] ; [ 9 14],[15.65277778 33.34722222] ; [ 7.34722222 15.65277778],0
p2,1,0.378393,0.775917,[21 30] ; [12 11],[22.74324324 28.25675676] ; [10.25675676 12.74324324],0
r4,1,0.405178,0.692906,[28 23] ; [15  8],[29.63513514 21.36486486] ; [13.36486486  9.63513514],0
a8,1,0.409949,0.678949,[ 2 46] ; [ 2 20],[ 2.74285714 45.25714286] ; [ 1.25714286 20.74285714],0
d4,1,0.479358,0.500324,[26 24] ; [14  9],[27.39726027 22.60273973] ; [12.60273973 10.39726027],0
