Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4e-06,21.244256,[140  13] ; [5 6],[135.27439024  17.72560976] ; [9.72560976 1.27439024],1
r1,1,2e-05,18.210018,[124  27] ; [3 8],[118.37654321  32.62345679] ; [8.62345679 2.37654321],1
r3,1,4e-05,16.874868,[135  16] ; [5 6],[130.49382716  20.50617284] ; [9.50617284 1.49382716],1
n6,1,0.000381,12.622912,[107  45] ; [2 9],[101.64417178  50.35582822] ; [7.35582822 3.64417178],1
p2,1,0.000598,11.782533,[105  47] ; [2 9],[99.7791411 52.2208589] ; [7.2208589 3.7791411],1
s6,1,0.001276,10.37695,[100  50] ; [2 9],[95.0310559 54.9689441] ; [6.9689441 4.0310559],0
p9,1,0.00919,6.78548,[97 49] ; [3 8],[92.99363057 53.00636943] ; [7.00636943 3.99363057],0
p10,1,0.009989,6.636801,[85 61] ; [2 9],[80.9044586 65.0955414] ; [6.0955414 4.9044586],0
s7,1,0.023576,5.125526,[66 75] ; [1 9],[62.56291391 78.43708609] ; [4.43708609 5.56291391],0
d3,1,0.024864,5.033328,[115  36] ; [5 6],[111.85185185  39.14814815] ; [8.14814815 2.85185185],0
a1,1,0.055628,3.663165,[  7 146] ; [2 9],[  8.39634146 144.60365854] ; [ 0.60365854 10.39634146],0
p7,1,0.063925,3.432495,[70 79] ; [2 9],[67.05 81.95] ; [4.95 6.05],0
s8,1,0.067669,3.338689,[55 97] ; [ 1 10],[52.2208589 99.7791411] ; [3.7791411 7.2208589],0
n2,1,0.067889,3.333333,[38 16] ; [2 4],[36. 18.] ; [4. 2.],0
v1,1,0.072253,3.231092,[70 82] ; [2 9],[67.14110429 84.85889571] ; [4.85889571 6.14110429],0
n4,1,0.086501,2.93832,[95 57] ; [4 7],[92.3190184 59.6809816] ; [6.6809816 4.3190184],0
v3,1,0.088138,2.908059,[50 97] ; [ 1 10],[47.44936709 99.55063291] ; [3.55063291 7.44936709],0
b5,1,0.102676,2.663481,[106  47] ; [5 6],[103.55487805  49.44512195] ; [7.44512195 3.55487805],0
s3,1,0.104239,2.639459,[80 72] ; [3 8],[77.39877301 74.60122699] ; [5.60122699 5.39877301],0
n5,1,0.105352,2.622599,[93 59] ; [4 7],[90.45398773 61.54601227] ; [6.54601227 4.45398773],0
s5,1,0.109238,2.565214,[46 97] ; [ 1 10],[43.64285714 99.35714286] ; [3.35714286 7.64285714],0
s1,1,0.122177,2.389187,[  9 141] ; [2 9],[ 10.2484472 139.7515528] ; [ 0.7515528 10.2484472],0
a3,1,0.181276,1.787128,[106  45] ; [5 5],[104.10559006  46.89440994] ; [6.89440994 3.10559006],0
v2,1,0.184971,1.757228,[70 76] ; [3 8],[67.88535032 78.11464968] ; [5.11464968 5.88535032],0
d1,1,0.186386,1.745958,[87 66] ; [4 7],[84.89634146 68.10365854] ; [6.10365854 4.89634146],0
p3,1,0.23423,1.414986,[59 93] ; [2 8],[57.2345679 94.7654321] ; [3.7654321 6.2345679],0
a6,1,0.248905,1.329439,[108  44] ; [6 5],[106.30674847  45.69325153] ; [7.69325153 3.30674847],0
p4,1,0.251729,1.31368,[68 83] ; [3 8],[66.17901235 84.82098765] ; [4.82098765 6.17901235],0
a5,1,0.28687,1.134255,[107  46] ; [6 5],[105.42073171  47.57926829] ; [7.57926829 3.42073171],0
b1,1,0.307472,1.041502,[73 80] ; [7 4],[74.63414634 78.36585366] ; [5.36585366 5.63414634],0
s4,1,0.319847,0.989572,[ 33 119] ; [ 1 10],[ 31.70552147 120.29447853] ; [2.29447853 8.70552147],0
d5,1,0.322519,0.978703,[128  24] ; [8 3],[126.82208589  25.17791411] ; [9.17791411 1.82208589],0
n3,1,0.324947,0.96893,[37 16] ; [3 3],[35.93220339 17.06779661] ; [4.06779661 1.93220339],0
d2,1,0.338173,0.917345,[78 74] ; [4 7],[76.46625767 75.53374233] ; [5.53374233 5.46625767],0
a8,1,0.353822,0.859701,[ 14 120] ; [2 8],[ 14.88888889 119.11111111] ; [1.11111111 8.88888889],0
a2,1,0.38025,0.769894,[ 47 106] ; [2 9],[ 45.71341463 107.28658537] ; [3.28658537 7.71341463],0
b4,1,0.518464,0.416948,[82 71] ; [7 4],[83.0304878 69.9695122] ; [5.9695122 5.0304878],0
b2,1,0.658778,0.195012,[19 53] ; [3 6],[19.55555556 52.44444444] ; [2.44444444 6.55555556],0
b3,1,0.658778,0.195012,[19 53] ; [3 6],[19.55555556 52.44444444] ; [2.44444444 6.55555556],0
n1,1,0.738139,0.111769,[21 31] ; [2 4],[20.62068966 31.37931034] ; [2.37931034 3.62068966],0
u3,1,0.797262,0.065994,[25 20] ; [3 3],[24.70588235 20.29411765] ; [3.29411765 2.70588235],0
d4,1,0.820969,0.051211,[120  32] ; [9 2],[120.29447853  31.70552147] ; [8.70552147 2.29447853],0
u2,1,0.916749,0.010927,[21 23] ; [3 3],[21.12 22.88] ; [2.88 3.12],0
p1,1,0.933299,0.007005,[ 15 137] ; [ 1 10],[ 14.9202454 137.0797546] ; [1.0797546 9.9202454],0
a4,1,0.969342,0.001477,[70 82] ; [5 6],[69.93865031 82.06134969] ; [5.06134969 5.93865031],0
