Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000183,13.99373,[54 70] ; [45 17],[66. 58.] ; [33. 29.],1
p12,1,0.001535,10.035794,[  2 123] ; [ 8 56],[  6.61375661 118.38624339] ; [ 3.38624339 60.61375661],0
u1,1,0.001577,9.986393,[ 24 101] ; [26 38],[33.06878307 91.93121693] ; [16.93121693 47.06878307],0
n5,1,0.002751,8.965624,[81 43] ; [55  9],[89.70212766 34.29787234] ; [46.29787234 17.70212766],0
d5,1,0.005042,7.8643,[100  25] ; [61  3],[106.48148148  18.51851852] ; [54.51851852  9.48148148],0
n4,1,0.009509,6.724662,[90 34] ; [57  7],[96.95744681 27.04255319] ; [50.04255319 13.95744681],0
n6,1,0.009584,6.71057,[99 26] ; [60  4],[105.15873016  19.84126984] ; [53.84126984 10.15873016],0
r1,1,0.030598,4.675361,[86 37] ; [54 10],[92.0855615 30.9144385] ; [47.9144385 16.0855615],0
v1,1,0.032868,4.552656,[54 67] ; [38 24],[60.83060109 60.16939891] ; [31.16939891 30.83060109],0
d2,1,0.033992,4.495088,[63 62] ; [42 21],[69.81382979 55.18617021] ; [35.18617021 27.81382979],0
p3,1,0.036101,4.392336,[62 63] ; [42 22],[68.78306878 56.21693122] ; [35.21693122 28.78306878],0
a2,1,0.045799,3.988972,[33 92] ; [26 38],[39.02116402 85.97883598] ; [19.97883598 44.02116402],0
r4,1,0.056758,3.629659,[105  20] ; [60  4],[109.12698413  15.87301587] ; [55.87301587  8.12698413],0
p10,1,0.066044,3.378703,[89 34] ; [54 10],[94.05882353 28.94117647] ; [48.94117647 15.05882353],0
a6,1,0.072113,3.234262,[84 41] ; [51 13],[89.28571429 35.71428571] ; [45.71428571 18.28571429],0
s8,1,0.104617,2.633703,[49 76] ; [33 31],[54.23280423 70.76719577] ; [27.76719577 36.23280423],0
v4,1,0.144604,2.128274,[114  11] ; [62  2],[116.4021164   8.5978836] ; [59.5978836  4.4021164],0
s6,1,0.155183,2.020548,[87 38] ; [50 13],[91.09042553 33.90957447] ; [45.90957447 17.09042553],0
s7,1,0.159491,1.979045,[58 59] ; [37 24],[62.44382022 54.55617978] ; [32.55617978 28.44382022],0
a3,1,0.207645,1.587769,[89 36] ; [51 13],[92.59259259 32.40740741] ; [47.40740741 16.59259259],0
d1,1,0.241612,1.371163,[71 54] ; [42 22],[74.73544974 50.26455026] ; [38.26455026 25.73544974],0
d3,1,0.263598,1.249762,[86 39] ; [49 15],[89.28571429 35.71428571] ; [45.71428571 18.28571429],0
a1,1,0.264712,1.243947,[  6 119] ; [ 1 63],[  4.62962963 120.37037037] ; [ 2.37037037 61.62962963],0
p1,1,0.30695,1.043752,[ 11 114] ; [ 3 61],[  9.25925926 115.74074074] ; [ 4.74074074 59.25925926],0
s4,1,0.309274,1.033774,[ 23 101] ; [ 8 55],[ 20.55614973 103.44385027] ; [10.44385027 52.55614973],0
p11,1,0.318587,0.994737,[85 40] ; [48 16],[87.96296296 37.03703704] ; [45.03703704 18.96296296],0
n2,1,0.353749,0.859963,[23  9] ; [10  7],[21.55102041 10.44897959] ; [11.44897959  5.55102041],0
n3,1,0.363845,0.824576,[27  6] ; [12  5],[25.74  7.26] ; [13.26  3.74],0
s5,1,0.382665,0.762122,[39 82] ; [24 38],[41.6557377 79.3442623] ; [21.3442623 40.6557377],0
b2,1,0.43821,0.600964,[30 53] ; [19 25],[32.02362205 50.97637795] ; [16.97637795 27.02362205],0
b3,1,0.43821,0.600964,[30 53] ; [19 25],[32.02362205 50.97637795] ; [16.97637795 27.02362205],0
u3,1,0.446639,0.579167,[20 15] ; [9 4],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
d4,1,0.489674,0.477244,[94 31] ; [51 13],[95.8994709 29.1005291] ; [49.1005291 14.8994709],0
p9,1,0.49258,0.470885,[100  25] ; [53 10],[101.7287234  23.2712766] ; [51.2712766 11.7287234],0
s3,1,0.514932,0.424032,[73 52] ; [32 28],[70.94594595 54.05405405] ; [34.05405405 25.94594595],0
b1,1,0.515585,0.422717,[55 70] ; [25 39],[52.91005291 72.08994709] ; [27.08994709 36.91005291],0
r3,1,0.588328,0.292963,[119   6] ; [62  2],[119.70899471   5.29100529] ; [61.29100529  2.70899471],0
a4,1,0.599788,0.275316,[67 57] ; [32 32],[65.29787234 58.70212766] ; [33.70212766 30.29787234],0
u4,1,0.627804,0.23505,[  1 124] ; [ 1 63],[  1.32275132 123.67724868] ; [ 0.67724868 63.32275132],0
n1,1,0.638289,0.220987,[11 21] ; [ 7 10],[11.75510204 20.24489796] ; [ 6.24489796 10.75510204],0
p7,1,0.646724,0.210056,[61 62] ; [34 30],[62.48663102 60.51336898] ; [32.51336898 31.48663102],0
a5,1,0.657913,0.196069,[92 33] ; [49 15],[93.25396825 31.74603175] ; [47.74603175 16.25396825],0
p6,1,0.661214,0.192053,[43 80] ; [20 43],[41.66129032 81.33870968] ; [21.33870968 41.66129032],0
r2,1,0.672667,0.178499,[112  12] ; [59  5],[112.78723404  11.21276596] ; [58.21276596  5.78723404],0
u2,1,0.677132,0.173372,[16 18] ; [7 6],[16.63829787 17.36170213] ; [6.36170213 6.63829787],0
s2,1,0.707649,0.140637,[71 54] ; [37 25],[72.19251337 52.80748663] ; [35.80748663 26.19251337],0
a8,1,0.785913,0.073778,[ 15 100] ; [ 6 46],[ 14.46107784 100.53892216] ; [ 6.53892216 45.46107784],0
p5,1,0.793131,0.068773,[ 11 112] ; [ 5 59],[ 10.52406417 112.47593583] ; [ 5.47593583 58.52406417],0
