Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000194,13.887013,[12  3] ; [ 4 18],[6.48648649 8.51351351] ; [ 9.51351351 12.48648649],1
d5,1,0.002743,8.971134,[14  1] ; [10 12],[9.72972973 5.27027027] ; [14.27027027  7.72972973],0
a4,1,0.046511,3.962975,[9 6] ; [ 6 16],[6.08108108 8.91891892] ; [ 8.91891892 13.08108108],0
p6,1,0.049112,3.871537,[5 9] ; [ 2 20],[ 2.72222222 11.27777778] ; [ 4.27777778 17.72222222],0
p4,1,0.052008,3.775517,[11  4] ; [ 9 13],[8.10810811 6.89189189] ; [11.89189189 10.10810811],0
d1,1,0.055538,3.665861,[8 7] ; [ 5 17],[5.27027027 9.72972973] ; [ 7.72972973 14.27027027],0
n1,1,0.094264,2.8,[1 6] ; [4 3],[2.5 4.5] ; [2.5 4.5],0
d2,1,0.108543,2.575306,[8 7] ; [ 6 16],[5.67567568 9.32432432] ; [ 8.32432432 13.67567568],0
p12,1,0.137181,2.209298,[ 3 12] ; [ 1 21],[ 1.62162162 13.37837838] ; [ 2.37837838 19.62162162],0
v3,1,0.142317,2.152727,[6 9] ; [ 4 18],[ 4.05405405 10.94594595] ; [ 5.94594595 16.05405405],0
a7,1,0.155808,2.014444,[11  4] ; [11 11],[8.91891892 6.08108108] ; [13.08108108  8.91891892],0
u2,1,0.157299,2.0,[2 2] ; [7 1],[3. 1.] ; [6. 2.],0
p11,1,0.198203,1.655568,[13  2] ; [15  7],[11.35135135  3.64864865] ; [16.64864865  5.35135135],0
d4,1,0.198203,1.655568,[13  2] ; [15  7],[11.35135135  3.64864865] ; [16.64864865  5.35135135],0
d3,1,0.203669,1.615865,[10  5] ; [10 12],[8.10810811 6.89189189] ; [11.89189189 10.10810811],0
v4,1,0.253995,1.301196,[9 6] ; [ 9 13],[7.2972973 7.7027027] ; [10.7027027 11.2972973],0
n2,1,0.280087,1.166667,[5 2] ; [3 4],[4. 3.] ; [4. 3.],0
b1,1,0.306323,1.046465,[7 8] ; [14  8],[8.51351351 6.48648649] ; [12.48648649  9.51351351],0
u1,1,0.336309,0.92445,[ 2 13] ; [ 1 21],[ 1.21621622 13.78378378] ; [ 1.78378378 20.21621622],0
a2,1,0.340597,0.908182,[ 3 12] ; [ 2 20],[ 2.02702703 12.97297297] ; [ 2.97297297 19.02702703],0
p2,1,0.372944,0.793833,[11  4] ; [13  9],[9.72972973 5.27027027] ; [14.27027027  7.72972973],0
r3,1,0.378556,0.775385,[12  3] ; [14  7],[10.83333333  4.16666667] ; [15.16666667  5.83333333],0
s3,1,0.497465,0.46034,[ 3 11] ; [ 7 15],[ 3.88888889 10.11111111] ; [ 6.11111111 15.88888889],0
s1,1,0.502651,0.449334,[ 1 14] ; [ 3 19],[ 1.62162162 13.37837838] ; [ 2.37837838 19.62162162],0
a1,1,0.502651,0.449334,[ 1 14] ; [ 3 19],[ 1.62162162 13.37837838] ; [ 2.37837838 19.62162162],0
p9,1,0.510961,0.432099,[10  4] ; [17  4],[10.8  3.2] ; [16.2  4.8],0
r1,1,0.53085,0.392764,[7 8] ; [ 8 14],[6.08108108 8.91891892] ; [ 8.91891892 13.08108108],0
s5,1,0.606139,0.265836,[ 3 12] ; [ 3 19],[ 2.43243243 12.56756757] ; [ 3.56756757 18.43243243],0
a6,1,0.608766,0.261976,[9 6] ; [15  7],[9.72972973 5.27027027] ; [14.27027027  7.72972973],0
r4,1,0.612689,0.256277,[ 3 12] ; [ 6 16],[ 3.64864865 11.35135135] ; [ 5.35135135 16.64864865],0
s7,1,0.618402,0.24812,[ 4 10] ; [ 7 12],[4.66666667 9.33333333] ; [ 6.33333333 12.66666667],0
p3,1,0.628745,0.233766,[ 4 10] ; [ 8 14],[4.66666667 9.33333333] ; [ 7.33333333 14.66666667],0
b4,1,0.637809,0.22162,[7 8] ; [12 10],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
u3,1,0.665006,0.1875,[1 3] ; [3 5],[1.33333333 2.66666667] ; [2.66666667 5.33333333],0
a3,1,0.668576,0.183273,[11  4] ; [14  7],[10.41666667  4.58333333] ; [14.58333333  6.41666667],0
p1,1,0.683257,0.166483,[ 2 13] ; [ 2 20],[ 1.62162162 13.37837838] ; [ 2.37837838 19.62162162],0
p7,1,0.728532,0.120464,[8 7] ; [13  9],[8.51351351 6.48648649] ; [12.48648649  9.51351351],0
s8,1,0.736421,0.113297,[ 4 11] ; [ 7 15],[ 4.45945946 10.54054054] ; [ 6.54054054 15.45945946],0
n4,1,0.742298,0.108117,[9 6] ; [12 10],[8.51351351 6.48648649] ; [12.48648649  9.51351351],0
n6,1,0.769324,0.086001,[10  5] ; [13  8],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
s4,1,0.790827,0.070351,[ 1 14] ; [ 2 20],[ 1.21621622 13.78378378] ; [ 1.78378378 20.21621622],0
p10,1,0.808976,0.058442,[9 5] ; [15  7],[9.33333333 4.66666667] ; [14.66666667  7.33333333],0
p8,1,0.820596,0.051429,[7 8] ; [ 9 12],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
b5,1,0.84213,0.039669,[8 7] ; [11 11],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
s6,1,0.84213,0.039669,[7 8] ; [11 11],[7.2972973 7.7027027] ; [10.7027027 11.2972973],0
n5,1,0.849647,0.035936,[10  5] ; [14  8],[9.72972973 5.27027027] ; [14.27027027  7.72972973],0
