Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,57.421781,[81  7] ; [ 7 24],[65.07563025 22.92436975] ; [22.92436975  8.07563025],1
s7,1,8.7e-05,15.404517,[45 37] ; [ 4 26],[35.875 46.125] ; [13.125 16.875],1
p11,1,0.000775,11.300098,[75 13] ; [18 14],[68.2 19.8] ; [24.8  7.2],1
p2,1,0.001496,10.083693,[72 16] ; [17 15],[65.26666667 22.73333333] ; [23.73333333  8.26666667],0
p8,1,0.002913,8.861386,[49 37] ; [ 8 23],[41.8974359 44.1025641] ; [15.1025641 15.8974359],0
r3,1,0.003623,8.463871,[84  4] ; [25  7],[79.93333333  8.06666667] ; [29.06666667  2.93333333],0
a6,1,0.004252,8.173005,[61 27] ; [13 19],[54.26666667 33.73333333] ; [19.73333333 12.26666667],0
s6,1,0.007048,7.260678,[62 24] ; [14 17],[55.86324786 30.13675214] ; [20.13675214 10.86324786],0
a7,1,0.008276,6.972691,[64 24] ; [15 17],[57.93333333 30.06666667] ; [21.06666667 10.93333333],0
s1,1,0.015888,5.81528,[ 3 84] ; [ 5 26],[ 5.89830508 81.10169492] ; [ 2.10169492 28.89830508],0
n6,1,0.017599,5.635653,[75 13] ; [21 11],[70.4 17.6] ; [25.6  6.4],0
n5,1,0.018841,5.516234,[70 17] ; [19 13],[65.06722689 21.93277311] ; [23.93277311  8.06722689],0
b1,1,0.020784,5.34485,[29 59] ; [18 14],[34.46666667 53.53333333] ; [12.53333333 19.46666667],0
v2,1,0.02373,5.114289,[46 36] ; [10 21],[40.63716814 41.36283186] ; [15.36283186 15.63716814],0
p4,1,0.036038,4.395292,[52 36] ; [12 20],[46.93333333 41.06666667] ; [17.06666667 14.93333333],0
s8,1,0.041945,4.137433,[38 50] ; [ 7 24],[33.27731092 54.72268908] ; [11.72268908 19.27731092],0
a5,1,0.044465,4.038831,[59 29] ; [15 17],[54.26666667 33.73333333] ; [19.73333333 12.26666667],0
a8,1,0.048974,3.876248,[ 6 75] ; [ 6 23],[ 8.83636364 72.16363636] ; [ 3.16363636 25.83636364],0
s2,1,0.072465,3.226277,[38 48] ; [ 8 23],[33.81196581 52.18803419] ; [12.18803419 18.81196581],0
a1,1,0.11259,2.517483,[ 1 87] ; [ 2 30],[ 2.2 85.8] ; [ 0.8 31.2],0
s5,1,0.119398,2.425195,[26 59] ; [ 5 26],[22.71551724 62.28448276] ; [ 8.28448276 22.71551724],0
b4,1,0.12318,2.376418,[41 47] ; [20 12],[44.73333333 43.26666667] ; [16.26666667 15.73333333],0
p7,1,0.14936,2.078771,[53 33] ; [15 17],[49.55932203 36.44067797] ; [18.44067797 13.55932203],0
u2,1,0.17674,1.824828,[19 17] ; [ 6 12],[16.66666667 19.33333333] ; [8.33333333 9.66666667],0
v4,1,0.190158,1.71639,[84  3] ; [29  3],[82.61344538  4.38655462] ; [30.38655462  1.61344538],0
d5,1,0.224839,1.473214,[44 44] ; [12 20],[41.06666667 46.93333333] ; [14.93333333 17.06666667],0
a3,1,0.236534,1.40113,[52 36] ; [14 16],[49.22033898 38.77966102] ; [16.77966102 13.22033898],0
r2,1,0.318174,0.996437,[84  4] ; [29  3],[82.86666667  5.13333333] ; [30.13333333  1.86666667],0
p12,1,0.348293,0.879667,[ 7 81] ; [ 1 31],[ 5.86666667 82.13333333] ; [ 2.13333333 29.86666667],0
b5,1,0.375172,0.786462,[47 41] ; [20 12],[49.13333333 38.86666667] ; [17.86666667 14.13333333],0
v1,1,0.375425,0.785628,[45 40] ; [14 18],[42.86324786 42.13675214] ; [16.13675214 15.86324786],0
p6,1,0.383863,0.758295,[29 58] ; [ 8 24],[27.05042017 59.94957983] ; [ 9.94957983 22.05042017],0
n4,1,0.454234,0.560065,[69 19] ; [23  9],[67.46666667 20.53333333] ; [24.53333333  7.46666667],0
p3,1,0.457939,0.550927,[42 45] ; [13 19],[40.21008403 46.78991597] ; [14.78991597 17.21008403],0
r4,1,0.473237,0.514407,[83  5] ; [29  3],[82.13333333  5.86666667] ; [29.86666667  2.13333333],0
v3,1,0.534673,0.385503,[36 50] ; [11 20],[34.54700855 51.45299145] ; [12.45299145 18.54700855],0
s4,1,0.535007,0.384873,[18 69] ; [ 5 27],[16.81512605 70.18487395] ; [ 6.18487395 25.81512605],0
d1,1,0.56983,0.322967,[ 5 83] ; [ 1 31],[ 4.4 83.6] ; [ 1.6 30.4],0
d3,1,0.615008,0.252947,[29 59] ; [ 9 23],[27.86666667 60.13333333] ; [10.13333333 21.86666667],0
p1,1,0.643725,0.213904,[14 74] ; [ 4 28],[13.2 74.8] ; [ 4.8 27.2],0
a4,1,0.695004,0.153722,[23 65] ; [ 7 24],[22.18487395 65.81512605] ; [ 7.81512605 23.18487395],0
u3,1,0.699526,0.148966,[20 16] ; [9 9],[19.33333333 16.66666667] ; [9.66666667 8.33333333],0
n1,1,0.708959,0.139319,[10 10] ; [7 9],[ 9.44444444 10.55555556] ; [7.55555556 8.44444444],0
n2,1,0.764177,0.09,[17  3] ; [13  3],[16.66666667  3.33333333] ; [13.33333333  2.66666667],0
d2,1,0.819828,0.051877,[21 67] ; [ 7 25],[20.53333333 67.46666667] ; [ 7.46666667 24.53333333],0
a2,1,0.89054,0.018939,[ 9 79] ; [ 3 29],[ 8.8 79.2] ; [ 3.2 28.8],0
n3,1,0.919242,0.01028,[16  4] ; [11  3],[15.88235294  4.11764706] ; [11.11764706  2.88235294],0
b2,1,0.980784,0.00058,[13 41] ; [ 5 16],[12.96 41.04] ; [ 5.04 15.96],0
b3,1,0.980784,0.00058,[13 41] ; [ 5 16],[12.96 41.04] ; [ 5.04 15.96],0
s3,1,1.0,0.0,[43 43] ; [15 15],[43. 43.] ; [15. 15.],0
p5,1,1.0,0.0,[11 77] ; [ 4 28],[11. 77.] ; [ 4. 28.],0
