Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6e-06,20.35236,[20 36] ; [104  44],[34.03921569 21.96078431] ; [89.96078431 58.03921569],1
n4,1,3.5e-05,17.144354,[22 35] ; [103  44],[34.92647059 22.07352941] ; [90.07352941 56.92647059],1
s8,1,0.003374,8.593311,[12 45] ; [63 83],[21.0591133 35.9408867] ; [53.9408867 92.0591133],0
u2,1,0.00616,7.502805,[14  5] ; [18 31],[ 8.94117647 10.05882353] ; [23.05882353 25.94117647],0
p4,1,0.015947,5.808666,[18 38] ; [74 71],[25.6318408 30.3681592] ; [66.3681592 78.6318408],0
s6,1,0.017566,5.638972,[28 28] ; [98 46],[35.28 20.72] ; [90.72 53.28],0
n1,1,0.017997,5.596468,[ 5 20] ; [25 27],[ 9.74025974 15.25974026] ; [20.25974026 31.74025974],0
u3,1,0.020535,5.365798,[15  4] ; [24 26],[10.73913043  8.26086957] ; [28.26086957 21.73913043],0
n2,1,0.033455,4.522354,[13 12] ; [41 13],[17.08860759  7.91139241] ; [36.91139241 17.08860759],0
r4,1,0.040575,4.193673,[41 16] ; [125  23],[46.15609756 10.84390244] ; [119.84390244  28.15609756],0
a6,1,0.045574,3.99728,[40 16] ; [83 65],[33.76470588 22.23529412] ; [89.23529412 58.76470588],0
s7,1,0.04585,3.987112,[17 34] ; [68 69],[23.05851064 27.94148936] ; [61.94148936 75.05851064],0
u1,1,0.049961,3.842765,[ 5 52] ; [ 30 118],[ 9.73170732 47.26829268] ; [ 25.26829268 122.73170732],0
p10,1,0.05753,3.607201,[24 29] ; [87 57],[29.86294416 23.13705584] ; [81.13705584 62.86294416],0
s5,1,0.084431,2.97747,[11 39] ; [50 92],[15.88541667 34.11458333] ; [45.11458333 96.88541667],0
b5,1,0.084917,2.96819,[32 25] ; [102  46],[37.25853659 19.74146341] ; [96.74146341 51.25853659],0
