Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,25.389956,[41  7] ; [15 29],[29.2173913 18.7826087] ; [26.7826087 17.2173913],1
r2,1,0.000569,11.873653,[43  5] ; [25 18],[35.86813187 12.13186813] ; [32.13186813 10.86813187],1
b3,1,0.012174,6.285377,[17 16] ; [ 6 23],[12.24193548 20.75806452] ; [10.75806452 18.24193548],0
b2,1,0.012174,6.285377,[17 16] ; [ 6 23],[12.24193548 20.75806452] ; [10.75806452 18.24193548],0
p11,1,0.01308,6.158215,[36 12] ; [22 22],[30.26086957 17.73913043] ; [27.73913043 16.26086957],0
r3,1,0.015953,5.808081,[41  7] ; [28 16],[36. 12.] ; [33. 11.],0
a5,1,0.020103,5.402967,[22 26] ; [10 34],[16.69565217 31.30434783] ; [15.30434783 28.69565217],0
a3,1,0.021259,5.305394,[26 22] ; [13 30],[20.57142857 27.42857143] ; [18.42857143 24.57142857],0
u2,1,0.023742,5.1134,[14  8] ; [10 21],[ 9.96226415 12.03773585] ; [14.03773585 16.96226415],0
v1,1,0.027891,4.834814,[23 25] ; [11 32],[17.93406593 30.06593407] ; [16.06593407 26.93406593],0
d4,1,0.033776,4.505996,[23 24] ; [12 32],[18.07692308 28.92307692] ; [16.92307692 27.07692308],0
v4,1,0.047803,3.916916,[40  7] ; [29 14],[36.03333333 10.96666667] ; [32.96666667 10.03333333],0
u3,1,0.070338,3.275117,[11 11] ; [ 8 23],[ 7.88679245 14.11320755] ; [11.11320755 19.88679245],0
s6,1,0.102048,2.673235,[24 23] ; [15 29],[20.14285714 26.85714286] ; [18.85714286 25.14285714],0
v3,1,0.125995,2.341172,[12 33] ; [ 6 38],[ 9.1011236 35.8988764] ; [ 8.8988764 35.1011236],0
n3,1,0.141454,2.162075,[5 7] ; [13  6],[6.96774194 5.03225806] ; [11.03225806  7.96774194],0
s5,1,0.194687,1.681787,[11 34] ; [ 6 38],[ 8.59550562 36.40449438] ; [ 8.40449438 35.59550562],0
p3,1,0.197368,1.661741,[18 30] ; [11 33],[15.13043478 32.86956522] ; [13.86956522 30.13043478],0
a4,1,0.202791,1.62216,[10 37] ; [ 5 39],[ 7.74725275 39.25274725] ; [ 7.25274725 36.74725275],0
s7,1,0.20618,1.598051,[16 29] ; [10 33],[13.29545455 31.70454545] ; [12.70454545 30.29545455],0
p10,1,0.214685,1.539549,[28 19] ; [20 23],[25.06666667 21.93333333] ; [22.93333333 20.06666667],0
s8,1,0.259071,1.273716,[16 32] ; [10 34],[13.56521739 34.43478261] ; [12.43478261 31.56521739],0
d3,1,0.28193,1.157764,[12 36] ; [ 7 37],[ 9.91304348 38.08695652] ; [ 9.08695652 34.91304348],0
s3,1,0.282395,1.155529,[25 22] ; [18 25],[22.45555556 24.54444444] ; [20.54444444 22.45555556],0
v2,1,0.320885,0.985337,[13 29] ; [ 9 33],[11. 31.] ; [11. 31.],0
a8,1,0.344063,0.895233,[ 6 38] ; [ 3 38],[ 4.65882353 39.34117647] ; [ 4.34117647 36.65882353],0
n5,1,0.362682,0.828585,[30 17] ; [32 12],[32.02197802 14.97802198] ; [29.97802198 14.02197802],0
p6,1,0.364057,0.82385,[10 37] ; [ 6 37],[ 8.35555556 38.64444444] ; [ 7.64444444 35.35555556],0
b5,1,0.413659,0.668259,[21 27] ; [23 21],[22.95652174 25.04347826] ; [21.04347826 22.95652174],0
b4,1,0.422793,0.64254,[28 20] ; [22 22],[26.08695652 21.91304348] ; [23.91304348 20.08695652],0
s1,1,0.430109,0.62253,[ 4 42] ; [ 2 42],[ 3.06666667 42.93333333] ; [ 2.93333333 41.06666667],0
p2,1,0.44586,0.581154,[31 17] ; [25 19],[29.2173913 18.7826087] ; [26.7826087 17.2173913],0
s4,1,0.448506,0.574426,[ 6 42] ; [ 8 36],[ 7.30434783 40.69565217] ; [ 6.69565217 37.30434783],0
d1,1,0.506566,0.441153,[ 1 47] ; [ 2 42],[ 1.56521739 46.43478261] ; [ 1.43478261 42.56521739],0
p7,1,0.58214,0.302789,[23 24] ; [19 25],[21.69230769 25.30769231] ; [20.30769231 23.69230769],0
p5,1,0.62807,0.234687,[ 3 44] ; [ 4 40],[ 3.61538462 43.38461538] ; [ 3.38461538 40.61538462],0
d2,1,0.629807,0.232323,[11 37] ; [12 32],[12. 36.] ; [11. 33.],0
n4,1,0.749274,0.102142,[31 17] ; [27 17],[30.26086957 17.73913043] ; [27.73913043 16.26086957],0
p8,1,0.750675,0.100965,[19 29] ; [16 28],[18.26086957 29.73913043] ; [16.73913043 27.26086957],0
s2,1,0.806663,0.059894,[15 32] ; [13 31],[14.46153846 32.53846154] ; [13.53846154 30.46153846],0
n6,1,0.816746,0.0537,[31 16] ; [28 16],[30.47252747 16.52747253] ; [28.52747253 15.47252747],0
p4,1,0.835547,0.043095,[17 30] ; [15 29],[16.52747253 30.47252747] ; [15.47252747 28.52747253],0
b1,1,0.841727,0.039874,[23 25] ; [22 22],[23.47826087 24.52173913] ; [21.52173913 22.47826087],0
n1,1,0.852603,0.034521,[ 4 10] ; [ 6 13],[4.24242424 9.75757576] ; [ 5.75757576 13.24242424],0
p1,1,0.871568,0.026136,[ 6 42] ; [ 6 38],[ 6.26086957 41.73913043] ; [ 5.73913043 38.26086957],0
a6,1,0.88321,0.02158,[20 28] ; [19 25],[20.34782609 27.65217391] ; [18.65217391 25.34782609],0
a1,1,0.912206,0.012156,[ 3 45] ; [ 3 41],[ 3.13043478 44.86956522] ; [ 2.86956522 41.13043478],0
p12,1,0.912206,0.012156,[ 3 45] ; [ 3 41],[ 3.13043478 44.86956522] ; [ 2.86956522 41.13043478],0
n2,1,0.946929,0.004431,[9 5] ; [12  7],[8.90909091 5.09090909] ; [12.09090909  6.90909091],0
a2,1,0.950383,0.003872,[ 1 47] ; [ 1 43],[ 1.04347826 46.95652174] ; [ 0.95652174 43.04347826],0
p9,1,0.976524,0.000866,[31 17] ; [27 15],[30.93333333 17.06666667] ; [27.06666667 14.93333333],0
