Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.3e-05,19.064067,[277 293] ; [71 27],[296.94610778 273.05389222] ; [51.05389222 46.94610778],1
s5,1,1.4e-05,18.912576,[172 383] ; [49 41],[190.1627907 364.8372093] ; [30.8372093 59.1627907],1
s6,1,5.1e-05,16.418296,[372 194] ; [83 13],[389.01812689 176.98187311] ; [65.98187311 30.01812689],1
s3,1,0.000462,12.261204,[309 254] ; [73 26],[324.87311178 238.12688822] ; [57.12688822 41.87311178],1
b3,1,0.001614,9.943751,[155 217] ; [11 45],[144.28037383 227.71962617] ; [21.71962617 34.28037383],0
b2,1,0.001614,9.943751,[155 217] ; [11 45],[144.28037383 227.71962617] ; [21.71962617 34.28037383],0
v3,1,0.006694,7.353427,[253 297] ; [31 68],[240.6779661 309.3220339] ; [43.3220339 55.6779661],0
r2,1,0.006914,7.295091,[551  15] ; [92  8],[546.45345345  19.54654655] ; [96.54654655  3.45345345],0
a8,1,0.01944,5.461522,[ 88 427] ; [ 7 86],[ 80.46875 434.53125] ; [14.53125 78.46875],0
s7,1,0.036013,4.396476,[283 259] ; [63 36],[292.56162246 249.43837754] ; [53.43837754 45.56162246],0
v2,1,0.045537,3.998622,[326 224] ; [48 51],[316.94915254 233.05084746] ; [57.05084746 41.94915254],0
s8,1,0.075692,3.15505,[261 308] ; [56 45],[269.21343284 299.78656716] ; [47.78656716 53.21343284],0
n1,1,0.103504,2.6507,[51 59] ; [ 5 14],[47.75193798 62.24806202] ; [ 8.24806202 10.75193798],0
n3,1,0.135711,2.225931,[81 29] ; [17  2],[83.56589147 26.43410853] ; [14.43410853  4.56589147],0
v1,1,0.193049,1.694195,[319 236] ; [51 50],[313.03353659 241.96646341] ; [56.96646341 44.03353659],0
r3,1,0.217451,1.521116,[548  24] ; [93  7],[545.61309524  26.38690476] ; [95.38690476  4.61309524],0
d4,1,0.217681,1.519592,[473  95] ; [79 22],[468.66367713  99.33632287] ; [83.33632287 17.66367713],0
p6,1,0.233991,1.416436,[217 344] ; [45 55],[222.36308623 338.63691377] ; [39.63691377 60.36308623],0
u2,1,0.245472,1.348893,[88 63] ; [13 15],[85.20111732 65.79888268] ; [15.79888268 12.20111732],0
u1,1,0.251194,1.316649,[108 465] ; [24 77],[112.21958457 460.78041543] ; [19.78041543 81.21958457],0
r4,1,0.269394,1.219829,[534  39] ; [91 10],[531.34272997  41.65727003] ; [93.65727003  7.34272997],0
p9,1,0.286957,1.133842,[479  84] ; [90 11],[482.4503012  80.5496988] ; [86.5496988 14.4503012],0
