Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,33.850038,[14 23] ; [46  2],[26.11764706 10.88235294] ; [33.88235294 14.11764706],1
s3,1,0.000165,14.196468,[14 24] ; [39 12],[22.62921348 15.37078652] ; [30.37078652 20.62921348],1
p8,1,0.006355,7.446671,[25 14] ; [45  6],[30.33333333  8.66666667] ; [39.66666667 11.33333333],0
r1,1,0.006355,7.446671,[25 14] ; [45  6],[30.33333333  8.66666667] ; [39.66666667 11.33333333],0
s2,1,0.013397,6.115869,[15 24] ; [33 18],[20.8 18.2] ; [27.2 23.8],0
r2,1,0.014386,5.990182,[31  8] ; [48  2],[34.61797753  4.38202247] ; [44.38202247  5.61797753],0
b5,1,0.045745,3.99095,[22 17] ; [18 33],[17.33333333 21.66666667] ; [22.66666667 28.33333333],0
v1,1,0.052979,3.744589,[20 17] ; [37 13],[24.24137931 12.75862069] ; [32.75862069 17.24137931],0
v3,1,0.055038,3.680929,[17 21] ; [32 17],[21.40229885 16.59770115] ; [27.59770115 21.40229885],0
s6,1,0.066168,3.375624,[26 11] ; [44  7],[29.43181818  7.56818182] ; [40.56818182 10.43181818],0
n1,1,0.072461,3.226364,[1 5] ; [9 6],[2.85714286 3.14285714] ; [7.14285714 7.85714286],0
a3,1,0.08618,2.944322,[26 13] ; [42  9],[29.46666667  9.53333333] ; [38.53333333 12.46666667],0
p6,1,0.093243,2.81748,[18 20] ; [32 17],[21.83908046 16.16091954] ; [28.16091954 20.83908046],0
p7,1,0.09354,2.812364,[26 12] ; [41  8],[29.26436782  8.73563218] ; [37.73563218 11.26436782],0
u3,1,0.119467,2.424298,[10  3] ; [4 5],[8.27272727 4.72727273] ; [5.72727273 3.27272727],0
p3,1,0.139052,2.188419,[26 13] ; [41 10],[29.03333333  9.96666667] ; [37.96666667 13.03333333],0
r4,1,0.146945,2.103682,[32  7] ; [47  4],[34.23333333  4.76666667] ; [44.76666667  6.23333333],0
d3,1,0.175823,1.832579,[23 16] ; [37 14],[26. 13.] ; [34. 17.],0
a8,1,0.21678,1.525561,[ 4 33] ; [10 38],[ 6.09411765 30.90588235] ; [ 7.90588235 40.09411765],0
v4,1,0.232527,1.425339,[35  4] ; [49  2],[36.4  2.6] ; [47.6  3.4],0
p4,1,0.233886,1.417072,[30  8] ; [45  6],[32.02247191  5.97752809] ; [42.97752809  8.02247191],0
r3,1,0.251744,1.313597,[34  5] ; [48  3],[35.53333333  3.46666667] ; [46.46666667  4.53333333],0
a6,1,0.258922,1.27451,[26 13] ; [28 23],[23.4 15.6] ; [30.6 20.4],0
n3,1,0.29008,1.119251,[3 4] ; [10  5],[4.13636364 2.86363636] ; [8.86363636 6.13636364],0
v2,1,0.295122,1.096106,[19 19] ; [30 19],[21.40229885 16.59770115] ; [27.59770115 21.40229885],0
d5,1,0.357122,0.847989,[29 10] ; [42  9],[30.76666667  8.23333333] ; [40.23333333 10.76666667],0
a7,1,0.391055,0.735659,[25 14] ; [37 14],[26.86666667 12.13333333] ; [35.13333333 15.86666667],0
d4,1,0.391902,0.733032,[31  8] ; [44  7],[32.5  6.5] ; [42.5  8.5],0
s1,1,0.411802,0.673593,[ 2 37] ; [ 5 46],[ 3.03333333 35.96666667] ; [ 3.96666667 47.03333333],0
n4,1,0.423148,0.641555,[33  6] ; [46  5],[34.23333333  4.76666667] ; [44.76666667  6.23333333],0
p9,1,0.44262,0.589481,[35  4] ; [48  3],[35.96666667  3.03333333] ; [47.03333333  3.96666667],0
d2,1,0.442789,0.589043,[20 19] ; [22 29],[18.2 20.8] ; [23.8 27.2],0
a5,1,0.467864,0.527016,[28 11] ; [40 11],[29.46666667  9.53333333] ; [38.53333333 12.46666667],0
b2,1,0.482284,0.493693,[14 12] ; [18 22],[12.60606061 13.39393939] ; [19.39393939 20.60606061],0
b3,1,0.482284,0.493693,[14 12] ; [18 22],[12.60606061 13.39393939] ; [19.39393939 20.60606061],0
b4,1,0.487222,0.482655,[25 14] ; [29 22],[23.4 15.6] ; [30.6 20.4],0
u2,1,0.512091,0.429792,[9 4] ; [5 4],[8.27272727 4.72727273] ; [5.72727273 3.27272727],0
p1,1,0.579529,0.306996,[12 27] ; [13 38],[10.83333333 28.16666667] ; [14.16666667 36.83333333],0
u1,1,0.583838,0.300071,[ 7 32] ; [ 7 44],[ 6.06666667 32.93333333] ; [ 7.93333333 43.06666667],0
p12,1,0.625763,0.237851,[ 8 30] ; [13 38],[ 8.96629213 29.03370787] ; [12.03370787 38.96629213],0
d1,1,0.636787,0.222968,[21 18] ; [30 21],[22.1 16.9] ; [28.9 22.1],0
a4,1,0.699244,0.14926,[16 23] ; [23 28],[16.9 22.1] ; [22.1 28.9],0
a1,1,0.821496,0.050905,[ 4 35] ; [ 6 45],[ 4.33333333 34.66666667] ; [ 5.66666667 45.33333333],0
p11,1,0.824414,0.049227,[33  6] ; [44  7],[33.36666667  5.63333333] ; [43.63333333  7.36666667],0
p2,1,0.843411,0.039019,[33  5] ; [45  6],[33.30337079  4.69662921] ; [44.69662921  6.30337079],0
n5,1,0.879554,0.022963,[34  5] ; [45  6],[34.23333333  4.76666667] ; [44.76666667  6.23333333],0
