Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-06,20.469925,[58  2] ; [18 12],[50.66666667  9.33333333] ; [25.33333333  4.66666667],1
p8,1,7e-06,20.105574,[57  3] ; [17 13],[49.33333333 10.66666667] ; [24.66666667  5.33333333],1
p12,1,0.02132,5.300481,[22 38] ; [ 4 26],[17.33333333 42.66666667] ; [ 8.66666667 21.33333333],0
a1,1,0.023686,5.117481,[13 47] ; [ 1 29],[ 9.33333333 50.66666667] ; [ 4.66666667 25.33333333],0
n5,1,0.025986,4.956971,[58  2] ; [25  5],[55.33333333  4.66666667] ; [27.66666667  2.33333333],0
s6,1,0.028502,4.797431,[49  5] ; [21  8],[45.54216867  8.45783133] ; [24.45783133  4.54216867],0
d1,1,0.029262,4.752155,[34 26] ; [24  6],[38.66666667 21.33333333] ; [19.33333333 10.66666667],0
s2,1,0.061582,3.494263,[39 19] ; [14 16],[34.93181818 23.06818182] ; [18.06818182 11.93181818],0
r2,1,0.070946,3.26099,[56  3] ; [25  5],[53.69662921  5.30337079] ; [27.30337079  2.69662921],0
s7,1,0.090832,2.859562,[42 13] ; [17 12],[38.63095238 16.36904762] ; [20.36904762  8.63095238],0
a2,1,0.093533,2.8125,[15 45] ; [ 3 27],[12. 48.] ; [ 6. 24.],0
s8,1,0.10238,2.668064,[40 19] ; [15 15],[36.46067416 22.53932584] ; [18.53932584 11.46067416],0
s3,1,0.106163,2.610422,[41 17] ; [16 14],[37.56818182 20.43181818] ; [19.43181818 10.56818182],0
r1,1,0.127956,2.317127,[51  8] ; [22  8],[48.39325843 10.60674157] ; [24.60674157  5.39325843],0
n2,1,0.136641,2.215385,[10  2] ; [3 3],[8.66666667 3.33333333] ; [4.33333333 1.66666667],0
a7,1,0.143235,2.142857,[45 15] ; [18 12],[42. 18.] ; [21.  9.],0
a4,1,0.175823,1.832579,[29 31] ; [10 20],[26. 34.] ; [13. 17.],0
n6,1,0.178192,1.812638,[58  2] ; [26  3],[56.62921348  3.37078652] ; [27.37078652  1.62921348],0
a8,1,0.194545,1.68286,[10 45] ; [ 2 25],[ 8.04878049 46.95121951] ; [ 3.95121951 23.04878049],0
r3,1,0.208217,1.583781,[56  2] ; [27  3],[54.70454545  3.29545455] ; [28.29545455  1.70454545],0
d2,1,0.231186,1.433549,[30 30] ; [19 11],[32.66666667 27.33333333] ; [16.33333333 13.66666667],0
n4,1,0.23568,1.40625,[55  5] ; [25  5],[53.33333333  6.66666667] ; [26.66666667  3.33333333],0
d3,1,0.259736,1.270161,[39 21] ; [23  7],[41.33333333 18.66666667] ; [20.66666667  9.33333333],0
u3,1,0.260452,1.266353,[8 5] ; [6 1],[9.1 3.9] ; [4.9 2.1],0
d5,1,0.263552,1.25,[46 14] ; [26  4],[48. 12.] ; [24.  6.],0
p11,1,0.289085,1.123876,[53  7] ; [24  6],[51.33333333  8.66666667] ; [25.66666667  4.33333333],0
