Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000429,12.403084,[71  5] ; [32 14],[64.16393443 11.83606557] ; [38.83606557  7.16393443],1
u2,1,0.001388,10.221183,[16  2] ; [3 7],[12.21428571  5.78571429] ; [6.78571429 3.21428571],0
s8,1,0.011718,6.352972,[47 28] ; [18 28],[40.2892562 34.7107438] ; [24.7107438 21.2892562],0
n1,1,0.036767,4.361185,[ 7 15] ; [10  5],[10.10810811 11.89189189] ; [6.89189189 8.10810811],0
s3,1,0.054911,3.684775,[27 48] ; [ 9 37],[22.31404959 52.68595041] ; [13.68595041 32.31404959],0
r3,1,0.062494,3.469938,[73  3] ; [40  6],[70.39344262  5.60655738] ; [42.60655738  3.39344262],0
p9,1,0.067634,3.339518,[65 10] ; [33 12],[61.25 13.75] ; [36.75  8.25],0
a4,1,0.068888,3.309313,[25 50] ; [23 23],[29.75206612 45.24793388] ; [18.24793388 27.75206612],0
n3,1,0.086476,2.938776,[11 11] ; [11  3],[13.44444444  8.55555556] ; [8.55555556 5.44444444],0
s5,1,0.105564,2.619404,[21 54] ; [ 7 39],[17.3553719 57.6446281] ; [10.6446281 35.3553719],0
d1,1,0.147837,2.094423,[36 40] ; [28 18],[39.86885246 36.13114754] ; [24.13114754 21.86885246],0
p6,1,0.161668,1.958559,[25 49] ; [21 24],[28.60504202 45.39495798] ; [17.39495798 27.60504202],0
v4,1,0.211627,1.560263,[71  5] ; [39  6],[69.09090909  6.90909091] ; [40.90909091  4.09090909],0
b3,1,0.228049,1.452986,[22 35] ; [18 17],[24.7826087 32.2173913] ; [15.2173913 19.7826087],0
b2,1,0.228049,1.452986,[22 35] ; [18 17],[24.7826087 32.2173913] ; [15.2173913 19.7826087],0
u3,1,0.239639,1.382716,[13  5] ; [5 5],[11.57142857  6.42857143] ; [6.42857143 3.57142857],0
a7,1,0.281076,1.161879,[55 21] ; [29 17],[52.32786885 23.67213115] ; [31.67213115 14.32786885],0
n2,1,0.284984,1.143166,[14  8] ; [12  3],[15.45945946  6.54054054] ; [10.54054054  4.45945946],0
v3,1,0.321138,0.984306,[36 39] ; [17 27],[33.40336134 41.59663866] ; [19.59663866 24.40336134],0
p12,1,0.324937,0.968969,[ 7 68] ; [ 2 43],[ 5.625 69.375] ; [ 3.375 41.625],0
p7,1,0.366026,0.817113,[51 23] ; [28 18],[48.71666667 25.28333333] ; [30.28333333 15.71666667],0
a6,1,0.404976,0.693502,[55 21] ; [30 16],[52.95081967 23.04918033] ; [32.04918033 13.95081967],0
r1,1,0.412873,0.670513,[61 15] ; [34 12],[59.18032787 16.81967213] ; [35.81967213 10.18032787],0
d4,1,0.424508,0.637802,[60 16] ; [39  7],[61.67213115 14.32786885] ; [37.32786885  8.67213115],0
b1,1,0.446271,0.580106,[30 46] ; [15 31],[28.03278689 47.96721311] ; [16.96721311 29.03278689],0
p10,1,0.447134,0.577908,[62 12] ; [36 10],[60.43333333 13.56666667] ; [37.56666667  8.43333333],0
s4,1,0.453586,0.561676,[10 66] ; [ 4 42],[ 8.72131148 67.27868852] ; [ 5.27868852 40.72131148],0
n5,1,0.45641,0.554685,[56 20] ; [31 15],[54.19672131 21.80327869] ; [32.80327869 13.19672131],0
d2,1,0.512011,0.429955,[35 41] ; [24 22],[36.75409836 39.24590164] ; [22.24590164 23.75409836],0
b5,1,0.512011,0.429955,[41 35] ; [22 24],[39.24590164 36.75409836] ; [23.75409836 22.24590164],0
a8,1,0.531117,0.392255,[ 9 58] ; [ 7 32],[10.11320755 56.88679245] ; [ 5.88679245 33.11320755],0
d3,1,0.559103,0.34126,[55 21] ; [31 15],[53.57377049 22.42622951] ; [32.42622951 13.57377049],0
r2,1,0.583378,0.300806,[68  6] ; [40  5],[67.15966387  6.84033613] ; [40.84033613  4.15966387],0
