Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.1e-05,15.309113,[55  5] ; [228 114],[42.23880597 17.76119403] ; [240.76119403 101.23880597],1
s5,1,0.000463,12.259308,[33 22] ; [119 219],[21.27226463 33.72773537] ; [130.72773537 207.27226463],1
s2,1,0.000489,12.155728,[48 13] ; [188 155],[35.63366337 25.36633663] ; [200.36633663 142.63366337],1
s3,1,0.00115,10.56822,[49 12] ; [199 142],[37.6318408 23.3681592] ; [210.3681592 130.6318408],0
p6,1,0.002453,9.175003,[36 24] ; [134 209],[25.3101737 34.6898263] ; [144.6898263 198.3101737],0
p4,1,0.003537,8.507251,[52  9] ; [229 115],[42.32345679 18.67654321] ; [238.67654321 105.32345679],0
s8,1,0.010645,6.523559,[42 19] ; [176 168],[32.8345679 28.1654321] ; [185.1654321 158.8345679],0
a8,1,0.043635,4.070619,[ 4 55] ; [ 52 251],[ 9.12707182 49.87292818] ; [ 46.87292818 256.12707182],0
p8,1,0.045457,4.001621,[41 18] ; [190 152],[33.98753117 25.01246883] ; [197.01246883 144.98753117],0
b3,1,0.049373,3.862628,[ 9 26] ; [102 134],[14.33579336 20.66420664] ; [ 96.66420664 139.33579336],0
b2,1,0.049373,3.862628,[ 9 26] ; [102 134],[14.33579336 20.66420664] ; [ 96.66420664 139.33579336],0
v2,1,0.055285,3.673469,[30 30] ; [212 124],[36.66666667 23.33333333] ; [205.33333333 130.66666667],0
s1,1,0.075054,3.168868,[ 4 57] ; [  8 333],[ 1.82089552 59.17910448] ; [ 10.17910448 330.82089552],0
v3,1,0.076172,3.144739,[22 38] ; [162 168],[28.30769231 31.69230769] ; [155.69230769 174.30769231],0
p9,1,0.08326,3.00008,[58  3] ; [299  43],[54.03722084  6.96277916] ; [302.96277916  39.03722084],0
p2,1,0.095658,2.776484,[56  5] ; [288  57],[51.68472906  9.31527094] ; [292.31527094  52.68472906],0
p3,1,0.1039,2.644629,[40 21] ; [187 157],[34.19012346 26.80987654] ; [192.80987654 151.19012346],0
r4,1,0.110087,2.552972,[59  2] ; [315  33],[55.7799511  5.2200489] ; [318.2200489  29.7799511],0
n6,1,0.149133,2.081094,[59  2] ; [316  30],[56.2039312  4.7960688] ; [318.7960688  27.2039312],0
n1,1,0.168833,1.893274,[ 3 10] ; [30 39],[5.23170732 7.76829268] ; [27.76829268 41.23170732],0
p10,1,0.169111,1.890808,[56  5] ; [294  51],[52.5862069  8.4137931] ; [297.4137931  47.5862069],0
s7,1,0.175456,1.835701,[39 21] ; [184 147],[34.21994885 25.78005115] ; [188.78005115 142.21994885],0
n4,1,0.17872,1.808233,[54  7] ; [325  23],[56.52567237  4.47432763] ; [322.47432763  25.52567237],0
d2,1,0.188981,1.725546,[41 20] ; [258  85],[45.1460396 15.8539604] ; [253.8539604  89.1460396],0
p7,1,0.272335,1.204949,[43 16] ; [221 116],[39.33333333 19.66666667] ; [224.66666667 112.33333333],0
v4,1,0.28263,1.154399,[60  1] ; [330  16],[58.45208845  2.54791155] ; [331.54791155  14.45208845],0
n3,1,0.285556,1.140454,[10  3] ; [43 27],[8.30120482 4.69879518] ; [44.69879518 25.30120482],0
a5,1,0.316114,1.004958,[55  6] ; [297  51],[52.49877751  8.50122249] ; [299.50122249  48.49877751],0
a1,1,0.316541,1.003187,[ 2 59] ; [ 23 325],[ 3.72860636 57.27139364] ; [ 21.27139364 326.72860636],0
u4,1,0.32095,0.985072,[ 1 60] ; [ 15 333],[ 2.38630807 58.61369193] ; [ 13.61369193 334.38630807],0
b4,1,0.337305,0.920648,[33 28] ; [211 137],[36.39119804 24.60880196] ; [207.60880196 140.39119804],0
